#	x	xlow	xhigh	y		stat		tot sys	
	4.0	0.0	8.0	0.0551		+1.1E-4		+0.00136
	15.5	8.0	23.0	0.02512		+6.0E-5		+6.0E-4	
	30.5	23.0	38.0	0.006766	+4.1E-5		+2.89E-4
	46.5	38.0	55.0	0.002523	+2.3E-5		+9.3E-5	
	65.0	55.0	75.0	0.001025	+1.3E-5		+4.0E-5	
	85.0	75.0	95.0	4.263E-4	+8.0E-6		+1.9E-5	
	107.5	95.0	120.0	1.896E-4	+5.6E-6		+9.8E-6	
	132.5	120.0	145.0	7.985E-5	+3.59E-6	+4.78E-6
	160.0	145.0	175.0	3.71E-5		+2.28E-6	+2.54E-6
	192.5	175.0	210.0	1.692E-5	+1.52E-6	+1.26E-6
	255.0	210.0	300.0	4.803E-6	+4.46E-7	+5.22E-7
