# Table 20 from https://atlas.web.cern.ch/Atlas/GROUPS/PHYSICS/PAPERS/TOPQ-2015-05/
3.9 ; 4.3 ; 6.7 ; 13.0 ; 19.0 ; # Data statistics
0.5 ; 0.5 ; 0.9 ; 1.6 ; 2.4 ; # Monte Carlo statistics
+1.6 , -1.6 ; +1.3 , -1.3 ; +1.9 , -1.9 ; +0.5 , -0.5 ; +1.3 , -1.3 ; # Unfolding
+1.1 , -1.1 ; +1.0 , -1.0 ; +0.5 , -0.5 ; +0.9 , -0.9 ; +0.5 , -0.5 ; # Background normalisation
+0.7 , -0.7 ; +0.5 , -0.5 ; +1.1 , -1.1 ; +1.2 , -1.2 ; +0.3 , -0.3 ; # Background modelling
+0.0 , -0.1 ; +0.1 , -0.2 ; +0.6 , -0.2 ; +0.6 , -0.2 ; +0.3 , -0.8 ; # Lepton reconstruction
+0.1 , -0.1 ; +0.3 , -0.3 ; +0.4 , -0.4 ; +0.3 , -0.3 ; +1.7 , -1.7 ; # Jet reconstruction
+1.7 , -1.2 ; +1.0 , -1.3 ; +1.4 , -2.3 ; +4.9 , -2.0 ; +1.1 , -5.7 ; # Jet energy scale
+0.3 , -0.3 ; +0.1 , -0.1 ; +0.5 , -0.5 ; +0.7 , -0.7 ; +1.1 , -1.1 ; # Flavour tagging
+0.4 , -0.1 ; +0.1 , -0.1 ; +0.6 , -1.2 ; +1.5 , -0.0 ; +0.0 , -1.8 ; # E_T^miss modelling
+0.6 , -0.7 ; +0.4 , -0.3 ; +0.6 , -0.6 ; +1.7 , -1.7 ; +1.2 , -1.2 ; # PDF
+1.6 , -1.6 ; +4.2 , -4.2 ; +8.4 , -8.4 ; +4.3 , -4.3 ; +3.3 , -3.3 ; # tq (tbarq) NLO matching
+0.7 , -0.7 ; +1.8 , -1.8 ; +2.9 , -2.9 ; +0.6 , -0.6 ; +1.9 , -1.9 ; # tq (tbarq) parton shower
+1.6 , -3.9 ; +3.7 , -0.0 ; +1.5 , -4.2 ; +0.9 , -4.0 ; +3.5 , -0.8 ; # tq (tbarq) scale variations
+0.4 , -0.4 ; +0.6 , -0.6 ; +2.3 , -2.3 ; +3.0 , -3.0 ; +6.6 , -6.6 ; # ttbar NLO matching
+0.0 , -0.0 ; +0.5 , -0.5 ; +0.1 , -0.1 ; +1.6 , -1.6 ; +4.3 , -4.3 ; # ttbar parton shower
+0.5 , -0.0 ; +0.0 , -1.5 ; +1.7 , -0.0 ; +3.4 , -0.0 ; +0.0 , -3.6 ; # ttbar scale variations
