#: table_doi: 10.17182/hepdata.84154.v2/t105
#: name: Table 105
#: description: Absolute systematics-only correlation matrix of the full phase-space differential cross-section as a function of the the hadronic top-quark absolute rapidity $|y^{t}|$.

#: data_file: Table_105.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
|y^{t}| bin,|y^{t}| bin,
1,1,1.0
2,1,0.999690955713
3,1,0.999364566103
4,1,0.998685809813
5,1,0.994801244274
1,2,0.999690955713
2,2,1.0
3,2,0.99953753535
4,2,0.998897422942
5,2,0.99553212882
1,3,0.999364566103
2,3,0.99953753535
3,3,1.0
4,3,0.999110752068
5,3,0.995989714365
1,4,0.998685809813
2,4,0.998897422942
3,4,0.999110752068
4,4,1.0
5,4,0.997407281935
1,5,0.994801244274
2,5,0.99553212882
3,5,0.995989714365
4,5,0.997407281935
5,5,1.0

