#: table_doi: 10.17182/hepdata.84154.v2/t146
#: name: Table 146
#: description: Statistical correlation matrix between $\Delta\phi^{t\bar{t}}$ (rows) in the 4-jet inclusive configuration and $\Delta\phi^{t\bar{t}}$ (columns) in the 4-jet inclusive configuration, obtained at parton level from absolute spectra through the Bootstrap Method. The binning is the following: Rows: [0.0-2.0, 2.0-2.75, 2.75-3.0, 3.0-3.15] Columns: [0.0-2.0, 2.0-2.75, 2.75-3.0, 3.0-3.15]

#: data_file: Table_146.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Single Differential Cross Section | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV),8000.0
column,row,BOOT_DPHI_TTBAR_4J2B_DPHI_TTBAR_4J2B (rows vs columns)
1,1,1
2,1,0.376096
3,1,-0.155421
4,1,-0.304959
1,2,0.376096
2,2,1
3,2,0.402933
4,2,-0.228871
1,3,-0.155421
2,3,0.402933
3,3,1
4,3,0.533461
1,4,-0.304959
2,4,-0.228871
3,4,0.533461
4,4,1

