#: table_doi: 10.17182/hepdata.84154.v2/t16
#: name: Table 16
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the scalar sum of the hadronic and leptonic top-quark transverse momenta $H_{T}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_16.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DHT_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
HT_TTBAR [GeV],HT_TTBAR [GeV] LOW,HT_TTBAR [GeV] HIGH,1/SIG*DSIG/DHT_TTBAR,stat +,stat -,sys +,sys -
45.0,0.0,90.0,0.00083999,1.163%,-1.163%,4.316%,-4.433%
115.0,90.0,140.0,0.00260399,0.797%,-0.797%,4.292%,-4.189%
167.5,140.0,195.0,0.00345296,0.632%,-0.632%,2.391%,-2.402%
225.0,195.0,255.0,0.00338666,0.614%,-0.614%,1.483%,-1.526%
287.5,255.0,320.0,0.00243268,0.7%,-0.7%,2.255%,-1.99%
352.5,320.0,385.0,0.00145872,0.912%,-0.912%,3.637%,-3.829%
420.0,385.0,455.0,0.000866404,1.142%,-1.142%,4.466%,-4.468%
492.5,455.0,530.0,0.000512242,1.448%,-1.448%,4.228%,-4.219%
570.0,530.0,610.0,0.000274102,1.982%,-1.982%,7.616%,-7.69%
652.5,610.0,695.0,0.000153216,2.689%,-2.689%,3.583%,-4.161%
737.5,695.0,780.0,7.83973e-05,3.835%,-3.835%,6.07%,-6.313%
822.5,780.0,865.0,4.10962e-05,5.546%,-5.546%,12.053%,-11.689%
907.5,865.0,950.0,2.07605e-05,7.94%,-7.94%,16.222%,-16.163%
995.5,950.0,1041.0,1.11534e-05,11.063%,-11.063%,8.58%,-8.766%
1270.5,1041.0,1500.0,2.59954e-06,12.228%,-12.228%,8.024%,-10.22%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
HT_TTBAR [GeV],HT_TTBAR [GeV] LOW,HT_TTBAR [GeV] HIGH,DSIG/DHT_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
45.0,0.0,90.0,0.00083999,1.163%,-1.163%,0.037%,-0.012%,0.265%,-0.251%,-0.417%,0.417%,-0.584%,0.53%,0.421%,-0.415%,0.163%,-0.163%,0.086%,-0.082%,0.001%,-0.096%,0.0%,-0.018%,-0.38%,0.341%,-2.469%,2.469%,-0.06%,0.06%,0.088%,-0.132%,0.0%,0.014%,0.219%,-0.265%,-0.017%,0.033%,0.015%,0.0%,-0.738%,0.738%,-0.025%,0.04%,0.045%,-0.045%,-0.158%,0.158%,-0.018%,0.018%,0.075%,-0.06%,0.023%,-0.023%,-0.025%,0.03%,-0.822%,0.819%,-0.031%,0.029%,-0.093%,0.087%,-0.241%,0.239%,0.081%,-0.068%,-0.621%,0.539%,0.021%,-0.01%,0.008%,0.0%,0.0%,-0.101%,-0.7%,0.684%,-0.066%,0.066%,-0.147%,0.145%,0.005%,-0.005%,0.07%,-0.07%,0.0%,-0.691%,0.166%,-0.166%,-2.413%,2.413%,0.836%,-0.86%,0.112%,-0.112%,0.002%,-0.002%,-0.017%,0.021%,-0.062%,0.079%,0.101%,-0.076%,-0.614%,0.618%,-0.058%,0.077%,-0.863%,0.787%,-0.103%,0.092%,0.29%,-0.29%,0.355%,-0.336%,-1.394%,1.336%
115.0,90.0,140.0,0.00260399,0.797%,-0.797%,0.015%,0.0%,0.171%,-0.153%,-0.264%,0.264%,-0.217%,0.321%,0.373%,-0.298%,0.02%,-0.02%,0.111%,0.0%,-0.164%,0.089%,0.0%,-0.023%,0.074%,-0.017%,-2.119%,2.119%,-0.043%,0.087%,0.057%,-0.052%,-0.007%,0.026%,0.114%,-0.05%,-0.013%,0.033%,0.037%,0.0%,-0.647%,0.647%,0.055%,-0.035%,0.144%,-0.144%,-0.115%,0.115%,-0.004%,0.004%,0.158%,-0.141%,0.046%,-0.046%,-0.004%,0.039%,-0.334%,0.396%,0.057%,-0.008%,-0.045%,0.09%,-0.243%,0.201%,0.056%,-0.038%,-0.421%,0.498%,0.02%,-0.004%,0.01%,0.0%,0.044%,0.0%,-0.574%,0.656%,-0.206%,0.206%,0.104%,-0.036%,0.012%,-0.012%,0.035%,-0.035%,0.284%,-0.008%,0.301%,-0.301%,-3.211%,3.211%,0.557%,-0.45%,0.19%,-0.19%,0.025%,-0.025%,-0.032%,0.081%,-0.047%,0.068%,0.052%,0.0%,-0.441%,0.527%,-0.171%,0.198%,-0.294%,0.487%,-0.078%,0.121%,0.194%,-0.194%,0.36%,-0.299%,-0.732%,0.748%
167.5,140.0,195.0,0.00345296,0.632%,-0.632%,-0.017%,0.031%,0.035%,-0.023%,-0.093%,0.093%,-0.179%,0.224%,0.219%,-0.212%,-0.008%,0.008%,0.0%,-0.004%,-0.181%,0.071%,0.0%,-0.008%,0.063%,-0.034%,-1.196%,1.196%,-0.031%,0.038%,0.014%,-0.024%,0.022%,0.0%,0.098%,-0.056%,-0.011%,0.023%,0.049%,0.0%,-0.498%,0.498%,0.059%,-0.047%,0.087%,-0.087%,-0.047%,0.047%,-0.018%,0.018%,0.143%,-0.134%,0.027%,-0.027%,0.014%,0.0%,-0.127%,0.183%,0.024%,-0.023%,-0.028%,0.039%,-0.183%,0.176%,0.025%,-0.013%,-0.242%,0.283%,0.007%,0.0%,0.006%,0.0%,0.045%,0.0%,-0.453%,0.492%,0.012%,-0.012%,0.133%,-0.082%,0.003%,-0.003%,0.027%,-0.027%,0.0%,-0.607%,0.193%,-0.193%,-1.646%,1.646%,0.362%,-0.25%,0.118%,-0.118%,0.001%,-0.001%,-0.045%,0.047%,-0.032%,0.045%,-0.011%,0.013%,-0.326%,0.357%,-0.233%,0.254%,-0.212%,0.24%,-0.061%,0.078%,0.156%,-0.156%,0.213%,-0.223%,-0.402%,0.514%
225.0,195.0,255.0,0.00338666,0.614%,-0.614%,-0.017%,0.018%,-0.05%,0.054%,0.068%,-0.068%,0.025%,-0.095%,0.0%,-0.014%,-0.034%,0.034%,-0.065%,0.007%,0.015%,0.0%,-0.004%,0.003%,0.022%,-0.049%,-1.311%,1.311%,-0.007%,0.013%,-0.007%,0.013%,-0.007%,0.009%,-0.066%,0.016%,-0.005%,0.009%,0.0%,-0.037%,-0.507%,0.507%,0.003%,0.0%,0.0%,-0.0%,-0.001%,0.001%,-0.002%,0.002%,0.074%,-0.072%,-0.009%,0.009%,0.007%,-0.008%,0.09%,-0.154%,0.031%,-0.038%,-0.016%,0.012%,-0.122%,0.091%,-0.005%,0.009%,0.059%,-0.076%,0.003%,0.0%,0.002%,0.0%,0.0%,-0.093%,-0.169%,0.122%,0.091%,-0.091%,0.086%,-0.107%,0.008%,-0.008%,0.03%,-0.03%,0.185%,0.0%,-0.008%,0.008%,0.162%,-0.162%,0.0%,-0.069%,-0.021%,0.021%,0.0%,-0.0%,-0.041%,0.037%,-0.007%,0.011%,-0.039%,0.041%,-0.113%,0.071%,-0.229%,0.242%,0.094%,-0.218%,-0.034%,0.02%,0.147%,-0.147%,0.013%,-0.001%,0.135%,-0.258%
287.5,255.0,320.0,0.00243268,0.7%,-0.7%,-0.022%,0.013%,-0.097%,0.092%,0.19%,-0.19%,0.259%,-0.169%,-0.217%,0.247%,-0.037%,0.037%,0.057%,0.0%,0.156%,0.0%,0.0%,-0.019%,0.069%,-0.016%,0.572%,-0.572%,0.006%,-0.008%,-0.024%,0.032%,0.0%,-0.015%,-0.157%,0.214%,0.004%,-0.01%,0.039%,0.0%,0.563%,-0.563%,-0.024%,0.017%,-0.009%,0.009%,0.023%,-0.023%,0.005%,-0.005%,-0.027%,0.021%,-0.016%,0.016%,0.006%,-0.013%,0.467%,-0.409%,0.061%,-0.018%,0.026%,-0.013%,0.088%,-0.086%,-0.028%,0.023%,0.389%,-0.335%,-0.007%,0.001%,0.0%,-0.003%,0.061%,0.0%,0.263%,-0.175%,0.132%,-0.132%,0.111%,-0.104%,-0.005%,0.005%,0.013%,-0.013%,0.709%,0.0%,-0.14%,0.14%,1.354%,-1.354%,-0.323%,0.408%,-0.112%,0.112%,-0.005%,0.005%,-0.027%,0.037%,0.022%,-0.029%,-0.054%,0.071%,0.287%,-0.234%,-0.147%,0.145%,0.531%,-0.399%,0.029%,0.0%,0.172%,-0.172%,-0.16%,0.194%,0.858%,-0.764%
352.5,320.0,385.0,0.00145872,0.912%,-0.912%,0.001%,-0.016%,-0.082%,0.071%,0.166%,-0.166%,0.195%,-0.364%,-0.312%,0.239%,-0.028%,0.028%,-0.065%,0.034%,0.074%,0.0%,0.0%,-0.035%,0.0%,-0.071%,2.588%,-2.588%,0.029%,-0.037%,-0.038%,0.05%,0.004%,-0.02%,-0.08%,0.041%,0.014%,-0.026%,0.0%,-0.094%,0.987%,-0.987%,0.0%,-0.007%,-0.006%,0.006%,0.121%,-0.121%,0.006%,-0.006%,-0.139%,0.129%,-0.023%,0.023%,0.004%,-0.013%,0.212%,-0.455%,0.001%,-0.018%,0.032%,-0.069%,0.258%,-0.185%,-0.039%,0.028%,0.257%,-0.348%,-0.014%,0.0%,0.0%,-0.006%,0.006%,-0.076%,0.356%,-0.481%,0.04%,-0.04%,0.0%,-0.052%,-0.009%,0.009%,0.014%,-0.014%,0.28%,-0.571%,-0.178%,0.178%,2.061%,-2.061%,-0.571%,0.36%,-0.11%,0.11%,-0.01%,0.01%,0.0%,-0.013%,0.042%,-0.055%,-0.048%,0.01%,0.294%,-0.366%,0.026%,-0.041%,0.281%,-0.456%,0.025%,-0.066%,0.22%,-0.22%,-0.306%,0.23%,0.597%,-0.809%
420.0,385.0,455.0,0.000866404,1.142%,-1.142%,0.008%,-0.029%,-0.103%,0.086%,0.315%,-0.315%,0.25%,-0.18%,-0.312%,0.308%,-0.014%,0.014%,0.0%,-0.01%,0.124%,-0.081%,0.092%,0.0%,0.034%,0.0%,3.207%,-3.207%,0.051%,-0.097%,-0.036%,0.053%,0.014%,-0.026%,-0.027%,0.06%,0.02%,-0.038%,0.028%,0.0%,1.331%,-1.331%,-0.062%,0.043%,-0.112%,0.112%,0.248%,-0.248%,0.028%,-0.028%,-0.222%,0.208%,-0.036%,0.036%,0.0%,-0.023%,0.367%,-0.004%,-0.11%,0.033%,0.051%,-0.104%,0.362%,-0.272%,-0.046%,0.029%,0.312%,-0.288%,-0.013%,0.001%,0.0%,-0.009%,0.117%,0.0%,0.617%,-0.644%,-0.031%,0.031%,-0.186%,0.218%,-0.012%,0.012%,-0.085%,0.085%,0.0%,-0.791%,-0.232%,0.232%,2.35%,-2.35%,-0.337%,0.537%,-0.137%,0.137%,0.0%,-0.0%,0.07%,-0.108%,0.054%,-0.073%,0.061%,-0.113%,0.483%,-0.483%,0.271%,-0.303%,0.248%,-0.105%,0.121%,-0.156%,0.272%,-0.272%,-0.337%,0.304%,0.532%,-0.216%
492.5,455.0,530.0,0.000512242,1.448%,-1.448%,0.025%,-0.059%,-0.172%,0.145%,0.207%,-0.207%,0.257%,-0.213%,-0.275%,0.241%,0.017%,-0.017%,0.0%,-0.067%,0.178%,-0.32%,0.032%,0.0%,-0.134%,0.04%,2.028%,-2.028%,0.076%,-0.116%,-0.045%,0.019%,0.033%,-0.006%,0.0%,-0.048%,0.024%,-0.053%,-0.006%,0.038%,0.749%,-0.749%,-0.109%,0.081%,-0.275%,0.275%,0.089%,-0.089%,0.01%,-0.01%,-0.304%,0.282%,-0.031%,0.031%,0.0%,-0.026%,0.0%,-0.091%,-0.13%,0.102%,0.055%,-0.048%,0.353%,-0.369%,-0.049%,0.022%,0.172%,-0.299%,0.0%,-0.026%,0.0%,-0.014%,0.0%,-0.059%,0.748%,-0.784%,-0.103%,0.103%,-0.447%,0.23%,-0.016%,0.016%,-0.107%,0.107%,0.87%,0.0%,-0.294%,0.294%,3.194%,-3.194%,-0.403%,0.339%,-0.132%,0.132%,-0.015%,0.015%,0.089%,-0.12%,0.063%,-0.093%,0.091%,-0.122%,0.494%,-0.565%,0.643%,-0.7%,0.0%,-0.074%,0.097%,-0.135%,0.348%,-0.348%,-0.37%,0.303%,0.197%,-0.126%
570.0,530.0,610.0,0.000274102,1.982%,-1.982%,0.052%,-0.095%,-0.04%,0.002%,-0.085%,0.085%,0.224%,-0.478%,-0.426%,0.276%,0.042%,-0.042%,0.0%,-0.105%,0.012%,-0.241%,-0.008%,0.015%,0.027%,-0.006%,6.787%,-6.787%,0.115%,-0.15%,-0.062%,0.064%,0.0%,-0.071%,0.0%,-0.162%,0.027%,-0.065%,0.0%,-0.144%,0.429%,-0.429%,-0.107%,0.072%,-0.281%,0.281%,-0.086%,0.086%,0.031%,-0.031%,-0.38%,0.349%,-0.046%,0.046%,0.0%,-0.048%,0.0%,-0.274%,-0.174%,0.12%,0.095%,-0.174%,0.42%,-0.471%,-0.056%,0.02%,0.255%,-0.353%,0.0%,-0.031%,0.0%,-0.019%,0.0%,-0.075%,1.315%,-1.527%,-0.127%,0.127%,-0.435%,0.371%,-0.014%,0.014%,-0.141%,0.141%,1.204%,0.0%,-0.332%,0.332%,2.265%,-2.265%,-0.748%,0.548%,-0.162%,0.162%,-0.023%,0.023%,0.227%,-0.293%,0.075%,-0.115%,0.04%,-0.176%,0.831%,-1.046%,1.127%,-1.21%,0.0%,-0.164%,0.245%,-0.295%,0.453%,-0.453%,-0.392%,0.326%,0.12%,-0.471%
652.5,610.0,695.0,0.000153216,2.689%,-2.689%,0.031%,-0.072%,0.044%,-0.082%,-0.027%,0.027%,0.141%,-0.151%,-0.284%,0.249%,0.063%,-0.063%,0.047%,-0.12%,0.304%,-0.302%,0.157%,0.0%,-0.061%,0.027%,0.936%,-0.936%,0.04%,-0.152%,-0.064%,0.102%,0.022%,-0.088%,0.399%,-0.316%,0.031%,-0.068%,0.086%,-0.127%,0.402%,-0.402%,-0.08%,0.044%,-0.348%,0.348%,0.227%,-0.227%,0.042%,-0.042%,-0.386%,0.356%,-0.026%,0.026%,0.0%,-0.026%,-0.267%,0.35%,-0.286%,0.125%,0.12%,-0.12%,0.652%,-0.527%,-0.06%,0.024%,0.228%,-0.233%,-0.024%,0.003%,0.0%,-0.018%,0.054%,-0.056%,1.409%,-1.251%,-0.172%,0.172%,-0.596%,0.423%,-0.026%,0.026%,-0.235%,0.235%,-2.134%,0.6%,-0.294%,0.294%,2.039%,-2.039%,-0.556%,0.431%,-0.042%,0.042%,-0.016%,0.016%,0.178%,-0.177%,0.075%,-0.114%,0.108%,-0.261%,0.79%,-0.78%,1.609%,-1.705%,0.0%,-0.281%,0.249%,-0.24%,0.609%,-0.609%,-0.392%,0.334%,0.0%,-0.156%
