#: table_doi: 10.17182/hepdata.84154.v2/t2
#: name: Table 2
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the $t\bar{t}$ system invariant mass $m^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_2.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DMASS_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
MASS_TTBAR [GeV],MASS_TTBAR [GeV] LOW,MASS_TTBAR [GeV] HIGH,1/SIG*DSIG/DMASS_TTBAR,stat +,stat -,sys +,sys -
285.0,225.0,345.0,0.000568714,1.358%,-1.358%,24.818%,-24.528%
382.5,345.0,420.0,0.00325225,0.543%,-0.543%,6.037%,-6.166%
460.0,420.0,500.0,0.00303908,0.56%,-0.56%,3.788%,-3.774%
545.0,500.0,590.0,0.00199877,0.657%,-0.657%,5.04%,-4.955%
637.5,590.0,685.0,0.00118026,0.844%,-0.844%,4.952%,-4.89%
737.5,685.0,790.0,0.000654365,1.102%,-1.102%,4.884%,-4.936%
850.0,790.0,910.0,0.000334179,1.487%,-1.487%,6.044%,-6.118%
975.0,910.0,1040.0,0.00016642,2.104%,-2.104%,7.376%,-7.264%
1107.5,1040.0,1175.0,8.10871e-05,3.01%,-3.01%,5.239%,-4.937%
1247.5,1175.0,1320.0,3.68448e-05,4.734%,-4.734%,7.942%,-7.352%
2160.0,1320.0,3000.0,3.54886e-06,4.323%,-4.323%,14.038%,-12.754%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
MASS_TTBAR [GeV],MASS_TTBAR [GeV] LOW,MASS_TTBAR [GeV] HIGH,DSIG/DMASS_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
285.0,225.0,345.0,0.000568714,1.358%,-1.358%,-0.004%,0.023%,0.183%,-0.162%,-0.499%,0.499%,-1.431%,1.585%,1.91%,-1.822%,0.231%,-0.231%,0.481%,-0.413%,-0.494%,0.089%,-0.013%,0.055%,-0.009%,0.038%,-12.024%,12.024%,-0.079%,0.137%,-0.449%,0.449%,-0.007%,0.029%,1.396%,-1.35%,-0.021%,0.043%,0.127%,0.0%,-4.828%,4.828%,0.094%,-0.073%,0.339%,-0.339%,-0.115%,0.115%,-0.115%,0.115%,0.301%,-0.286%,0.062%,-0.062%,0.022%,0.0%,-2.263%,2.48%,-0.248%,0.362%,-0.24%,0.254%,-0.642%,0.526%,0.051%,-0.03%,-3.542%,3.768%,-0.022%,0.027%,0.011%,0.0%,0.0%,-0.082%,-1.997%,2.202%,-0.056%,0.056%,-0.877%,0.979%,-0.031%,0.031%,-0.021%,0.021%,-0.53%,0.313%,0.573%,-0.573%,-18.282%,18.282%,2.289%,-2.175%,0.617%,-0.617%,0.009%,-0.009%,0.128%,-0.088%,-0.054%,0.078%,0.667%,-0.405%,-1.973%,2.21%,0.35%,-0.345%,-3.677%,3.92%,-0.311%,0.315%,0.329%,-0.329%,1.551%,-1.407%,-6.535%,6.972%
382.5,345.0,420.0,0.00325225,0.543%,-0.543%,-0.089%,0.074%,-0.138%,0.136%,-0.28%,0.28%,-0.526%,0.526%,0.418%,-0.432%,-0.016%,0.016%,0.062%,-0.057%,0.0%,-0.21%,0.0%,-0.04%,-0.07%,0.056%,-3.253%,3.253%,-0.086%,0.086%,-0.176%,0.139%,-0.014%,0.011%,0.088%,-0.135%,-0.021%,0.019%,-0.012%,0.002%,-2.859%,2.859%,-0.103%,0.102%,-0.099%,0.099%,-0.086%,0.086%,-0.046%,0.046%,-0.039%,0.037%,-0.007%,0.007%,-0.035%,0.013%,-0.189%,0.123%,0.03%,-0.043%,-0.08%,0.089%,-0.334%,0.295%,0.005%,-0.008%,-0.782%,0.777%,-0.011%,0.016%,0.0%,-0.001%,0.0%,-0.078%,-0.792%,0.789%,-0.023%,0.023%,0.075%,-0.063%,0.005%,-0.005%,0.019%,-0.019%,0.312%,-1.046%,-0.065%,0.065%,-3.714%,3.714%,0.384%,-0.38%,0.019%,-0.019%,0.01%,-0.01%,-0.072%,0.08%,-0.036%,0.034%,0.0%,-0.029%,-0.637%,0.629%,-0.103%,0.105%,-0.565%,0.528%,-0.114%,0.128%,0.135%,-0.135%,0.432%,-0.421%,-1.086%,0.883%
460.0,420.0,500.0,0.00303908,0.56%,-0.56%,-0.066%,0.049%,-0.175%,0.169%,-0.077%,0.077%,0.079%,-0.136%,-0.257%,0.239%,-0.048%,0.048%,-0.081%,0.046%,0.0%,-0.093%,0.0%,-0.028%,0.0%,-0.024%,1.474%,-1.474%,0.0%,-0.011%,0.026%,-0.054%,-0.014%,0.009%,-0.337%,0.32%,-0.01%,0.002%,0.0%,-0.04%,0.503%,-0.503%,-0.109%,0.103%,-0.074%,0.074%,-0.057%,0.057%,0.005%,-0.005%,-0.087%,0.081%,-0.018%,0.018%,0.011%,-0.01%,0.6%,-0.694%,0.089%,-0.114%,0.011%,-0.037%,-0.115%,0.073%,-0.019%,0.011%,0.48%,-0.571%,0.005%,-0.011%,0.0%,-0.004%,-0.021%,0.002%,0.061%,-0.116%,-0.067%,0.067%,0.334%,-0.361%,-0.004%,0.004%,0.042%,-0.042%,-0.423%,1.002%,-0.123%,0.123%,2.748%,-2.748%,-0.467%,0.364%,-0.092%,0.092%,-0.022%,0.022%,-0.065%,0.037%,0.0%,-0.004%,-0.161%,0.148%,0.183%,-0.225%,-0.213%,0.215%,0.731%,-0.81%,0.0%,-0.016%,0.135%,-0.135%,-0.189%,0.137%,1.264%,-1.323%
545.0,500.0,590.0,0.00199877,0.657%,-0.657%,-0.019%,0.014%,-0.052%,0.049%,0.08%,-0.08%,0.284%,-0.252%,-0.352%,0.363%,-0.036%,0.036%,-0.026%,0.066%,-0.071%,0.04%,0.0%,-0.024%,0.051%,-0.012%,2.236%,-2.236%,0.022%,-0.026%,0.075%,-0.053%,0.006%,-0.007%,-0.141%,0.274%,0.004%,-0.008%,0.039%,0.0%,2.202%,-2.202%,-0.017%,0.012%,0.023%,-0.023%,0.026%,-0.026%,0.026%,-0.026%,-0.046%,0.043%,-0.014%,0.014%,0.003%,0.0%,0.527%,-0.408%,0.052%,-0.039%,0.042%,-0.042%,0.168%,-0.103%,-0.018%,0.015%,0.704%,-0.673%,0.0%,-0.013%,0.0%,-0.002%,0.068%,0.0%,0.4%,-0.398%,0.02%,-0.02%,0.146%,-0.102%,-0.007%,0.007%,0.029%,-0.029%,-0.266%,0.141%,-0.084%,0.084%,3.369%,-3.369%,-0.379%,0.499%,-0.115%,0.115%,-0.015%,0.015%,-0.023%,0.034%,0.017%,-0.021%,-0.073%,0.078%,0.405%,-0.378%,-0.141%,0.143%,0.771%,-0.693%,0.054%,-0.046%,0.159%,-0.159%,-0.3%,0.308%,1.31%,-1.158%
637.5,590.0,685.0,0.00118026,0.844%,-0.844%,0.049%,-0.036%,0.1%,-0.097%,0.253%,-0.253%,0.477%,-0.436%,-0.385%,0.401%,-0.006%,0.006%,-0.067%,0.07%,0.0%,-0.035%,0.025%,0.0%,0.076%,-0.048%,2.749%,-2.749%,0.067%,-0.063%,0.153%,-0.077%,0.0%,-0.01%,-0.144%,0.099%,0.018%,-0.015%,0.064%,-0.016%,2.112%,-2.112%,0.065%,-0.061%,-0.006%,0.006%,0.1%,-0.1%,0.038%,-0.038%,0.009%,-0.005%,0.0%,-0.0%,0.015%,-0.005%,0.075%,-0.038%,-0.013%,0.035%,0.082%,-0.061%,0.285%,-0.269%,-0.007%,0.011%,0.731%,-0.652%,0.008%,-0.002%,0.002%,0.0%,0.066%,0.0%,0.674%,-0.618%,0.002%,-0.002%,-0.061%,0.036%,0.007%,-0.007%,0.007%,-0.007%,0.342%,-0.072%,-0.013%,0.013%,3.039%,-3.039%,-0.275%,0.274%,-0.03%,0.03%,0.026%,-0.026%,0.021%,-0.04%,0.029%,-0.026%,0.0%,-0.013%,0.537%,-0.523%,0.032%,-0.031%,0.501%,-0.426%,0.104%,-0.105%,0.203%,-0.203%,-0.375%,0.398%,0.86%,-0.778%
737.5,685.0,790.0,0.000654365,1.102%,-1.102%,0.126%,-0.104%,0.183%,-0.181%,0.389%,-0.389%,0.59%,-0.658%,-0.445%,0.392%,0.04%,-0.04%,-0.13%,0.05%,0.303%,0.0%,0.026%,0.0%,0.057%,-0.061%,2.438%,-2.438%,0.105%,-0.111%,0.208%,-0.143%,0.014%,-0.009%,0.0%,-0.054%,0.029%,-0.025%,0.0%,-0.079%,1.736%,-1.736%,0.155%,-0.152%,0.062%,-0.062%,0.153%,-0.153%,0.042%,-0.042%,0.043%,-0.04%,0.014%,-0.014%,0.013%,0.0%,0.0%,-0.082%,-0.084%,0.057%,0.087%,-0.08%,0.471%,-0.406%,0.008%,-0.004%,0.734%,-0.734%,0.012%,0.0%,0.002%,0.0%,0.015%,0.0%,0.895%,-0.961%,0.06%,-0.06%,-0.248%,0.163%,0.024%,-0.024%,0.008%,-0.008%,0.272%,0.0%,0.048%,-0.048%,3.308%,-3.308%,-0.451%,0.26%,-0.041%,0.041%,-0.004%,0.004%,0.128%,-0.089%,0.039%,-0.036%,0.018%,-0.062%,0.63%,-0.742%,0.282%,-0.291%,0.309%,-0.436%,0.157%,-0.138%,0.269%,-0.269%,-0.436%,0.4%,0.718%,-0.74%
850.0,790.0,910.0,0.000334179,1.487%,-1.487%,0.198%,-0.161%,0.324%,-0.32%,0.385%,-0.385%,0.48%,-0.668%,-0.33%,0.339%,0.003%,-0.003%,-0.121%,0.057%,0.71%,0.0%,0.171%,0.0%,0.0%,-0.032%,3.892%,-3.892%,0.087%,-0.114%,0.191%,-0.321%,0.041%,-0.032%,0.074%,-0.114%,0.04%,-0.033%,0.005%,-0.077%,1.837%,-1.837%,0.27%,-0.265%,0.058%,-0.058%,0.002%,-0.002%,0.071%,-0.071%,0.126%,-0.122%,0.021%,-0.021%,0.0%,-0.045%,-0.545%,0.48%,-0.16%,0.152%,0.081%,-0.095%,0.634%,-0.555%,0.021%,-0.014%,0.583%,-0.794%,0.006%,-0.011%,0.004%,0.0%,0.0%,-0.059%,0.872%,-1.054%,0.171%,-0.171%,-0.509%,0.448%,-0.022%,0.022%,-0.145%,0.145%,0.778%,-0.802%,0.135%,-0.135%,3.638%,-3.638%,0.039%,0.0%,-0.133%,0.133%,0.035%,-0.035%,0.123%,-0.161%,0.048%,-0.042%,0.141%,-0.207%,0.539%,-0.709%,0.492%,-0.506%,0.0%,-0.109%,0.167%,-0.192%,0.355%,-0.355%,-0.445%,0.386%,0.196%,-0.374%
975.0,910.0,1040.0,0.00016642,2.104%,-2.104%,0.332%,-0.264%,0.561%,-0.541%,0.603%,-0.603%,0.802%,-0.759%,-0.431%,0.416%,0.096%,-0.096%,0.031%,0.0%,0.95%,0.0%,0.056%,0.0%,0.0%,-0.025%,4.894%,-4.894%,0.122%,-0.096%,0.26%,-0.266%,0.073%,-0.035%,0.193%,-0.148%,0.058%,-0.034%,-0.008%,0.04%,1.511%,-1.511%,0.354%,-0.332%,0.16%,-0.16%,0.382%,-0.382%,0.054%,-0.054%,0.214%,-0.193%,0.066%,-0.066%,0.038%,0.0%,-0.641%,0.691%,-0.125%,0.133%,0.144%,-0.146%,0.749%,-0.606%,0.041%,-0.017%,0.635%,-0.67%,0.032%,0.0%,0.012%,0.0%,0.192%,-0.013%,1.388%,-1.341%,0.294%,-0.294%,-0.514%,0.43%,0.009%,-0.009%,-0.195%,0.195%,0.585%,-0.183%,0.135%,-0.135%,4.391%,-4.391%,-0.209%,0.127%,0.178%,-0.178%,0.025%,-0.025%,0.174%,-0.184%,0.067%,-0.044%,0.189%,-0.104%,0.898%,-0.907%,0.715%,-0.719%,-0.182%,0.077%,0.22%,-0.253%,0.49%,-0.49%,-0.463%,0.513%,0.111%,-0.222%
1107.5,1040.0,1175.0,8.10871e-05,3.01%,-3.01%,0.461%,-0.401%,0.956%,-0.961%,0.763%,-0.763%,1.352%,-0.848%,-0.379%,0.494%,0.078%,-0.078%,-0.111%,0.259%,1.759%,0.0%,0.062%,0.0%,0.193%,0.0%,0.926%,-0.926%,0.221%,-0.092%,0.473%,-0.054%,0.055%,-0.058%,0.247%,-0.24%,0.056%,-0.054%,0.361%,-0.036%,2.695%,-2.695%,0.405%,-0.406%,0.239%,-0.239%,0.356%,-0.356%,0.104%,-0.104%,0.238%,-0.24%,0.041%,-0.041%,0.062%,0.0%,-0.474%,0.866%,-0.207%,0.193%,0.135%,-0.041%,0.778%,-0.638%,0.054%,-0.053%,0.83%,-0.574%,0.047%,-0.047%,0.001%,0.0%,0.303%,0.0%,1.833%,-1.362%,0.381%,-0.381%,-0.507%,0.692%,0.097%,-0.097%,-0.384%,0.384%,-2.458%,0.103%,0.459%,-0.459%,1.178%,-1.178%,-0.001%,0.556%,0.025%,-0.025%,0.043%,-0.043%,0.355%,-0.172%,0.048%,-0.047%,0.234%,-0.229%,1.213%,-0.974%,0.899%,-0.932%,0.28%,0.0%,0.322%,-0.187%,0.678%,-0.678%,-0.453%,0.492%,0.548%,0.0%
1247.5,1175.0,1320.0,3.68448e-05,4.734%,-4.734%,0.624%,-0.504%,1.13%,-1.095%,1.106%,-1.106%,0.624%,-0.833%,-0.441%,0.331%,0.101%,-0.101%,0.0%,-0.228%,2.455%,0.0%,1.105%,0.0%,0.0%,-0.146%,4.995%,-4.995%,0.135%,-0.332%,0.46%,-0.518%,0.183%,-0.11%,0.193%,-0.305%,0.088%,-0.045%,0.0%,-0.261%,1.179%,-1.179%,0.48%,-0.445%,0.503%,-0.503%,0.225%,-0.225%,0.088%,-0.088%,0.271%,-0.232%,0.054%,-0.054%,0.0%,-0.052%,-1.295%,1.18%,-0.444%,0.203%,0.12%,-0.336%,0.768%,-0.627%,0.099%,-0.058%,0.494%,-0.525%,0.044%,0.0%,0.022%,0.0%,0.0%,-0.152%,1.011%,-1.589%,0.196%,-0.196%,-1.005%,0.774%,-0.041%,0.041%,-0.619%,0.619%,2.513%,-0.59%,0.493%,-0.493%,3.31%,-3.31%,0.182%,-0.475%,0.326%,-0.326%,-0.067%,0.067%,0.365%,-0.572%,0.07%,-0.028%,0.22%,-0.392%,0.915%,-0.815%,1.049%,-1.045%,-0.766%,0.806%,0.332%,-0.438%,1.016%,-1.016%,-0.613%,0.448%,-1.009%,0.28%
