#: table_doi: 10.17182/hepdata.84154.v2/t70
#: name: Table 70
#: description: Relative systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the the $t\bar{t}$ system azimuthal angle $\Delta \phi^{t\bar{t}}$.

#: data_file: Table_70.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\Delta \phi^{t\bar{t}} bin,\Delta \phi^{t\bar{t}} bin,
1,1,1.0
2,1,0.848587467905
3,1,0.644815006377
4,1,-0.858941266581
1,2,0.848587467905
2,2,1.0
3,2,0.84141543168
4,2,-0.965261588916
1,3,0.644815006377
2,3,0.84141543168
3,3,1.0
4,3,-0.933524743667
1,4,-0.858941266581
2,4,-0.965261588916
3,4,-0.933524743667
4,4,1.0

