#: table_doi: 10.17182/hepdata.84154.v2/t8
#: name: Table 8
#: description: Fiducial phase-space relative differential cross-sections after combining the e+jets and $\mu$+jets channels for the hadronic top-quark transverse momentum $p_{T}^{t}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_8.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DPT_HADRONICTOP
#: keyword phrases: Inclusive | Top | Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_HADRONICTOP [GeV],PT_HADRONICTOP [GeV] LOW,PT_HADRONICTOP [GeV] HIGH,1/SIG*DSIG/DPT_HADRONICTOP,stat +,stat -,sys +,sys -
12.5,0.0,25.0,0.0014258,1.777%,-1.777%,3.679%,-3.536%
37.5,25.0,50.0,0.00402394,0.957%,-0.957%,2.173%,-2.122%
62.5,50.0,75.0,0.00598557,0.784%,-0.784%,3.273%,-3.278%
90.0,75.0,105.0,0.00658925,0.649%,-0.649%,0.872%,-0.941%
120.0,105.0,135.0,0.00585798,0.696%,-0.696%,1.232%,-1.156%
150.0,135.0,165.0,0.00402231,0.844%,-0.844%,1.805%,-1.746%
180.0,165.0,195.0,0.00257025,1.06%,-1.06%,3.389%,-3.585%
212.5,195.0,230.0,0.00161806,1.244%,-1.244%,1.717%,-1.731%
247.5,230.0,265.0,0.000975729,1.614%,-1.614%,2.77%,-2.313%
282.5,265.0,300.0,0.000577875,2.149%,-2.149%,4.36%,-4.656%
325.0,300.0,350.0,0.000318795,2.528%,-2.528%,5.399%,-5.642%
375.0,350.0,400.0,0.000166531,3.653%,-3.653%,3.832%,-3.56%
425.0,400.0,450.0,8.02505e-05,5.433%,-5.433%,5.748%,-6.074%
475.0,450.0,500.0,3.33974e-05,8.83%,-8.83%,12.45%,-12.339%
750.0,500.0,1000.0,3.93337e-06,8.685%,-8.685%,6.562%,-7.385%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
PT_HADRONICTOP [GeV],PT_HADRONICTOP [GeV] LOW,PT_HADRONICTOP [GeV] HIGH,DSIG/DPT_HADRONICTOP (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -"
12.5,0.0,25.0,0.0014258,1.777%,-1.777%,0.011%,-0.013%,0.148%,-0.157%,-0.345%,0.345%,-0.103%,0.118%,0.287%,-0.354%,0.187%,-0.187%,0.181%,0.0%,0.117%,0.0%,-0.017%,0.001%,0.0%,-0.004%,-3.146%,3.146%,-0.077%,0.114%,0.051%,-0.094%,-0.007%,0.007%,0.028%,0.0%,-0.023%,0.015%,-0.06%,0.017%,-0.266%,0.266%,0.072%,-0.082%,-0.052%,0.052%,-0.133%,0.133%,-0.052%,0.052%,0.077%,-0.086%,-0.006%,0.006%,0.0%,-0.016%,0.157%,0.0%,0.073%,-0.019%,-0.059%,0.045%,-0.336%,0.355%,0.037%,-0.046%,-0.571%,0.489%,0.021%,-0.017%,0.0%,-0.004%,0.0%,-0.004%,-0.456%,0.459%,0.004%,-0.004%,0.175%,-0.142%,0.007%,-0.007%,0.071%,-0.071%,0.813%,0.0%,0.187%,-0.187%,-0.945%,0.945%,0.268%,-0.169%,0.118%,-0.118%,-0.015%,0.015%,-0.038%,0.066%,-0.04%,0.033%,-0.042%,0.092%,-0.395%,0.355%,-0.108%,0.103%,-0.192%,0.255%,-0.078%,0.052%,0.442%,-0.442%,0.349%,-0.323%,-0.443%,0.735%
37.5,25.0,50.0,0.00402394,0.957%,-0.957%,0.025%,0.0%,0.209%,-0.187%,-0.22%,0.22%,-0.2%,0.252%,0.422%,-0.358%,0.042%,-0.042%,0.001%,-0.012%,0.0%,-0.212%,0.009%,0.0%,0.012%,0.0%,-0.938%,0.938%,-0.042%,0.063%,0.054%,-0.064%,-0.001%,0.02%,0.035%,-0.104%,-0.006%,0.029%,0.037%,0.0%,-0.601%,0.601%,0.05%,-0.025%,-0.005%,0.005%,-0.033%,0.033%,-0.028%,0.028%,0.13%,-0.108%,0.032%,-0.032%,-0.001%,0.037%,0.0%,-0.067%,0.029%,-0.012%,-0.052%,0.073%,-0.277%,0.262%,0.05%,-0.027%,-0.512%,0.56%,0.012%,0.0%,0.012%,0.0%,0.012%,0.0%,-0.502%,0.561%,-0.097%,0.097%,0.172%,-0.093%,0.009%,-0.009%,0.07%,-0.07%,0.0%,-0.263%,0.19%,-0.19%,-1.199%,1.199%,0.196%,-0.227%,0.072%,-0.072%,0.021%,-0.021%,-0.014%,0.034%,-0.029%,0.054%,-0.014%,0.075%,-0.395%,0.465%,-0.135%,0.163%,-0.212%,0.254%,-0.072%,0.091%,0.236%,-0.236%,0.421%,-0.347%,-0.601%,0.579%
62.5,50.0,75.0,0.00598557,0.784%,-0.784%,0.015%,0.0%,0.069%,-0.053%,-0.185%,0.185%,-0.145%,0.186%,0.284%,-0.261%,0.045%,-0.045%,0.058%,-0.017%,0.0%,-0.082%,0.0%,-0.013%,0.008%,0.0%,-1.89%,1.89%,-0.061%,0.052%,0.024%,-0.025%,0.015%,0.0%,0.22%,-0.004%,-0.008%,0.024%,0.037%,0.0%,-0.205%,0.205%,0.05%,-0.033%,0.028%,-0.028%,-0.074%,0.074%,-0.006%,0.006%,0.158%,-0.144%,0.034%,-0.034%,-0.003%,0.019%,0.184%,0.0%,0.034%,-0.04%,-0.047%,0.046%,-0.295%,0.233%,0.027%,-0.012%,-0.371%,0.403%,0.011%,0.0%,0.008%,0.0%,0.008%,0.0%,-0.458%,0.503%,-0.21%,0.21%,0.175%,-0.134%,0.005%,-0.005%,0.036%,-0.036%,0.0%,-0.613%,0.208%,-0.208%,-2.385%,2.385%,0.218%,-0.053%,0.085%,-0.085%,0.011%,-0.011%,-0.053%,0.036%,-0.023%,0.041%,-0.012%,0.054%,-0.336%,0.397%,-0.17%,0.194%,-0.094%,0.229%,-0.068%,0.063%,0.195%,-0.195%,0.259%,-0.273%,-0.329%,0.393%
90.0,75.0,105.0,0.00658925,0.649%,-0.649%,-0.018%,0.025%,-0.009%,0.016%,-0.024%,0.024%,-0.102%,0.105%,0.133%,-0.135%,-0.006%,0.006%,0.0%,-0.03%,-0.15%,0.033%,-0.004%,0.014%,0.003%,0.0%,0.216%,-0.216%,-0.01%,0.042%,0.015%,-0.015%,-0.009%,0.018%,0.017%,-0.091%,-0.008%,0.014%,-0.011%,0.0%,-0.474%,0.474%,0.017%,-0.01%,0.027%,-0.027%,-0.055%,0.055%,-0.012%,0.012%,0.108%,-0.103%,0.019%,-0.019%,0.004%,0.0%,-0.141%,0.045%,0.028%,-0.017%,-0.021%,0.041%,-0.155%,0.139%,0.01%,-0.003%,-0.133%,0.139%,0.006%,0.0%,0.003%,0.0%,0.003%,0.0%,-0.341%,0.321%,0.06%,-0.06%,0.084%,-0.089%,0.005%,-0.005%,0.014%,-0.014%,-0.082%,0.13%,0.099%,-0.099%,-0.203%,0.203%,0.213%,-0.265%,0.086%,-0.086%,0.0%,-0.0%,-0.022%,0.058%,-0.014%,0.021%,0.0%,-0.032%,-0.253%,0.233%,-0.19%,0.204%,-0.128%,0.064%,-0.037%,0.077%,0.157%,-0.157%,0.158%,-0.137%,-0.271%,0.159%
120.0,105.0,135.0,0.00585798,0.696%,-0.696%,-0.004%,0.008%,-0.05%,0.056%,0.127%,-0.127%,0.055%,-0.046%,-0.076%,0.075%,-0.05%,0.05%,-0.012%,0.046%,0.047%,-0.005%,0.0%,-0.043%,0.003%,0.0%,-0.644%,0.644%,-0.013%,0.014%,-0.005%,0.017%,0.004%,0.0%,-0.12%,0.144%,0.005%,0.0%,-0.026%,0.0%,0.216%,-0.216%,-0.021%,0.026%,0.001%,-0.001%,-0.011%,0.011%,0.009%,-0.009%,0.031%,-0.026%,-0.013%,0.013%,0.006%,0.0%,0.185%,-0.101%,0.043%,-0.019%,-0.012%,0.011%,-0.035%,0.013%,-0.005%,0.011%,0.232%,-0.213%,0.004%,0.0%,0.003%,0.0%,0.003%,0.0%,-0.04%,0.048%,0.144%,-0.144%,0.074%,-0.098%,0.005%,-0.005%,0.02%,-0.02%,0.354%,0.0%,-0.022%,0.022%,0.691%,-0.691%,-0.062%,0.06%,-0.034%,0.034%,-0.002%,0.002%,-0.033%,0.035%,0.004%,0.0%,-0.043%,0.047%,0.012%,-0.009%,-0.186%,0.199%,0.224%,-0.234%,-0.033%,0.026%,0.171%,-0.171%,-0.057%,0.044%,0.419%,-0.399%
150.0,135.0,165.0,0.00402231,0.844%,-0.844%,-0.022%,0.007%,-0.061%,0.049%,0.145%,-0.145%,0.199%,-0.238%,-0.308%,0.281%,-0.052%,0.052%,-0.04%,0.013%,0.168%,0.0%,0.0%,-0.019%,0.0%,-0.007%,0.534%,-0.534%,0.036%,-0.032%,-0.029%,0.029%,0.0%,-0.015%,-0.095%,0.091%,0.001%,-0.015%,0.075%,-0.056%,0.462%,-0.462%,0.0%,-0.011%,0.071%,-0.071%,0.068%,-0.068%,0.01%,-0.01%,-0.067%,0.055%,-0.019%,0.019%,0.0%,-0.018%,0.165%,-0.287%,0.022%,-0.029%,0.054%,-0.049%,0.212%,-0.147%,-0.023%,0.01%,0.298%,-0.409%,0.0%,-0.008%,0.0%,-0.007%,0.0%,-0.007%,0.262%,-0.312%,0.069%,-0.069%,0.022%,-0.003%,-0.007%,0.007%,0.006%,-0.006%,-0.075%,0.711%,-0.187%,0.187%,1.01%,-1.01%,-0.31%,0.288%,-0.056%,0.056%,-0.007%,0.007%,-0.002%,0.005%,0.01%,-0.024%,-0.035%,0.055%,0.275%,-0.33%,-0.092%,0.081%,0.335%,-0.391%,0.043%,-0.052%,0.207%,-0.207%,-0.26%,0.253%,0.638%,-0.677%
180.0,165.0,195.0,0.00257025,1.06%,-1.06%,0.0%,-0.011%,-0.096%,0.081%,0.119%,-0.119%,0.099%,-0.172%,-0.299%,0.23%,-0.038%,0.038%,-0.065%,0.007%,0.123%,0.0%,0.0%,-0.017%,0.0%,-0.008%,2.585%,-2.585%,0.022%,-0.069%,-0.031%,0.021%,0.0%,-0.005%,0.0%,-0.061%,0.008%,-0.024%,0.01%,-0.048%,0.513%,-0.513%,-0.033%,0.016%,0.051%,-0.051%,0.16%,-0.16%,0.009%,-0.009%,-0.148%,0.135%,-0.024%,0.024%,0.0%,-0.014%,-0.105%,0.053%,-0.039%,0.005%,0.0%,-0.042%,0.309%,-0.22%,-0.03%,0.015%,0.337%,-0.246%,0.0%,-0.016%,0.0%,-0.008%,0.0%,-0.008%,0.337%,-0.268%,0.077%,-0.077%,-0.211%,0.075%,-0.009%,0.009%,-0.029%,0.029%,0.0%,-1.174%,-0.149%,0.149%,1.95%,-1.95%,-0.104%,0.083%,-0.13%,0.13%,0.0%,-0.0%,0.0%,-0.043%,0.026%,-0.042%,0.032%,-0.107%,0.235%,-0.232%,0.041%,-0.06%,0.091%,-0.038%,0.0%,-0.07%,0.257%,-0.257%,-0.325%,0.246%,0.289%,-0.195%
212.5,195.0,230.0,0.00161806,1.244%,-1.244%,0.023%,-0.048%,-0.101%,0.081%,0.142%,-0.142%,0.2%,-0.175%,-0.321%,0.366%,-0.018%,0.018%,0.027%,-0.019%,0.012%,0.0%,-0.015%,0.03%,0.0%,-0.01%,0.52%,-0.52%,0.066%,-0.107%,-0.033%,0.061%,0.016%,-0.033%,0.0%,-0.101%,0.014%,-0.034%,0.0%,-0.029%,0.488%,-0.488%,-0.076%,0.057%,-0.043%,0.043%,0.013%,-0.013%,0.017%,-0.017%,-0.221%,0.204%,-0.029%,0.029%,0.0%,-0.03%,-0.115%,0.09%,-0.083%,0.039%,0.058%,-0.087%,0.342%,-0.326%,-0.038%,0.018%,0.313%,-0.331%,0.0%,-0.015%,0.0%,-0.01%,0.0%,-0.01%,0.567%,-0.652%,-0.056%,0.056%,-0.276%,0.273%,-0.015%,0.015%,-0.041%,0.041%,0.356%,0.0%,-0.228%,0.228%,0.898%,-0.898%,-0.341%,0.218%,-0.178%,0.178%,-0.01%,0.01%,0.066%,-0.089%,0.037%,-0.059%,0.078%,-0.109%,0.458%,-0.426%,0.277%,-0.309%,0.003%,-0.06%,0.15%,-0.121%,0.3%,-0.3%,-0.373%,0.388%,0.12%,-0.145%
247.5,230.0,265.0,0.000975729,1.614%,-1.614%,0.006%,-0.027%,-0.134%,0.116%,0.382%,-0.382%,0.122%,-0.13%,-0.201%,0.303%,0.013%,-0.013%,0.106%,0.0%,0.224%,-0.093%,0.185%,0.0%,0.0%,-0.009%,1.559%,-1.559%,0.09%,-0.087%,-0.048%,0.036%,0.0%,-0.024%,0.111%,0.0%,0.022%,-0.041%,-0.033%,0.111%,0.838%,-0.838%,-0.049%,0.029%,-0.116%,0.116%,0.216%,-0.216%,0.036%,-0.036%,-0.277%,0.262%,-0.027%,0.027%,0.004%,-0.019%,-0.303%,0.424%,-0.11%,0.112%,0.078%,-0.012%,0.383%,-0.44%,-0.033%,0.015%,0.297%,-0.198%,0.0%,-0.019%,0.0%,-0.009%,0.0%,-0.009%,0.85%,-0.696%,-0.051%,0.051%,-0.369%,0.501%,-0.013%,0.013%,-0.079%,0.079%,1.258%,0.0%,-0.23%,0.23%,-0.026%,0.026%,-0.104%,0.236%,-0.005%,0.005%,-0.022%,0.022%,0.09%,-0.077%,0.051%,-0.071%,0.168%,-0.1%,0.53%,-0.523%,0.603%,-0.649%,-0.086%,0.187%,0.156%,-0.078%,0.383%,-0.383%,-0.264%,0.367%,0.157%,0.0%
282.5,265.0,300.0,0.000577875,2.149%,-2.149%,0.043%,-0.079%,-0.047%,0.015%,-0.006%,0.006%,0.183%,-0.25%,-0.39%,0.225%,0.038%,-0.038%,0.0%,-0.207%,0.222%,-0.224%,0.082%,-0.021%,0.0%,-0.016%,3.643%,-3.643%,0.073%,-0.161%,-0.043%,0.045%,0.0%,-0.02%,0.0%,-0.218%,0.023%,-0.055%,0.0%,-0.138%,-0.188%,0.188%,-0.11%,0.08%,-0.242%,0.242%,0.034%,-0.034%,0.022%,-0.022%,-0.362%,0.336%,-0.043%,0.043%,0.003%,-0.033%,-0.417%,0.155%,-0.252%,0.123%,0.11%,-0.22%,0.507%,-0.502%,-0.041%,0.01%,0.273%,-0.4%,0.0%,-0.02%,0.0%,-0.016%,0.0%,-0.016%,1.048%,-1.404%,-0.106%,0.106%,-0.63%,0.354%,-0.011%,0.011%,-0.072%,0.072%,0.613%,0.0%,-0.319%,0.319%,1.315%,-1.315%,-0.493%,0.187%,-0.073%,0.073%,-0.006%,0.006%,0.172%,-0.244%,0.047%,-0.08%,0.03%,-0.229%,0.65%,-0.995%,0.961%,-1.03%,0.0%,-0.26%,0.198%,-0.299%,0.496%,-0.496%,-0.476%,0.276%,0.0%,-0.169%
