#: table_doi: 10.17182/hepdata.84154.v2/t81
#: name: Table 81
#: description: Absolute systematics-only correlation matrix of the fiducial phase-space differential cross-section as a function of the production angle $\chi^{t\bar{t}}$.

#: data_file: Table_81.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
\chi^{t\bar{t}} bin,\chi^{t\bar{t}} bin,
1,1,1.0
2,1,0.999760913921
3,1,0.996926093432
4,1,0.999354574969
5,1,0.996784070384
6,1,0.996235280975
7,1,0.996139879517
8,1,0.988017506364
9,1,0.975620953856
10,1,0.971778406974
1,2,0.999760913921
2,2,1.0
3,2,0.996637375445
4,2,0.999176353297
5,2,0.996679386128
6,2,0.996551065058
7,2,0.996420601962
8,2,0.987324356923
9,2,0.976380676994
10,2,0.972233510651
1,3,0.996926093432
2,3,0.996637375445
3,3,1.0
4,3,0.997309375633
5,3,0.999613256293
6,3,0.99218057232
7,3,0.993947036026
8,3,0.993461635486
9,3,0.971033684604
10,3,0.966345961744
1,4,0.999354574969
2,4,0.999176353297
3,4,0.997309375633
4,4,1.0
5,4,0.997360535185
6,4,0.996456978979
7,4,0.997065688676
8,4,0.991493634343
9,4,0.978980073605
10,4,0.975058175665
1,5,0.996784070384
2,5,0.996679386128
3,5,0.999613256293
4,5,0.997360535185
5,5,1.0
6,5,0.993449082291
7,5,0.995287264241
8,5,0.994120784417
9,5,0.973150777387
10,5,0.969940899159
1,6,0.996235280975
2,6,0.996551065058
3,6,0.99218057232
4,6,0.996456978979
5,6,0.993449082291
6,6,1.0
7,6,0.999059325966
8,6,0.986051449361
9,6,0.98387437071
10,6,0.984149619843
1,7,0.996139879517
2,7,0.996420601962
3,7,0.993947036026
4,7,0.997065688676
5,7,0.995287264241
6,7,0.999059325966
7,7,1.0
8,7,0.99029833141
9,7,0.986312852742
10,7,0.986775685421
1,8,0.988017506364
2,8,0.987324356923
3,8,0.993461635486
4,8,0.991493634343
5,8,0.994120784417
6,8,0.986051449361
7,8,0.99029833141
8,8,1.0
9,8,0.979839837779
10,8,0.973872029504
1,9,0.975620953856
2,9,0.976380676994
3,9,0.971033684604
4,9,0.978980073605
5,9,0.973150777387
6,9,0.98387437071
7,9,0.986312852742
8,9,0.979839837779
9,9,1.0
10,9,0.991015176864
1,10,0.971778406974
2,10,0.972233510651
3,10,0.966345961744
4,10,0.975058175665
5,10,0.969940899159
6,10,0.984149619843
7,10,0.986775685421
8,10,0.973872029504
9,10,0.991015176864
10,10,1.0

