#: table_doi: 10.17182/hepdata.84154.v2/t92
#: name: Table 92
#: description: Relative statistics-only correlation matrix of the full phase-space differential cross-section as a function of the the $t\bar{t}$ system transverse momentum $p_{T}^{t\bar{t}}$.

#: data_file: Table_92.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword phrases: Inclusive | Top | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GeV],8000.0
p_{T}^{t\bar{t}} bin,p_{T}^{t\bar{t}} bin,
1,1,1.0
2,1,0.297073466498
3,1,-0.785489706278
4,1,-0.77718881589
5,1,-0.480475085944
6,1,-0.216304483064
1,2,0.297073466498
2,2,1.0
3,2,0.151959338088
4,2,-0.568851129716
5,2,-0.715661871029
6,2,-0.40248674733
1,3,-0.785489706278
2,3,0.151959338088
3,3,1.0
4,3,0.60914237348
5,3,-0.0650524389553
6,3,-0.183969693663
1,4,-0.77718881589
2,4,-0.568851129716
3,4,0.60914237348
4,4,1.0
5,4,0.472221406145
6,4,-0.0858021753834
1,5,-0.480475085944
2,5,-0.715661871029
3,5,-0.0650524389553
4,5,0.472221406145
5,5,1.0
6,5,0.229785435641
1,6,-0.216304483064
2,6,-0.40248674733
3,6,-0.183969693663
4,6,-0.0858021753834
5,6,0.229785435641
6,6,1.0

