#: table_doi: 10.17182/hepdata.89322.v1/t3
#: name: Table 3
#: description: Cross-sections (differential in $\eta_{\mu}$) and asymmetry, as a function of $|\eta_{\mu}|$). The central values are provided along with the statistical and dominant systematic uncertainties: the data statistical uncertainty (Data Stat.), the $E_T^{\textrm{miss}}$ uncertainty, the uncertainties related to muon reconstruction (Muon Reco.), those related to the background, those from MC statistics (MC Stat.), and modelling uncertainties. The uncertainties of the cross-sections are given in percent and those of the asymmetry as an absolute difference from the nominal.
#: data_file: systematic_paper_v2.yaml
#: keyword reactions: P P --> W X
#: keyword observables: SIG
#: keyword phrases: Inclusive | Integrated Cross Section | Cross Section | Proton-Proton Scattering | W Production | Charge Asymmetry | Systematic Uncertainties
#: keyword cmenergies: 8000.0
#: RE,,,P P --> (W+) X
#: SQRT(S) [GeV],,,8000.0
#: ,,,Systematic Uncertainties
Absolute muon $\eta$,Absolute muon $\eta$ LOW,Absolute muon $\eta$ HIGH,W+,stat +,stat -,"sys, Etmiss +","sys, Etmiss -","sys, Muon reconstruction +","sys, Muon reconstruction -","sys, Background +","sys, Background -","sys, MC Statistics +","sys, MC Statistics -","sys, Modelling +","sys, Modelling -"
0.105,0.0,0.21,630.3,0.06,-0.06,0.45,-0.45,0.4,-0.4,0.48,-0.48,0.17,-0.17,0.67,-0.67
0.315,0.21,0.42,635.2,0.05,-0.05,0.48,-0.48,0.21,-0.21,0.42,-0.42,0.13,-0.13,0.4,-0.4
0.525,0.42,0.63,641.6,0.05,-0.05,0.48,-0.48,0.45,-0.45,0.4,-0.4,0.13,-0.13,0.31,-0.31
0.735,0.63,0.84,638.1,0.06,-0.06,0.52,-0.52,0.23,-0.23,0.44,-0.44,0.14,-0.14,0.31,-0.31
0.9450000000000001,0.84,1.05,642.8,0.06,-0.06,0.6,-0.6,0.32,-0.32,0.42,-0.42,0.14,-0.14,0.37,-0.37
1.21,1.05,1.37,654.7,0.04,-0.04,0.56,-0.56,0.34,-0.34,0.39,-0.39,0.09,-0.09,0.57,-0.57
1.445,1.37,1.52,661.0,0.06,-0.06,0.56,-0.56,0.22,-0.22,0.42,-0.42,0.12,-0.12,0.86,-0.86
1.63,1.52,1.74,662.3,0.05,-0.05,0.62,-0.62,0.27,-0.27,0.4,-0.4,0.1,-0.1,0.97,-0.97
1.845,1.74,1.95,661.8,0.05,-0.05,0.61,-0.61,0.43,-0.43,0.39,-0.39,0.1,-0.1,0.85,-0.85
2.065,1.95,2.18,657.5,0.05,-0.05,0.54,-0.54,0.48,-0.48,0.43,-0.43,0.1,-0.1,0.76,-0.76
2.29,2.18,2.4,641.5,0.05,-0.05,0.48,-0.48,0.42,-0.42,0.41,-0.41,0.1,-0.1,0.88,-0.88

#: RE,,,P P --> (W') X
#: SQRT(S) [GeV],,,8000.0
#: ,,,Systematic Uncertainties
Absolute muon $\eta$,Absolute muon $\eta$ LOW,Absolute muon $\eta$ HIGH,W-,stat +,stat -,"sys, Etmiss +","sys, Etmiss -","sys, Muon reconstruction +","sys, Muon reconstruction -","sys, Background +","sys, Background -","sys, MC Statistics +","sys, MC Statistics -","sys, Modelling +","sys, Modelling -"
0.105,0.0,0.21,493.7,0.07,-0.07,0.41,-0.41,0.4,-0.4,0.49,-0.49,0.18,-0.18,0.47,-0.47
0.315,0.21,0.42,489.6,0.06,-0.06,0.43,-0.43,0.2,-0.2,0.44,-0.44,0.14,-0.14,0.47,-0.47
0.525,0.42,0.63,485.8,0.06,-0.06,0.49,-0.49,0.45,-0.45,0.43,-0.43,0.14,-0.14,0.48,-0.48
0.735,0.63,0.84,474.3,0.07,-0.07,0.57,-0.57,0.23,-0.23,0.46,-0.46,0.16,-0.16,0.55,-0.55
0.9450000000000001,0.84,1.05,465.0,0.07,-0.07,0.56,-0.56,0.31,-0.31,0.42,-0.42,0.16,-0.16,0.67,-0.67
1.21,1.05,1.37,455.7,0.05,-0.05,0.62,-0.62,0.34,-0.34,0.43,-0.43,0.1,-0.1,0.73,-0.73
1.445,1.37,1.52,439.7,0.07,-0.07,0.63,-0.63,0.23,-0.23,0.47,-0.47,0.14,-0.14,0.68,-0.68
1.63,1.52,1.74,427.3,0.06,-0.06,0.61,-0.61,0.28,-0.28,0.55,-0.55,0.12,-0.12,0.65,-0.65
1.845,1.74,1.95,410.2,0.06,-0.06,0.68,-0.68,0.44,-0.44,0.58,-0.58,0.12,-0.12,0.74,-0.74
2.065,1.95,2.18,389.1,0.06,-0.06,0.67,-0.67,0.49,-0.49,0.51,-0.51,0.13,-0.13,0.95,-0.95
2.29,2.18,2.4,368.3,0.07,-0.07,0.65,-0.65,0.4,-0.4,0.58,-0.58,0.13,-0.13,1.21,-1.21

#: RE,,,P P --> (W+) X
#: SQRT(S) [GeV],,,8000.0
#: ,,,Systematic Uncertainties
Absolute muon $\eta$,Absolute muon $\eta$ LOW,Absolute muon $\eta$ HIGH,Asymmetry,stat +,stat -,"sys, Etmiss +","sys, Etmiss -","sys, Muon reconstruction +","sys, Muon reconstruction -","sys, Background +","sys, Background -","sys, MC Statistics +","sys, MC Statistics -","sys, Modelling +","sys, Modelling -"
0.105,0.0,0.21,0.1215,0.0005,-0.0005,0.0004,-0.0004,0.0007,-0.0007,0.0012,-0.0012,0.0012,-0.0012,0.001,-0.001
0.315,0.21,0.42,0.1294,0.0004,-0.0004,0.0004,-0.0004,0.0003,-0.0003,0.0008,-0.0008,0.001,-0.001,0.0003,-0.0003
0.525,0.42,0.63,0.1383,0.0004,-0.0004,0.0002,-0.0002,0.0027,-0.0027,0.0008,-0.0008,0.0009,-0.0009,0.0008,-0.0008
