#: table_doi: 10.17182/hepdata.79410.v1/t17
#: name: Table 17
#: description: Electroweak correction factor to triple-differential dijet cross section
#: data_file: table_17.yaml
#: keyword observables: Electroweak correction factor
#: keyword phrases: Triple Differential Inclusive Dijet Production
#: keyword cmenergies: 8000
#: keyword reactions: P P --> JET JET X
#: YSTAR,,,1.0 <= YSTAR < 2.0
#: SQRT(S) [TeV],,,8
#: YBOOST,,,1.0 <= YBOOST < 2.0
PTAVG [GeV],PTAVG [GeV] LOW,PTAVG [GeV] HIGH,EWCORR
143.0,133.0,153.0,0.99725
163.5,153.0,174.0,0.99664
185.0,174.0,196.0,0.99596
208.0,196.0,220.0,0.99521
232.5,220.0,245.0,0.99441
258.5,245.0,272.0,0.99356
286.0,272.0,300.0,0.99267
315.0,300.0,330.0,0.99177
346.0,330.0,362.0,0.99079
378.5,362.0,395.0,0.98986
412.5,395.0,430.0,0.98888
449.0,430.0,468.0,0.98795
487.5,468.0,507.0,0.98705
527.5,507.0,548.0,0.98601
570.0,548.0,592.0,0.98538
615.0,592.0,638.0,0.98474
662.0,638.0,686.0,0.98427

