    i          rs           x          Q2       sigma        stat        syst        norm
    0     140.7124700       0.0067833     110.0000000       0.7343738       1.4907128       2.0000000       5.8000000
    1     140.7124700       0.0095817     110.0000000       0.8855941       1.3558159       2.0000000       5.8000000
    2     140.7124700       0.0135346     110.0000000       1.0257907       1.3854220       2.0000000       5.8000000
    3     140.7124700       0.0191181     110.0000000       1.0834337       1.3520943       2.0000000       5.8000000
    4     140.7124700       0.0270050     110.0000000       1.0399626       1.3633519       2.0000000       5.8000000
    5     140.7124700       0.0381456     110.0000000       0.9288646       1.3520898       2.0000000       5.8000000
    6     140.7124700       0.0538820     110.0000000       0.8105092       1.4314935       2.0000000       5.8000000
    7     140.7124700       0.0761104     110.0000000       0.7382867       1.4184772       2.0000000       5.8000000
    8     140.7124700       0.1075090     110.0000000       0.7199914       1.5161940       2.0000000       5.8000000
    9     140.7124700       0.1518600     110.0000000       0.7129941       1.5870959       2.0000000       5.8000000
   10     140.7124700       0.2145080     110.0000000       0.6531445       1.6855068       2.0000000       5.8000000
   11     140.7124700       0.3030010     110.0000000       0.5045511       1.9536566       2.0000000       5.8000000
   12     140.7124700       0.4280000     110.0000000       0.2859592       2.5400006       2.0000000       5.8000000
   13     140.7124700       0.6045670     110.0000000       0.0846329       6.9006210       2.0000000       5.8000000
   14     140.7124700       0.8539730     110.0000000       0.0087198      22.3607005       2.0000000       5.8000000
   15     140.7124700       0.0095817     130.0000000       0.7539735       1.3788203       2.0000000       5.8000000
   16     140.7124700       0.0135346     130.0000000       0.8850889       1.3608272       2.0000000       5.8000000
   17     140.7124700       0.0191181     130.0000000       1.0005956       1.3975436       2.0000000       5.8000000
   18     140.7124700       0.0270050     130.0000000       1.0444728       1.3292084       2.0000000       5.8000000
   19     140.7124700       0.0381456     130.0000000       0.9982222       1.3620910       2.0000000       5.8000000
   20     140.7124700       0.0538820     130.0000000       0.8857292       1.4002815       2.0000000       5.8000000
   21     140.7124700       0.0761104     130.0000000       0.7630301       1.4403784       2.0000000       5.8000000
   22     140.7124700       0.1075090     130.0000000       0.6803379       1.4664727       2.0000000       5.8000000
   23     140.7124700       0.1518600     130.0000000       0.6430291       1.5732889       2.0000000       5.8000000
   24     140.7124700       0.2145080     130.0000000       0.6011402       1.7225958       2.0000000       5.8000000
   25     140.7124700       0.3030010     130.0000000       0.4927365       1.9574030       2.0000000       5.8000000
   26     140.7124700       0.4280000     130.0000000       0.2964240       2.7735053       2.0000000       5.8000000
   27     140.7124700       0.6045670     130.0000000       0.0896637       5.2704688       2.0000000       5.8000000
   28     140.7124700       0.8539730     130.0000000       0.0073845      22.3607005       2.0000000       5.8000000
   29     140.7124700       0.0135346     200.0000000       0.6952868       1.5109930       2.0000000       5.8000000
   30     140.7124700       0.0191181     200.0000000       0.7513013       1.4509504       2.0000000       5.8000000
   31     140.7124700       0.0270050     200.0000000       0.8348560       1.3934696       2.0000000       5.8000000
   32     140.7124700       0.0381456     200.0000000       0.9092484       1.3762073       2.0000000       5.8000000
   33     140.7124700       0.0538820     200.0000000       0.9285848       1.4170514       2.0000000       5.8000000
   34     140.7124700       0.0761104     200.0000000       0.8745287       1.5541747       2.0000000       5.8000000
   35     140.7124700       0.1075090     200.0000000       0.7680591       1.5732907       2.0000000       5.8000000
   36     140.7124700       0.1518600     200.0000000       0.6428341       1.6529486       2.0000000       5.8000000
   37     140.7124700       0.2145080     200.0000000       0.5238908       1.7931648       2.0000000       5.8000000
   38     140.7124700       0.3030010     200.0000000       0.4080564       2.0080409       2.0000000       5.8000000
   39     140.7124700       0.4280000     200.0000000       0.2598605       2.7524089       2.0000000       5.8000000
   40     140.7124700       0.6045670     200.0000000       0.0881455       4.8224233       2.0000000       5.8000000
   41     140.7124700       0.8539730     200.0000000       0.0075692      18.2574290       2.0000000       5.8000000
   42     140.7124700       0.0270050     400.0000000       0.7496887       1.6736552       2.0000000       5.8000000
   43     140.7124700       0.0381456     400.0000000       0.7441265       1.5448710       2.0000000       5.8000000
   44     140.7124700       0.0538820     400.0000000       0.7044939       1.5339232       2.0000000       5.8000000
   45     140.7124700       0.0761104     400.0000000       0.6750730       1.6095600       2.0000000       5.8000000
   46     140.7124700       0.1075090     400.0000000       0.6754420       1.6831129       2.0000000       5.8000000
   47     140.7124700       0.1518600     400.0000000       0.6731089       1.7355288       2.0000000       5.8000000
   48     140.7124700       0.2145080     400.0000000       0.6109876       1.9069329       2.0000000       5.8000000
   49     140.7124700       0.3030010     400.0000000       0.4600774       2.1926474       2.0000000       5.8000000
   50     140.7124700       0.4280000     400.0000000       0.2489671       2.9748175       2.0000000       5.8000000
   51     140.7124700       0.6045670     400.0000000       0.0695922       5.4232726       2.0000000       5.8000000
   52     140.7124700       0.8539730     400.0000000       0.0060856      31.6227766       2.0000000       5.8000000
   53     140.7124700       0.0538820     700.0000000       0.6120729       1.8257435       2.0000000       5.8000000
   54     140.7124700       0.0761104     700.0000000       0.6714863       1.8764651       2.0000000       5.8000000
   55     140.7124700       0.1075090     700.0000000       0.7119587       1.8537597       2.0000000       5.8000000
   56     140.7124700       0.1518600     700.0000000       0.6910920       1.9316621       2.0000000       5.8000000
   57     140.7124700       0.2145080     700.0000000       0.5839501       2.0244419       2.0000000       5.8000000
   58     140.7124700       0.3030010     700.0000000       0.4068126       2.5318479       2.0000000       5.8000000
   59     140.7124700       0.4280000     700.0000000       0.2125904       3.1158824       2.0000000       5.8000000
   60     140.7124700       0.6045670     700.0000000       0.0625632       6.0857775       2.0000000       5.8000000
