,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),-0.468636153547753
0,140.71247,0.00678335,110,0.604534258601923,4.71404768827548,2,5.8,0.654016852378845,
1,140.71247,0.00958173,110,0.703439759543053,4.28746632741081,2,5.8,0.732472538948059,
2,140.71247,0.0135346,110,0.703437265177318,4.38108911542022,2,5.8,0.784030079841614,
3,140.71247,0.0191181,110,0.807811925383223,4.27569769498884,2,5.8,0.793182671070099,
4,140.71247,0.027005,110,0.718990406928727,4.31129727224349,2,5.8,0.76533180475235,
5,140.71247,0.0381456,110,0.675917120865837,4.27568328165991,2,5.8,0.710893273353577,
6,140.71247,0.053882,110,0.677599215314183,4.52678005014651,2,5.8,0.642633259296417,
7,140.71247,0.0761104,110,0.561998674682573,4.48561890705998,2,5.8,0.569629669189453,
8,140.71247,0.107509,110,0.494804029166385,4.79462637518679,2,5.8,0.494906276464462,
9,140.71247,0.15186,110,0.418537145957306,5.01883800882247,2,5.8,0.412925690412521,
10,140.71247,0.214508,110,0.357304801192003,5.3300404318286,2,5.8,0.316740840673447,
11,140.71247,0.303001,110,0.203446230389089,6.1780047145185,2,5.8,0.204256013035774,
12,140.71247,0.428,110,0.096583210541247,8.03218714705005,2,5.8,0.095385037362576,
13,140.71247,0.604567,110,0.021885561666684,21.821679705576,2,5.8,0.019595129415393,
14,140.71247,0.853973,110,-0.002804635609337,70.7107435120122,2,5.8,-0.001563261146657,
15,140.71247,0.00958173,130,0.695608122456699,4.36021266230328,2,5.8,0.66149628162384,
16,140.71247,0.0135346,130,0.703329855768184,4.30331332685309,2,5.8,0.723744869232178,
17,140.71247,0.0191181,130,0.76005605033401,4.41942074883792,2,5.8,0.74895852804184,
18,140.71247,0.027005,130,0.650019123702627,4.20332611022635,2,5.8,0.734869480133056,
19,140.71247,0.0381456,130,0.722805213247207,4.30730989481225,2,5.8,0.690469443798065,
20,140.71247,0.053882,130,0.60525686239149,4.42807899928458,2,5.8,0.628750085830689,
21,140.71247,0.0761104,130,0.562215008858851,4.55487656041077,2,5.8,0.559609830379486,
22,140.71247,0.107509,130,0.471451825267715,4.63739398721917,2,5.8,0.487083792686462,
23,140.71247,0.15186,130,0.370446828992898,4.97517643882811,2,5.8,0.406481295824051,
24,140.71247,0.214508,130,0.285470217168846,5.44732614383922,2,5.8,0.311413168907165,
25,140.71247,0.303001,130,0.168290732282414,6.18985190773018,2,5.8,0.200300335884094,
26,140.71247,0.428,130,0.088854694119023,8.77059369285785,2,5.8,0.093016393482685,
27,140.71247,0.604567,130,0.02318849206083,16.6666858109699,2,5.8,0.01892264187336,
