,rs,x,Q2,sigma,stat_u(%),syst_u(%),norm_c(%),sigma (unshifted),-0.162105783077413
423,28.6356421265527,0.00325,1.29,0,0.00905,1.5,2.5,0,
424,28.6356421265527,0.00515,1.29,0,0.00864,1.5,2.5,0,
425,28.6356421265527,0.00515,2.05,0,0.0113,1.5,2.5,0,
426,28.6356421265527,0.00815,1.29,0,0.00845,1.5,2.5,0,
427,28.6356421265527,0.00815,2.05,0,0.0108,1.5,2.5,0,
428,28.6356421265527,0.00815,3.25,0.397901594228255,0.0136,1.5,2.5,0.403466582298279,
429,28.6356421265527,0.0129,1.29,0,0.00838,1.5,2.5,0,
430,28.6356421265527,0.0129,2.05,0,0.0105,1.5,2.5,0,
431,28.6356421265527,0.0129,3.25,0.384365069949813,0.0129,1.5,2.5,0.391586989164352,
432,28.6356421265527,0.0129,5.15,0.423564123747005,0.0167,1.5,2.5,0.425283253192902,
433,28.6356421265527,0.0205,1.29,0,0.00842,1.5,2.5,0,
434,28.6356421265527,0.0205,2.05,0,0.0104,1.5,2.5,0,
435,28.6356421265527,0.0205,3.25,0.383226002462322,0.0126,1.5,2.5,0.379819720983505,
436,28.6356421265527,0.0205,5.15,0.416048121189156,0.016,1.5,2.5,0.411803424358368,
437,28.6356421265527,0.0205,8.15,0.431874834787546,0.0209,1.5,2.5,0.436116337776184,
438,28.6356421265527,0.0325,1.29,0,0.0085,1.5,2.5,0,
439,28.6356421265527,0.0325,2.05,0,0.0104,1.5,2.5,0,
440,28.6356421265527,0.0325,3.25,0.363183666738015,0.0125,1.5,2.5,0.3718301653862,
441,28.6356421265527,0.0325,5.15,0.396910872402274,0.0156,1.5,2.5,0.396024316549301,
442,28.6356421265527,0.0325,8.15,0.421871885394513,0.02,1.5,2.5,0.418204426765442,
443,28.6356421265527,0.0325,12.9,0.435556456977568,0.0266,1.5,2.5,0.434071660041809,
444,28.6356421265527,0.0515,1.29,0,0.00859,1.5,2.5,0,
445,28.6356421265527,0.0515,2.05,0,0.0104,1.5,2.5,0,
446,28.6356421265527,0.0515,3.25,0.355757424838036,0.0126,1.5,2.5,0.362985640764236,
447,28.6356421265527,0.0515,5.15,0.380472073322124,0.0156,1.5,2.5,0.381075710058212,
448,28.6356421265527,0.0515,8.15,0.385200766200267,0.0197,1.5,2.5,0.39759236574173,
