    i          rs           x          Q2       sigma        stat        syst        norm
  117  63.2455532   0.0008150   1.2900000   0.0000000   0.0077700   2.3000000   4.3000000
  118  63.2455532   0.0012900   1.2900000   0.0000000   0.0075700   2.3000000   4.3000000
  119  63.2455532   0.0012900   2.0500000   0.0000000   0.0096700   2.3000000   4.3000000
  120  63.2455532   0.0020500   1.2900000   0.0000000   0.0075300   2.3000000   4.3000000
  121  63.2455532   0.0020500   2.0500000   0.0000000   0.0094400   2.3000000   4.3000000
  122  63.2455532   0.0020500   3.2500000   0.4993990   0.0117000   2.3000000   4.3000000
  123  63.2455532   0.0032500   1.2900000   0.0000000   0.0076000   2.3000000   4.3000000
  124  63.2455532   0.0032500   2.0500000   0.0000000   0.0094100   2.3000000   4.3000000
  125  63.2455532   0.0032500   3.2500000   0.5108162   0.0113000   2.3000000   4.3000000
  126  63.2455532   0.0032500   5.1500000   0.5607064   0.0143000   2.3000000   4.3000000
  127  63.2455532   0.0051500   1.2900000   0.0000000   0.0077200   2.3000000   4.3000000
  128  63.2455532   0.0051500   2.0500000   0.0000000   0.0094600   2.3000000   4.3000000
  129  63.2455532   0.0051500   3.2500000   0.4209720   0.0113000   2.3000000   4.3000000
  130  63.2455532   0.0051500   5.1500000   0.5109139   0.0138000   2.3000000   4.3000000
  131  63.2455532   0.0051500   8.1500000   0.6052870   0.0177000   2.3000000   4.3000000
  132  63.2455532   0.0081500   1.2900000   0.0000000   0.0079000   2.3000000   4.3000000
  133  63.2455532   0.0081500   2.0500000   0.0000000   0.0096500   2.3000000   4.3000000
  134  63.2455532   0.0081500   3.2500000   0.4167059   0.0114000   2.3000000   4.3000000
  135  63.2455532   0.0081500   5.1500000   0.4480287   0.0138000   2.3000000   4.3000000
  136  63.2455532   0.0081500   8.1500000   0.4937969   0.0172000   2.3000000   4.3000000
  137  63.2455532   0.0081500  12.9000000   0.5596409   0.0222000   2.3000000   4.3000000
  138  63.2455532   0.0129000   1.2900000   0.0000000   0.0081000   2.3000000   4.3000000
  139  63.2455532   0.0129000   2.0500000   0.0000000   0.0098000   2.3000000   4.3000000
  140  63.2455532   0.0129000   3.2500000   0.4250467   0.0116000   2.3000000   4.3000000
