group	dataset	id	replica 22
ALL	NMC_NC_NOTFIXED_EM-F2	46	0.9804115323436958
ALL	NMC_NC_NOTFIXED_EM-F2	58	0.9758629655373461
ALL	NMC_NC_NOTFIXED_EM-F2	59	1.0019493170394342
ALL	NMC_NC_NOTFIXED_EM-F2	60	0.9927041807169612
ALL	NMC_NC_NOTFIXED_EM-F2	72	0.9951286072497287
ALL	NMC_NC_NOTFIXED_EM-F2	73	0.9631667637253982
ALL	NMC_NC_NOTFIXED_EM-F2	74	0.9780455219138926
ALL	NMC_NC_NOTFIXED_EM-F2	75	0.9486153444829818
ALL	NMC_NC_NOTFIXED_EM-F2	86	0.9683603457261711
ALL	NMC_NC_NOTFIXED_EM-F2	87	0.9837884729539634
ALL	NMC_NC_NOTFIXED_EM-F2	88	0.962777652750232
ALL	NMC_NC_NOTFIXED_EM-F2	89	0.9704508945042595
ALL	NMC_NC_NOTFIXED_EM-F2	91	0.9254188423141885
ALL	NMC_NC_NOTFIXED_EM-F2	101	0.9814104487998986
ALL	NMC_NC_NOTFIXED_EM-F2	104	0.9755913532002568
ALL	NMC_NC_NOTFIXED_EM-F2	106	0.9698672725319194
ALL	NMC_NC_NOTFIXED_EM-F2	107	0.956887752796229
ALL	NMC_NC_NOTFIXED_EM-F2	116	0.9436810636356661
ALL	NMC_NC_NOTFIXED_EM-F2	117	0.9567989159396981
ALL	NMC_NC_NOTFIXED_EM-F2	118	0.9447329059072671
ALL	NMC_NC_NOTFIXED_EM-F2	119	0.9506781121677967
ALL	NMC_NC_NOTFIXED_EM-F2	120	0.9309390215604703
ALL	NMC_NC_NOTFIXED_EM-F2	123	0.9639908411790068
ALL	NMC_NC_NOTFIXED_EM-F2	131	0.9486012495004789
ALL	NMC_NC_NOTFIXED_EM-F2	132	0.9541029082664755
ALL	NMC_NC_NOTFIXED_EM-F2	133	0.9185155399894073
ALL	NMC_NC_NOTFIXED_EM-F2	134	0.9177568018310971
ALL	NMC_NC_NOTFIXED_EM-F2	135	0.9172515449034135
ALL	NMC_NC_NOTFIXED_EM-F2	136	0.944103845067726
ALL	NMC_NC_NOTFIXED_EM-F2	138	0.9532232789079322
ALL	NMC_NC_NOTFIXED_EM-F2	139	0.9445072660078484
ALL	NMC_NC_NOTFIXED_EM-F2	147	0.956550622864689
ALL	NMC_NC_NOTFIXED_EM-F2	148	0.9409944916935278
ALL	NMC_NC_NOTFIXED_EM-F2	150	0.9474891197485229
ALL	NMC_NC_NOTFIXED_EM-F2	152	0.9274824524733173
ALL	NMC_NC_NOTFIXED_EM-F2	155	0.9353718089355698
ALL	NMC_NC_NOTFIXED_EM-F2	161	0.9292064252512943
ALL	NMC_NC_NOTFIXED_EM-F2	163	0.9223403838095536
ALL	NMC_NC_NOTFIXED_EM-F2	164	0.9053694919626737
ALL	NMC_NC_NOTFIXED_EM-F2	165	0.9111628002223752
ALL	NMC_NC_NOTFIXED_EM-F2	166	0.9090695712705109
ALL	NMC_NC_NOTFIXED_EM-F2	167	0.90453658173981
ALL	NMC_NC_NOTFIXED_EM-F2	168	0.9087702035294299
ALL	NMC_NC_NOTFIXED_EM-F2	169	0.9138999325388721
ALL	NMC_NC_NOTFIXED_EM-F2	178	0.8690281536480436
ALL	NMC_NC_NOTFIXED_EM-F2	179	0.8637470798727792
ALL	NMC_NC_NOTFIXED_EM-F2	180	0.8714305256234964
ALL	NMC_NC_NOTFIXED_EM-F2	181	0.8680734988164138
ALL	NMC_NC_NOTFIXED_EM-F2	182	0.8722506360050711
ALL	NMC_NC_NOTFIXED_EM-F2	183	0.884864592275131
ALL	NMC_NC_NOTFIXED_EM-F2	185	0.9025977405828467
ALL	NMC_NC_NOTFIXED_EM-F2	189	0.8748724716015867
ALL	NMC_NC_NOTFIXED_EM-F2	190	0.8654472071036419
ALL	NMC_NC_NOTFIXED_EM-F2	191	0.8587660148792512
ALL	NMC_NC_NOTFIXED_EM-F2	192	0.8653816580457605
ALL	NMC_NC_NOTFIXED_EM-F2	194	0.8467838996319201
ALL	NMC_NC_NOTFIXED_EM-F2	195	0.8501796046892482
ALL	NMC_NC_NOTFIXED_EM-F2	198	0.845632697459628
ALL	NMC_NC_NOTFIXED_EM-F2	199	0.8389032186957285
ALL	NMC_NC_NOTFIXED_EM-F2	203	0.876997438356443
ALL	NMC_NC_NOTFIXED_EM-F2	207	0.8724460821001321
ALL	NMC_NC_NOTFIXED_EM-F2	208	0.8186237526617012
ALL	NMC_NC_NOTFIXED_EM-F2	210	0.819839012827346
ALL	NMC_NC_NOTFIXED_EM-F2	211	0.8512497410297055
ALL	NMC_NC_NOTFIXED_EM-F2	212	0.7707527439419277
ALL	NMC_NC_NOTFIXED_EM-F2	213	0.7903960139992521
ALL	NMC_NC_NOTFIXED_EM-F2	217	0.815206065647326
ALL	NMC_NC_NOTFIXED_EM-F2	218	0.8295848108746862
ALL	NMC_NC_NOTFIXED_EM-F2	219	0.8342671043457863
ALL	NMC_NC_NOTFIXED_EM-F2	220	0.7680671530088161
ALL	NMC_NC_NOTFIXED_EM-F2	221	0.8083396265607143
ALL	NMC_NC_NOTFIXED_EM-F2	222	0.8257501980695916
ALL	NMC_NC_NOTFIXED_EM-F2	223	0.8291403127133493
ALL	NMC_NC_NOTFIXED_EM-F2	224	0.7906826839741744
ALL	NMC_NC_NOTFIXED_EM-F2	225	0.7690852763671078
ALL	NMC_NC_NOTFIXED_EM-F2	226	0.7819195980557793
ALL	NMC_NC_NOTFIXED_EM-F2	231	0.784602775378469
ALL	NMC_NC_NOTFIXED_EM-F2	234	0.7600242229669902
ALL	NMC_NC_NOTFIXED_EM-F2	235	0.7582935179839735
ALL	NMC_NC_NOTFIXED_EM-F2	236	0.7817794378062538
ALL	NMC_NC_NOTFIXED_EM-F2	237	0.7598353117956914
ALL	NMC_NC_NOTFIXED_EM-F2	244	0.7324686739935081
ALL	NMC_NC_NOTFIXED_EM-F2	245	0.7487680682062634
ALL	NMC_NC_NOTFIXED_EM-F2	246	0.7704032486825644
ALL	NMC_NC_NOTFIXED_EM-F2	247	0.7718089079352355
ALL	NMC_NC_NOTFIXED_EM-F2	255	0.7456474613847706
ALL	NMC_NC_NOTFIXED_EM-F2	256	0.6976990714663076
ALL	NMC_NC_NOTFIXED_EM-F2	257	0.6636818064915456
ALL	NMC_NC_NOTFIXED_EM-F2	258	0.7653319306582876
ALL	NMC_NC_NOTFIXED_EM-F2	259	0.8766994585187287
