group	dataset	id	replica 16
ALL	NMC_NC_NOTFIXED_EM-F2	45	0.9775732197625898
ALL	NMC_NC_NOTFIXED_EM-F2	46	0.9927556398715079
ALL	NMC_NC_NOTFIXED_EM-F2	59	0.9778655701478811
ALL	NMC_NC_NOTFIXED_EM-F2	72	0.9665463639667264
ALL	NMC_NC_NOTFIXED_EM-F2	73	0.948260118611127
ALL	NMC_NC_NOTFIXED_EM-F2	74	1.01120380729417
ALL	NMC_NC_NOTFIXED_EM-F2	86	0.9839073685896732
ALL	NMC_NC_NOTFIXED_EM-F2	87	0.9828472081182748
ALL	NMC_NC_NOTFIXED_EM-F2	88	0.9671834906499355
ALL	NMC_NC_NOTFIXED_EM-F2	89	0.9833031644488102
ALL	NMC_NC_NOTFIXED_EM-F2	90	0.9755061225980389
ALL	NMC_NC_NOTFIXED_EM-F2	91	0.9544737276326952
ALL	NMC_NC_NOTFIXED_EM-F2	103	0.9789005419181247
ALL	NMC_NC_NOTFIXED_EM-F2	106	0.9878648612466465
ALL	NMC_NC_NOTFIXED_EM-F2	107	0.9595425811629071
ALL	NMC_NC_NOTFIXED_EM-F2	117	0.9478726505275418
ALL	NMC_NC_NOTFIXED_EM-F2	118	0.9254506636897912
ALL	NMC_NC_NOTFIXED_EM-F2	119	0.9552105741335832
ALL	NMC_NC_NOTFIXED_EM-F2	120	0.9259515595753337
ALL	NMC_NC_NOTFIXED_EM-F2	122	0.9411050482239065
ALL	NMC_NC_NOTFIXED_EM-F2	123	0.9984534441686653
ALL	NMC_NC_NOTFIXED_EM-F2	131	0.9311911778702435
ALL	NMC_NC_NOTFIXED_EM-F2	133	0.930796001630799
ALL	NMC_NC_NOTFIXED_EM-F2	134	0.9153288389318792
ALL	NMC_NC_NOTFIXED_EM-F2	135	0.9269458606473181
ALL	NMC_NC_NOTFIXED_EM-F2	136	0.9388283264873273
ALL	NMC_NC_NOTFIXED_EM-F2	137	0.9505694503041573
ALL	NMC_NC_NOTFIXED_EM-F2	138	0.9603083951009515
ALL	NMC_NC_NOTFIXED_EM-F2	147	0.9279400267164608
ALL	NMC_NC_NOTFIXED_EM-F2	149	0.9164798343953836
ALL	NMC_NC_NOTFIXED_EM-F2	151	0.9284848131024722
ALL	NMC_NC_NOTFIXED_EM-F2	152	0.9046631569220652
ALL	NMC_NC_NOTFIXED_EM-F2	153	0.9460920928179283
ALL	NMC_NC_NOTFIXED_EM-F2	155	0.9369889150767932
ALL	NMC_NC_NOTFIXED_EM-F2	161	0.9156308941979927
ALL	NMC_NC_NOTFIXED_EM-F2	162	0.9132229577014895
ALL	NMC_NC_NOTFIXED_EM-F2	163	0.9221911803592363
ALL	NMC_NC_NOTFIXED_EM-F2	164	0.9102615959319761
ALL	NMC_NC_NOTFIXED_EM-F2	165	0.8986379800635367
ALL	NMC_NC_NOTFIXED_EM-F2	166	0.901405233796682
ALL	NMC_NC_NOTFIXED_EM-F2	168	0.9092760633120969
ALL	NMC_NC_NOTFIXED_EM-F2	169	0.918559144224581
ALL	NMC_NC_NOTFIXED_EM-F2	176	0.922227738201594
ALL	NMC_NC_NOTFIXED_EM-F2	177	0.8974309025566753
ALL	NMC_NC_NOTFIXED_EM-F2	178	0.8504292990480026
ALL	NMC_NC_NOTFIXED_EM-F2	179	0.8775345108886351
ALL	NMC_NC_NOTFIXED_EM-F2	180	0.8889319589411584
ALL	NMC_NC_NOTFIXED_EM-F2	181	0.8708815600134855
ALL	NMC_NC_NOTFIXED_EM-F2	182	0.8796935132997851
ALL	NMC_NC_NOTFIXED_EM-F2	183	0.8982572954363434
ALL	NMC_NC_NOTFIXED_EM-F2	184	0.8302972698162424
ALL	NMC_NC_NOTFIXED_EM-F2	185	0.9915609048758868
ALL	NMC_NC_NOTFIXED_EM-F2	189	0.8792106195933348
ALL	NMC_NC_NOTFIXED_EM-F2	190	0.8455468840163821
ALL	NMC_NC_NOTFIXED_EM-F2	191	0.8574534621502659
ALL	NMC_NC_NOTFIXED_EM-F2	194	0.8558670381562138
ALL	NMC_NC_NOTFIXED_EM-F2	195	0.8751566324051729
ALL	NMC_NC_NOTFIXED_EM-F2	197	0.9154934538124335
ALL	NMC_NC_NOTFIXED_EM-F2	198	0.8406347060172402
ALL	NMC_NC_NOTFIXED_EM-F2	203	0.8575633643451314
ALL	NMC_NC_NOTFIXED_EM-F2	204	0.8298469088541037
ALL	NMC_NC_NOTFIXED_EM-F2	207	0.8793929660302168
ALL	NMC_NC_NOTFIXED_EM-F2	208	0.8280176928366592
ALL	NMC_NC_NOTFIXED_EM-F2	210	0.8537791921216555
ALL	NMC_NC_NOTFIXED_EM-F2	211	0.8219774471709843
ALL	NMC_NC_NOTFIXED_EM-F2	212	0.8615185198682777
ALL	NMC_NC_NOTFIXED_EM-F2	213	0.8229940864691945
ALL	NMC_NC_NOTFIXED_EM-F2	217	0.8318693287443873
ALL	NMC_NC_NOTFIXED_EM-F2	218	0.8274867612170467
ALL	NMC_NC_NOTFIXED_EM-F2	219	0.8158955673979823
ALL	NMC_NC_NOTFIXED_EM-F2	220	0.8019229992438541
ALL	NMC_NC_NOTFIXED_EM-F2	221	0.8192980691274226
ALL	NMC_NC_NOTFIXED_EM-F2	222	0.8283542363133426
ALL	NMC_NC_NOTFIXED_EM-F2	223	0.8175349719352254
ALL	NMC_NC_NOTFIXED_EM-F2	224	0.791836787699515
ALL	NMC_NC_NOTFIXED_EM-F2	225	0.806643847192363
ALL	NMC_NC_NOTFIXED_EM-F2	226	0.8209978916238679
ALL	NMC_NC_NOTFIXED_EM-F2	231	0.8309855199966405
ALL	NMC_NC_NOTFIXED_EM-F2	233	0.7783139530488428
ALL	NMC_NC_NOTFIXED_EM-F2	234	0.7973409389962146
ALL	NMC_NC_NOTFIXED_EM-F2	235	0.7345810340793094
ALL	NMC_NC_NOTFIXED_EM-F2	236	0.7465068802893451
ALL	NMC_NC_NOTFIXED_EM-F2	237	0.7944950491201136
ALL	NMC_NC_NOTFIXED_EM-F2	238	0.6977102638879875
ALL	NMC_NC_NOTFIXED_EM-F2	244	0.7746492121274564
ALL	NMC_NC_NOTFIXED_EM-F2	246	0.763325331441386
ALL	NMC_NC_NOTFIXED_EM-F2	249	0.7763024488734049
ALL	NMC_NC_NOTFIXED_EM-F2	257	0.6870329853461598
ALL	NMC_NC_NOTFIXED_EM-F2	258	0.5522888479585464
ALL	NMC_NC_NOTFIXED_EM-F2	259	0.6718800742622782
