group	dataset	id	replica 25
ALL	NMC_NC_NOTFIXED_EM-F2	45	0.979180897319716
ALL	NMC_NC_NOTFIXED_EM-F2	46	0.9933434934842206
ALL	NMC_NC_NOTFIXED_EM-F2	59	0.9647630464418457
ALL	NMC_NC_NOTFIXED_EM-F2	60	0.9792699187865435
ALL	NMC_NC_NOTFIXED_EM-F2	74	0.985443803195756
ALL	NMC_NC_NOTFIXED_EM-F2	75	0.9792916309148063
ALL	NMC_NC_NOTFIXED_EM-F2	87	0.9540912931964043
ALL	NMC_NC_NOTFIXED_EM-F2	88	0.9782315236497143
ALL	NMC_NC_NOTFIXED_EM-F2	89	0.9598409068498689
ALL	NMC_NC_NOTFIXED_EM-F2	90	0.9618526357866285
ALL	NMC_NC_NOTFIXED_EM-F2	91	0.931138709561073
ALL	NMC_NC_NOTFIXED_EM-F2	101	0.9542760003814056
ALL	NMC_NC_NOTFIXED_EM-F2	102	0.9615354608050241
ALL	NMC_NC_NOTFIXED_EM-F2	103	0.9654472325070202
ALL	NMC_NC_NOTFIXED_EM-F2	104	0.9545493835093426
ALL	NMC_NC_NOTFIXED_EM-F2	105	0.9629773256944315
ALL	NMC_NC_NOTFIXED_EM-F2	106	0.9808738186712954
ALL	NMC_NC_NOTFIXED_EM-F2	107	0.9795536785819418
ALL	NMC_NC_NOTFIXED_EM-F2	116	0.9408619781238522
ALL	NMC_NC_NOTFIXED_EM-F2	117	0.9461616025285952
ALL	NMC_NC_NOTFIXED_EM-F2	120	0.9417785036883045
ALL	NMC_NC_NOTFIXED_EM-F2	121	0.953374521458716
ALL	NMC_NC_NOTFIXED_EM-F2	122	0.9535638504400406
ALL	NMC_NC_NOTFIXED_EM-F2	123	0.970150066360237
ALL	NMC_NC_NOTFIXED_EM-F2	131	0.9301368224077593
ALL	NMC_NC_NOTFIXED_EM-F2	132	0.9320109604586866
ALL	NMC_NC_NOTFIXED_EM-F2	133	0.9373816613540588
ALL	NMC_NC_NOTFIXED_EM-F2	134	0.9153328546458719
ALL	NMC_NC_NOTFIXED_EM-F2	135	0.9258075115190116
ALL	NMC_NC_NOTFIXED_EM-F2	137	0.9197289870777187
ALL	NMC_NC_NOTFIXED_EM-F2	138	0.9539723407542385
ALL	NMC_NC_NOTFIXED_EM-F2	139	0.9456587658675998
ALL	NMC_NC_NOTFIXED_EM-F2	146	0.9150607881720301
ALL	NMC_NC_NOTFIXED_EM-F2	147	0.948233207704572
ALL	NMC_NC_NOTFIXED_EM-F2	148	0.9359548769106278
ALL	NMC_NC_NOTFIXED_EM-F2	150	0.9235349999000934
ALL	NMC_NC_NOTFIXED_EM-F2	151	0.9442637926481408
ALL	NMC_NC_NOTFIXED_EM-F2	153	0.9300230892616522
ALL	NMC_NC_NOTFIXED_EM-F2	155	0.8635921199503853
ALL	NMC_NC_NOTFIXED_EM-F2	163	0.9178728586534328
ALL	NMC_NC_NOTFIXED_EM-F2	164	0.9266982531036582
ALL	NMC_NC_NOTFIXED_EM-F2	165	0.9006870821626638
ALL	NMC_NC_NOTFIXED_EM-F2	166	0.9201956829613983
ALL	NMC_NC_NOTFIXED_EM-F2	170	0.791799031936269
ALL	NMC_NC_NOTFIXED_EM-F2	175	0.8888327108857136
ALL	NMC_NC_NOTFIXED_EM-F2	177	0.8842647291453021
ALL	NMC_NC_NOTFIXED_EM-F2	178	0.8669784870177205
ALL	NMC_NC_NOTFIXED_EM-F2	179	0.8496739660370374
ALL	NMC_NC_NOTFIXED_EM-F2	180	0.8863622760879835
ALL	NMC_NC_NOTFIXED_EM-F2	181	0.8574317197576318
ALL	NMC_NC_NOTFIXED_EM-F2	182	0.8949681317957789
ALL	NMC_NC_NOTFIXED_EM-F2	183	0.9003358736943257
ALL	NMC_NC_NOTFIXED_EM-F2	184	0.8772802702065619
ALL	NMC_NC_NOTFIXED_EM-F2	189	0.8584278944565085
ALL	NMC_NC_NOTFIXED_EM-F2	190	0.8340354352860617
ALL	NMC_NC_NOTFIXED_EM-F2	191	0.8730336755438208
ALL	NMC_NC_NOTFIXED_EM-F2	192	0.8282813960890296
ALL	NMC_NC_NOTFIXED_EM-F2	194	0.858335376899917
ALL	NMC_NC_NOTFIXED_EM-F2	196	0.8625428744199489
ALL	NMC_NC_NOTFIXED_EM-F2	197	0.863368687587176
ALL	NMC_NC_NOTFIXED_EM-F2	198	0.8311831852517055
ALL	NMC_NC_NOTFIXED_EM-F2	199	0.8068110565960989
ALL	NMC_NC_NOTFIXED_EM-F2	203	0.849233027408341
ALL	NMC_NC_NOTFIXED_EM-F2	204	0.8377960264678681
ALL	NMC_NC_NOTFIXED_EM-F2	205	0.8495255576209517
ALL	NMC_NC_NOTFIXED_EM-F2	206	0.7997106684736891
ALL	NMC_NC_NOTFIXED_EM-F2	207	0.8347651723817493
ALL	NMC_NC_NOTFIXED_EM-F2	208	0.8311383538926534
ALL	NMC_NC_NOTFIXED_EM-F2	209	0.830318759630061
ALL	NMC_NC_NOTFIXED_EM-F2	210	0.8254341533718661
ALL	NMC_NC_NOTFIXED_EM-F2	211	0.8414363330574421
ALL	NMC_NC_NOTFIXED_EM-F2	217	0.8027622195778176
ALL	NMC_NC_NOTFIXED_EM-F2	219	0.8276217815253887
ALL	NMC_NC_NOTFIXED_EM-F2	220	0.7871596430555394
