#: table_doi: 10.17182/hepdata.12557.v1/t7
#: name: Table 7
#: description: R=SIG(L)/SIG(T) IS TAKEN TO BE ZERO.

#: data_file: Table7.yaml
#: keyword reactions: MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 13.729-22.938
#: P [GEV],100. TO 280.
#: RE,MU+ P --> MU+ X
#: SQRT(S) [GeV],13.729-22.938
#: X,0.275
Q**2 [GEV**2],F2(R=0),stat +,stat -,sys +,sys -,"sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error +","sys,There is a 3 PCT overall normalization error plus a relative normalization uncertainty of 1 PCT between any two sets of data at different energies. This has not been included in the calculation of the one-sigma systematic error -"
10.25,0.3044,0.00536,-0.00536,0.00518,-0.00518,3.0%,-3.0%
11.75,0.29925,0.00545,-0.00545,0.00374,-0.00374,3.0%,-3.0%
13.25,0.30115,0.00463,-0.00463,0.00327,-0.00327,3.0%,-3.0%
15.0,0.30599,0.00427,-0.00427,0.00324,-0.00324,3.0%,-3.0%
17.0,0.3007,0.00444,-0.00444,0.00315,-0.00315,3.0%,-3.0%
19.0,0.29166,0.00466,-0.00466,0.00305,-0.00305,3.0%,-3.0%
21.5,0.29549,0.00431,-0.00431,0.00308,-0.00308,3.0%,-3.0%
24.5,0.2826,0.00347,-0.00347,0.00111,-0.00111,3.0%,-3.0%
28.0,0.28722,0.00262,-0.00262,0.00137,-0.00137,3.0%,-3.0%
32.5,0.28208,0.00248,-0.00248,0.00111,-0.00111,3.0%,-3.0%
37.5,0.27748,0.00226,-0.00226,0.001,-0.001,3.0%,-3.0%
43.0,0.27271,0.00233,-0.00233,0.00097,-0.00097,3.0%,-3.0%
49.5,0.2695,0.00251,-0.00251,0.00132,-0.00132,3.0%,-3.0%
57.0,0.27336,0.00246,-0.00246,0.00102,-0.00102,3.0%,-3.0%
65.5,0.26645,0.00287,-0.00287,0.00126,-0.00126,3.0%,-3.0%
75.0,0.26569,0.00309,-0.00309,0.00173,-0.00173,3.0%,-3.0%
86.0,0.2596,0.00508,-0.00508,0.00078,-0.00078,3.0%,-3.0%
99.0,0.25794,0.0063,-0.0063,0.00078,-0.00078,3.0%,-3.0%
115.5,0.25851,0.00693,-0.00693,0.00078,-0.00078,3.0%,-3.0%

