#: table_doi: 10.17182/hepdata.6187.v1/t101
#: name: Table 101
#: description: Measured cross sections for neutrino and anti-neutrino interactions at a mean energy 130.0 GeV and X =0.045.

#: data_file: Table101.yaml
#: keyword reactions: NUMUBAR NUCLEON --> MU+ X | NUMU NUCLEON --> MU- X
#: keyword observables: D2SIG/DX/DY
#: keyword phrases: Inclusive | Double Differential Cross Section | Muon production | Charged Current | Deep Inelastic Scattering
#: keyword cmenergies: 15.645
#: E(P=1) [GeV],130.0
#: RE,NUMU NUCLEON --> MU- X
#: SQRT(S) [GeV],15.645
#: X,0.045
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,17.279,1.126,-1.126,0.881,-0.881
0.2,24.395,1.355,-1.355,1.117,-1.117
0.3,22.166,1.233,-1.233,1.042,-1.042
0.4,20.26,1.146,-1.146,1.276,-1.276
0.5,18.861,1.119,-1.119,1.359,-1.359
0.6,17.877,1.061,-1.061,1.446,-1.446

#: E(P=1) [GeV],130.0
#: RE,NUMUBAR NUCLEON --> MU+ X
#: SQRT(S) [GeV],15.645
#: X,0.045
Y,(1/E(P=1))*D(SIG)/DX/DY [FB/GEV],stat +,stat -,sys +,sys -
0.1,16.468,2.747,-2.747,1.008,-1.008
0.2,22.794,3.231,-3.231,1.499,-1.499
0.3,16.47,2.677,-2.677,0.473,-0.473
0.4,11.192,2.077,-2.077,0.892,-0.892
0.5,12.749,2.279,-2.279,1.286,-1.286
0.6,9.294,1.919,-1.919,0.889,-0.889

