#: table_doi: 10.17182/hepdata.22831.v1/t4
#: name: Table 4
#: description: No description provided.
#: data_file: Table4.yaml
#: keyword reactions: P CU --> MU+ MU- X | P NUCLEUS --> MU+ MU- X
#: keyword observables: D2SIG/DSQRTTAU/DYRAP
#: keyword phrases: Inclusive | Double Differential Cross Section | Rapidity Dependence | Di-Muon Production | Muon production
#: keyword cmenergies: 38.8
#: RE,P CU --> MU+ MU- X
#: SQRT(S) [GeV],38.8
#: YRAP,0.1
SQRT(TAU),S*D2(SIG)/D(SQRT(TAU))/DYRAP [NB*GEV**2/NUCLEON],error +,error -,"sys,Normalisation error +","sys,Normalisation error -","sys,Point-to-point systematic error +","sys,Point-to-point systematic error -"
0.1831,431.0,75.3,-75.3,15.0%,-15.0%,5.0%,-5.0%
0.1883,347.0,52.5,-52.5,15.0%,-15.0%,5.0%,-5.0%
0.1935,386.0,58.5,-58.5,15.0%,-15.0%,5.0%,-5.0%
0.1986,274.0,36.6,-36.6,15.0%,-15.0%,5.0%,-5.0%
0.2038,294.0,39.4,-39.4,15.0%,-15.0%,5.0%,-5.0%
0.2089,223.0,19.4,-19.4,15.0%,-15.0%,5.0%,-5.0%
0.2141,169.0,12.7,-12.7,15.0%,-15.0%,5.0%,-5.0%
0.2192,137.0,9.91,-9.91,15.0%,-15.0%,5.0%,-5.0%
0.2244,137.0,9.28,-9.28,15.0%,-15.0%,5.0%,-5.0%
0.2296,126.0,7.99,-7.99,15.0%,-15.0%,5.0%,-5.0%
0.2708,46.0,3.25,-3.25,15.0%,-15.0%,5.0%,-5.0%
0.276,37.0,2.93,-2.93,15.0%,-15.0%,5.0%,-5.0%
0.2812,30.2,2.58,-2.58,15.0%,-15.0%,5.0%,-5.0%
0.2915,23.1,1.39,-1.39,15.0%,-15.0%,5.0%,-5.0%
0.3121,14.7,0.884,-0.884,15.0%,-15.0%,5.0%,-5.0%
0.3431,7.0,0.42,-0.42,15.0%,-15.0%,5.0%,-5.0%
0.3843,2.24,0.176,-0.176,15.0%,-15.0%,5.0%,-5.0%
0.4359,0.495,0.0853,-0.0853,15.0%,-15.0%,5.0%,-5.0%

