#: table_doi: 10.17182/hepdata.32750.v1/t20
#: name: Table 20
#: description: No description provided.
#: data_file: Table20.yaml
#: keyword reactions: MU- DEUT --> MU- X | MU+ DEUT --> MU+ X | MU- P --> MU- X | MU+ P --> MU+ X
#: keyword observables: F2
#: keyword phrases: Inclusive | Structure Function | Muon production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 29.709
#: PLAB [GEV],90 + 120 + 200 + 280
#: RE(Q=DEUT),MUON DEUT --> MUON X
#: RE(Q=P),MUON P --> MUON X
#: SQRT(S) [GeV],29.709
#: X,0.55
MEAN(NAME=Q**2),F2(Q=DEUT)/F2(Q=P),stat +,stat -,sys +,sys -
5.53,0.7209,0.0356,-0.0356,0.0072,-0.0072
6.88,0.7323,0.0296,-0.0296,0.0055,-0.0055
8.91,0.7442,0.028,-0.028,0.0042,-0.0042
11.34,0.728,0.03,-0.03,0.0032,-0.0032
14.85,0.7345,0.0282,-0.0282,0.0037,-0.0037
19.74,0.7419,0.0205,-0.0205,0.0037,-0.0037
26.64,0.7263,0.0216,-0.0216,0.0029,-0.0029
35.57,0.7281,0.0267,-0.0267,0.0023,-0.0023
47.16,0.7641,0.0331,-0.0331,0.0021,-0.0021
63.56,0.6626,0.0345,-0.0345,0.001,-0.001
98.82,0.7622,0.0458,-0.0458,0.0012,-0.0012

