#: table_doi: 10.17182/hepdata.105278.v1/t54
#: name: Figure 14 (b,B,data)
#: description: Dijet asymmetries for the same topological bins in 510 GeV pp collisions (b,B,data)
#: data_file: fig14_b_data_B_input_yaml.yaml
#: keyword cmenergies: 510.0
#: Parton DiJet $M_{inv}$ [$GeV/c^{2}$],,,DiJet $A_{LL}$,b, B, data
Parton DiJet $M_{inv}$ [$GeV/c^{2}$],Parton DiJet $M_{inv}$ [$GeV/c^{2}$] LOW,Parton DiJet $M_{inv}$ [$GeV/c^{2}$] HIGH,DiJet $A_{LL}$,stat +,stat -,sys +,sys -,UE/RL sys +,UE/RL sys -
18.799999999999997,17.99,19.61,-0.0023,0.0053,-0.0053,0.0002,-0.0002,0.0004,-0.0004
21.799999999999997,20.86,22.74,0.0041,0.0036,-0.0036,0.0003,-0.0003,0.00063,-0.00063
26.37,25.28,27.46,0.0016,0.0033,-0.0033,0.0003,-0.0003,0.00041,-0.00041
32.24,31.17,33.31,0.0029,0.0034,-0.0034,0.0004,-0.0004,0.00043,-0.00043
38.42,37.11,39.73,-0.0063,0.004,-0.004,0.0005,-0.0005,0.00035,-0.00035
45.83,44.42,47.24,0.002,0.0041,-0.0041,0.0007,-0.0007,0.00036,-0.00036
54.14,52.45,55.83,0.0128,0.005,-0.005,0.0008,-0.0008,0.0003,-0.0003
64.17,62.34,66,-0.0022,0.0065,-0.0065,0.0011,-0.0011,0.00031,-0.00031
76.06,73.93,78.19,-0.001,0.0096,-0.0096,0.0014,-0.0014,0.00028,-0.00028
89.81,87.33,92.29,-0.016,0.0143,-0.0143,0.002,-0.002,0.00026,-0.00026
107.92,105.03,110.81,-0.0205,0.0242,-0.0242,0.0027,-0.0027,0.00026,-0.00026
