#: table_doi: 10.17182/hepdata.105278.v1/t56
#: name: Figure 14 (b,D,data)
#: description: Dijet asymmetries for the same topological bins in 510 GeV pp collisions (b,D,data)
#: data_file: fig14_b_data_D_input_yaml.yaml
#: keyword cmenergies: 510.0
#: Parton DiJet $M_{inv}$ [$GeV/c^{2}$],,,DiJet $A_{LL}$,b, D, data
Parton DiJet $M_{inv}$ [$GeV/c^{2}$],Parton DiJet $M_{inv}$ [$GeV/c^{2}$] LOW,Parton DiJet $M_{inv}$ [$GeV/c^{2}$] HIGH,DiJet $A_{LL}$,stat +,stat -,sys +,sys -,UE/RL sys +,UE/RL sys -
20.54,18.4,22.68,0.0054,0.0161,-0.0161,0.0002,-0.0002,0.00131,-0.00131
22.09,21.14,23.04,0.0042,0.0051,-0.0051,0.0002,-0.0002,0.00022,-0.00022
26.31,25.33,27.29,0.0051,0.005,-0.005,0.0003,-0.0003,0.00072,-0.00072
31.72,30.5,32.94,-0.0031,0.0059,-0.0059,0.0003,-0.0003,0.00052,-0.00052
38.480000000000004,37.17,39.79,-0.0018,0.006,-0.006,0.0004,-0.0004,0.00054,-0.00054
45.209999999999994,43.66,46.76,-0.004,0.007,-0.007,0.0005,-0.0005,0.00044,-0.00044
54.150000000000006,52.46,55.84,0.0034,0.0087,-0.0087,0.0008,-0.0008,0.00044,-0.00044
64.3,62.38,66.22,0.005,0.0123,-0.0123,0.0011,-0.0011,0.00036,-0.00036
76.66,74.51,78.81,0.0058,0.0178,-0.0178,0.0024,-0.0024,0.00036,-0.00036
89.57,86.95,92.19,0.0291,0.0296,-0.0296,0.0014,-0.0014,0.00036,-0.00036
106.86,103.89,109.83,-0.0055,0.0461,-0.0461,0.0028,-0.0028,0.00029,-0.00029
