DEUT 	BCDMSD					BCDMSD
DEUT 	NMCPD					NMCPD
DEUT 	SLACD					SLACD
EWK 	ATLASLOMASSDY11 		ATLASLOMASSDY11
EWK 	ATLASLOMASSDY11EXT		ATLASLOMASSDY11EXT
EWK 	ATLASWZRAP36PB			ATLASWZRAP36PB
EWK 	ATLASWZTOT13TEV81PB		ATLASWZTOT13TEV81PB
EWK 	ATLASZHIGHMASS49FB		ATLASZHIGHMASS49FB
EWK 	CMSDY2D11				CMSDY2D11
EWK 	CMSDY2D12				CMSDY2D12
EWK 	LHCBWZMU7TEV			LHCBWZMU7TEV
EWK 	LHCBWZMU8TEV			LHCBWZMU8TEV
EWK 	LHCBZ940PB				LHCBZ940PB
EWK 	LHCBZEE2FB				LHCBZEE2FB
NRM 	ATLASWZTOT13TEV81PB		ATLASWZTOT13TEV81PB
NRM 	ATLASZPT7TEV 			ATLASZPT7TEV
NRM 	ATLASZPT7TEV_PTZ 		ATLASZPT7TEV
NRM 	ATLASZPT7TEV_TOT 		ATLASZPT7TEV 				MZ
NRM 	ATLASZPT8TEVMDIST 		ATLASZPT8TEVMDIST
NRM 	CMSZDIFF12 				CMSZDIFF12
NRM 	LHCBWZMU7TEV  			LHCBWZMU7TEV
NRM 	LHCBWZMU8TEV  			LHCBWZMU8TEV
QCD 	ATLASTOPDIFF8TEVTOTTPT 	ATLASTOPDIFF8TEVTPTNORM		MT
QCD 	ATLASTOPDIFF8TEVTPT 	ATLASTOPDIFF8TEVTPT
QCD 	ATLASTOPDIFF8TEVTPTNUM  ATLASTOPDIFF8TEVTPTNORM
QCD 	ATLASWPT31PB_WM 		ATLASWPT31PB
QCD 	ATLASWPT31PB_WM_TOT 	ATLASWPT31PB 				MW
QCD 	ATLASWPT31PB_WP 		ATLASWPT31PB
QCD 	ATLASWPT31PB_WP_TOT 	ATLASWPT31PB 				MW
QCD 	CMSTOPDIFF8TEVTOTTPT 	CMSTOPDIFF8TEVTPTNORM 		MT
QCD 	CMSTOPDIFF8TEVTPT 		CMSTOPDIFF8TEVTPT
QCD 	CMSTOPDIFF8TEVTPTNUM 	CMSTOPDIFF8TEVTPTNORM 
