*******************************************************************************************
SetName: CMSZDIFF12
Author: Frank Petriello & Raja Boughezai
Date: 2016
CodesUsed: their own code 
TheoryInput: CT14, alphas(MZ)=0.118
PDFset: 
Warnings: 
******************************************************************************************** 0.00000
1. 0.00000
1.035 0.00000
1.058 0.00000
1.064 0.00000
1.076 0.00000
1.078 0.00000
1.061 0.00000
1.022 0.00000
1.070 0.00000
1.095 0.00000
1. 0.00000
1.036 0.00000
1.064 0.00000
1.064 0.00000
1.053 0.00000
1.081 0.00000
1.063 0.00000
1.066 0.00000
1.083 0.00000
1.048 0.00000
1. 0.00000
1.039 0.00000
1.052 0.00000
1.050 0.00000
1.071 0.00000
1.072 0.00000
1.073 0.00000
1.074 0.00000
1.072 0.00000
1.062 0.00000
1. 0.00000
1.040 0.00000
1.064 0.00000
1.082 0.00000
1.074 0.00000
1.082 0.00000
1.095 0.00000
1.085 0.00000
1.094 0.00000
1.057 0.00000
1. 0.00000
1.048 0.00000
1.061 0.00000
1.068 0.00000
1.077 0.00000
1.058 0.00000
1.069 0.00000
1.096 0.00000
1.041 0.00000
1.119 0.00000
