THPREDICTIONS ATLASWZRAP36PB  NNPDF30_nlo_as_0118
0    601711              8006.56             
1    602099              7619.37             
2    606118              7517.2              
3    610892              7644.73             
4    617460              7739.88             
5    624698              7803.4              
6    631410              8054.9              
7    632022              8274.86             
8    633016              8572.71             
9    620797              8778.69             
10   585447              8887                
11   441080              6655.61             
12   438057              6268.33             
13   434907              5718.66             
14   428927              5475.71             
15   420114              5280.52             
16   407614              5120.75             
17   393301              5238.25             
18   380889              5375.81             
19   368790              5369.04             
20   352088              5194.94             
21   331398              4978.82             
22   121843              2286.61             
23   121274              1634.69             
24   119620              1630.6              
25   116963              1402.06             
26   112345              1638.18             
27   105537              1437.83             
28   93250.6             1413.72             
29   55591.5             983.124             
