THPREDICTIONS BCDMSD  NNPDF30_nlo_as_0118
0    0.359179            0.00484756          
1    0.362728            0.00472653          
2    0.343448            0.00441518          
3    0.344686            0.00434458          
4    0.345908            0.0042837           
5    0.324379            0.0037575           
6    0.324189            0.00370937          
7    0.324005            0.00365952          
8    0.323825            0.003612            
9    0.323623            0.00357232          
10   0.302776            0.00370868          
11   0.30167             0.00366894          
12   0.300535            0.0036287           
13   0.299304            0.003587            
14   0.298344            0.00355335          
15   0.29737             0.00351579          
16   0.296264            0.00347904          
17   0.274572            0.00398649          
18   0.272848            0.00392994          
19   0.271049            0.00387406          
20   0.269294            0.0038172           
21   0.267768            0.00376948          
22   0.266036            0.00371618          
23   0.264413            0.0036645           
24   0.262712            0.00361238          
25   0.260863            0.00355612          
26   0.238359            0.00357009          
27   0.236123            0.00350684          
28   0.233932            0.00344397          
29   0.23207             0.0033923           
30   0.23008             0.00333795          
31   0.22804             0.0032829           
32   0.225873            0.00322723          
33   0.223641            0.00317             
34   0.221517            0.00311731          
35   0.219498            0.00306884          
36   0.18503             0.00315729          
37   0.182595            0.00309758          
38   0.180198            0.00303834          
39   0.178179            0.00298931          
40   0.176036            0.00293744          
41   0.173844            0.00288474          
42   0.171655            0.00283361          
43   0.169269            0.00277879          
44   0.167026            0.00272824          
45   0.164832            0.00268051          
46   0.162702            0.0026344           
47   0.160606            0.00259027          
48   0.120512            0.00262425          
49   0.118231            0.00256342          
50   0.116002            0.00250389          
51   0.114146            0.00245371          
52   0.112184            0.00240066          
53   0.110189            0.00234566          
54   0.108216            0.00229123          
55   0.106085            0.00223255          
56   0.104103            0.00217848          
57   0.102262            0.00212857          
58   0.100421            0.00207924          
59   0.0985805           0.0020309           
60   0.0968321           0.00198545          
61   0.0952137           0.0019437           
62   0.0665651           0.0017152           
63   0.0648171           0.001667            
64   0.0633797           0.00162774          
65   0.061877            0.00158695          
66   0.0603661           0.00154638          
67   0.058892            0.00150717          
68   0.0573216           0.00146556          
69   0.0558806           0.00142778          
70   0.0545591           0.00139365          
71   0.0532552           0.00135971          
72   0.0520006           0.00132751          
73   0.0508135           0.00129721          
74   0.0497012           0.00126895          
75   0.0485799           0.00124066          
76   0.0307006           0.00129145          
77   0.0297854           0.00126373          
78   0.0288174           0.00123226          
79   0.0278752           0.00119996          
80   0.0269664           0.0011672           
81   0.0260157           0.00113156          
82   0.0251591           0.0010986           
83   0.0243863           0.00106831          
84   0.0236352           0.00103855          
85   0.022923            0.00101008          
86   0.0222584           0.000983317         
87   0.0216433           0.000958519         
88   0.0210522           0.000934597         
89   0.0204739           0.00091126          
90   0.00975852          0.000764402         
91   0.00932814          0.00074147          
92   0.00895268          0.000721233         
93   0.00859366          0.000701259         
94   0.00825971          0.000682222         
95   0.00795335          0.000664355         
96   0.00767431          0.000647694         
97   0.00741013          0.000631649         
98   0.0071553           0.00061587          
99   0.373847            0.00437915          
100  0.376216            0.00431143          
101  0.349187            0.00411809          
102  0.350309            0.00406554          
103  0.351367            0.0040133           
104  0.323418            0.00353021          
105  0.323216            0.00348724          
106  0.32297             0.00344566          
107  0.32266             0.00340128          
108  0.29737             0.00351579          
109  0.296264            0.00347904          
110  0.295166            0.00344225          
111  0.293939            0.00340255          
112  0.29276             0.00336539          
113  0.291609            0.00333111          
114  0.262712            0.00361238          
115  0.260863            0.00355612          
