THPREDICTIONS CDFR2KT  NNPDF30_nlo_as_0118
0    13.4193             0.196858            
1    6.01415             0.089816            
2    2.58438             0.0393239           
3    1.1081              0.0176468           
4    0.471648            0.00798766          
5    0.198593            0.00363579          
6    0.0803583           0.0016386           
7    0.0315517           0.000716022         
8    0.0117734           0.00030447          
9    0.00433192          0.000127448         
10   0.00151247          5.01451e-05         
11   0.00048717          1.86246e-05         
12   0.000145122         6.48453e-06         
13   3.80036e-05         2.01792e-06         
14   8.41825e-06         5.37882e-07         
15   1.44342e-06         1.13317e-07         
16   8.7703e-08          9.65945e-09         
17   12.9842             0.18447             
18   5.77357             0.0825144           
19   2.47894             0.0365511           
20   1.05736             0.0165934           
21   0.448473            0.00761742          
22   0.187801            0.00352753          
23   0.07557             0.00158248          
24   0.0293879           0.000690205         
25   0.0108444           0.000286786         
26   0.00392339          0.000118422         
27   0.00133621          4.64772e-05         
28   0.000417389         1.70003e-05         
29   0.000118836         5.69556e-06         
30   2.91922e-05         1.66379e-06         
31   5.94894e-06         4.10521e-07         
32   9.09658e-07         8.1158e-08          
33   4.68072e-08         6.26349e-09         
34   11.4746             0.149462            
35   5.03465             0.0689671           
36   2.13466             0.0320188           
37   0.899346            0.0148518           
38   0.374799            0.00688277          
39   0.15367             0.003118            
40   0.0601256           0.00135502          
41   0.0224404           0.000577689         
42   0.00780609          0.000238476         
43   0.00260895          9.56577e-05         
44   0.000795867         3.48479e-05         
45   0.000212102         1.10393e-05         
46   4.8888e-05          3.04843e-06         
47   8.89989e-06         7.21607e-07         
48   1.21205e-06         1.42756e-07         
49   1.02956e-07         1.95625e-08         
50   9.25044             0.122378            
51   3.9909              0.0556166           
52   1.6501              0.0250923           
53   0.672772            0.0116139           
54   0.268813            0.00546531          
55   0.103827            0.00253412          
56   0.0375145           0.00111353          
57   0.0125249           0.000455695         
58   0.0037322           0.000163482         
59   0.00101927          5.31657e-05         
60   0.000238129         1.51966e-05         
61   4.44496e-05         3.75559e-06         
62   6.44589e-06         7.83721e-07         
63   6.25507e-07         1.21069e-07         
64   6.3301              0.104691            
65   2.59131             0.0507746           
66   0.995508            0.0240621           
67   0.367681            0.0106205           
68   0.128341            0.00447385          
69   0.0416781           0.00174484          
70   0.0117917           0.000595858         
71   0.00286437          0.000181356         
72   0.000557505         4.70645e-05         
73   8.73068e-05         1.07526e-05         
74   9.80369e-06         1.89884e-06         
75   5.911e-07           2.03163e-07         
