THPREDICTIONS DYE886P  NNPDF30_nlo_as_0118
0    5.09076             0.200648            
1    4.47267             0.175637            
2    3.90989             0.165844            
3    3.40962             0.170037            
4    2.9573              0.158429            
5    2.56033             0.143874            
6    2.19814             0.136106            
7    1.89403             0.127195            
8    1.62317             0.117013            
9    0.605681            0.0756161           
10   5.17949             0.201205            
11   4.52009             0.169357            
12   3.92305             0.146865            
13   3.4091              0.132607            
14   2.94943             0.117683            
15   2.54243             0.11109             
16   2.19173             0.107058            
17   1.87882             0.102314            
18   1.60049             0.0960146           
19   0.592236            0.0585136           
20   5.20317             0.213104            
21   4.53166             0.191415            
22   3.92982             0.154165            
23   3.39108             0.128072            
24   2.91993             0.113189            
25   2.51462             0.0995173           
26   2.14825             0.0884253           
27   1.83507             0.08614             
28   1.55597             0.0836334           
29   0.583462            0.0509383           
30   5.12482             0.207736            
31   4.4837              0.185969            
32   3.8844              0.165839            
33   3.33811             0.132513            
34   2.8552              0.107801            
35   2.43385             0.0927915           
36   2.06938             0.0834178           
37   1.76237             0.0767578           
38   1.49079             0.0779859           
39   0.564234            0.0464041           
40   0.396924            0.0398436           
41   0.22803             0.0313555           
42   4.91133             0.196389            
43   4.29171             0.169931            
44   3.71644             0.152238            
45   3.19467             0.136671            
46   2.72318             0.113652            
47   2.31889             0.0940363           
48   1.96325             0.0817282           
49   1.66412             0.0715538           
50   1.41202             0.0653787           
51   0.529301            0.0434232           
52   0.371461            0.0377549           
53   0.206651            0.027969            
54   4.53281             0.188347            
55   3.97208             0.162199            
56   3.44413             0.143494            
57   2.95745             0.129569            
58   2.54005             0.112868            
59   2.16969             0.0927116           
60   1.84233             0.0814629           
61   1.55745             0.0715759           
62   1.32201             0.0627052           
63   0.483812            0.0427749           
64   0.330708            0.0316908           
65   0.180663            0.0271865           
66   4.04661             0.176201            
67   3.57337             0.155353            
68   3.11014             0.137768            
69   2.68374             0.12093             
70   2.30558             0.10785             
71   1.96317             0.091637            
72   1.67068             0.0731635           
73   1.41251             0.0608441           
74   1.18403             0.0552245           
75   0.414553            0.033884            
76   0.280994            0.0293953           
77   0.152672            0.0222533           
78   3.55088             0.15264             
79   3.09768             0.139911            
80   2.70162             0.118144            
81   2.34037             0.102329            
82   2.00859             0.0895737           
83   1.71884             0.0811212           
84   1.45902             0.0705637           
85   1.22411             0.0588351           
86   1.03245             0.0494984           
87   0.345704            0.0312118           
88   0.23238             0.0241866           
89   0.128145            0.0210241           
90   2.95694             0.124658            
91   2.59621             0.115895            
92   2.24546             0.101562            
93   1.94703             0.0866658           
94   1.67019             0.0755176           
95   1.42609             0.0672691           
96   1.20397             0.0599969           
97   1.0157              0.0505845           
98   0.846738            0.0425676           
99   0.281739            0.0225758           
100  0.190245            0.0218189           
101  0.101436            0.0205134           
102  2.36903             0.100497            
103  2.0601              0.0881818           
104  1.78966             0.0814744           
105  1.53231             0.0705024           
106  1.32259             0.0617399           
107  1.12627             0.054479            
108  0.952538            0.0483284           
109  0.798192            0.0421711           
110  0.670136            0.0348371           
111  0.220381            0.021897            
112  0.144606            0.0207571           
113  0.0698855           0.0188478           
114  1.83193             0.0812668           
115  1.5762              0.0703273           
116  1.35878             0.0636979           
117  1.16957             0.0545623           
118  0.998841            0.0451756           
119  0.856218            0.0386612           
120  0.720123            0.0340872           
121  0.608976            0.0315328           
122  0.508517            0.0288224           
123  0.155903            0.0205158           
124  0.0973116           0.0191287           
125  0.0389899           0.0170657           
126  0.0138103           0.0126078           
127  1.32314             0.0591699           
128  1.14411             0.0508333           
129  0.976232            0.0438099           
130  0.838764            0.0390298           
131  0.724484            0.0333013           
132  0.615512            0.0291751           
133  0.521501            0.02554             
134  0.434794            0.0238707           
135  0.359285            0.0226106           
136  0.0975068           0.016848            
137  0.0555553           0.0170759           
138  0.0261871           0.0148577           
139  0.921028            0.0415095           
140  0.783728            0.0353138           
141  0.672122            0.0299474           
142  0.569324            0.0281824           
143  0.488103            0.025524            
144  0.409704            0.0232522           
145  0.339406            0.021831            
146  0.279967            0.0197058           
147  0.227126            0.0199943           
148  0.0571109           0.0164585           
149  0.0396358           0.0126652           
150  0.0278706           0.0135699           
151  0.595755            0.0307745           
152  0.48671             0.0279752           
153  0.411867            0.0243291           
154  0.344931            0.0225231           
155  0.286341            0.021631            
156  0.242756            0.0194368           
157  0.199015            0.0182234           
158  0.162327            0.0175097           
159  0.132262            0.0168799           
160  0.0460741           0.012026            
161  0.0356504           0.0161041           
162  0.0280525           0.0194881           
163  0.324481            0.0222361           
164  0.279207            0.0198802           
165  0.235112            0.01838             
166  0.202321            0.0167995           
167  0.167198            0.0153379           
168  0.138225            0.0134467           
169  0.118664            0.0124405           
170  0.100025            0.0123573           
171  0.0852299           0.0120576           
172  0.037903            0.0187439           
173  0.0227752           0.0241244           
174  0.196916            0.0161217           
175  0.156319            0.0156328           
176  0.127521            0.0159296           
177  0.115603            0.0154035           
178  0.0949406           0.0174964           
179  0.0825596           0.0168569           
180  0.0726514           0.0168098           
181  0.0666953           0.0168748           
182  0.0543342           0.0173748           
183  0.0281138           0.024016            
