THPREDICTIONS H1HERA2LOWQ2  NNPDF30_nlo_as_0118
0    0.61022             0.270708            
1    0.588916            0.158568            
2    0.686466            0.0944517           
3    0.695639            0.073156            
4    0.674693            0.06706             
5    0.683079            0.0516475           
6    0.749154            0.049212            
7    0.758285            0.0395839           
8    0.729633            0.0393493           
9    0.762824            0.0331254           
10   0.738029            0.0326995           
11   0.74088             0.0277204           
12   0.830843            0.0252379           
13   0.841252            0.0216336           
14   0.803028            0.0233963           
15   0.846676            0.0189429           
16   0.813457            0.0198179           
17   0.846251            0.0167771           
18   0.817131            0.0167914           
19   0.840192            0.0148341           
20   0.806065            0.0132405           
21   0.914911            0.0146638           
22   0.927237            0.0126005           
23   0.87975             0.0133639           
24   0.933506            0.0111197           
25   0.893402            0.0112454           
26   0.933668            0.0100682           
27   0.897187            0.0098081           
28   0.925338            0.00926406          
29   0.885527            0.00867356          
30   0.899024            0.00853137          
31   0.975498            0.0102636           
32   0.989161            0.00956945          
33   0.935294            0.00931432          
34   0.99528             0.00922061          
35   0.949934            0.00858852          
36   0.994715            0.00897305          
37   0.955263            0.00835706          
38   0.986496            0.00879414          
39   0.939565            0.00825052          
40   0.954422            0.00845393          
41   0.885909            0.00725862          
42   1.03615             0.00926159          
43   1.04951             0.00948367          
44   0.99104             0.00831834          
45   1.05624             0.00972596          
46   1.00522             0.00867933          
47   1.05371             0.00985438          
48   1.0097              0.00881526          
49   1.04342             0.0096383           
50   0.990506            0.00825299          
51   1.00645             0.00858393          
52   0.928552            0.00743654          
53   0.852048            0.00675767          
54   0.763483            0.00620989          
55   1.11629             0.0105644           
56   1.12916             0.0109351           
57   1.06163             0.0091027           
58   1.13204             0.0109071           
59   1.07174             0.00922866          
60   1.12392             0.0105245           
61   1.07381             0.00912045          
62   1.10995             0.00996034          
63   1.05039             0.00859179          
64   1.06733             0.00890285          
65   0.976391            0.00741887          
66   0.888162            0.00655494          
67   0.789648            0.00585395          
68   1.15317             0.0109792           
69   1.16432             0.011097            
70   1.095               0.00928166          
71   1.1677              0.0109661           
72   1.10763             0.00941679          
73   1.16141             0.0105944           
74   1.10893             0.00935104          
75   1.14608             0.0100907           
76   1.07912             0.008708            
77   1.09645             0.00897904          
78   0.998236            0.00731369          
79   0.901877            0.00637827          
80   0.796659            0.00569201          
81   1.19159             0.0109785           
82   1.20274             0.011004            
83   1.12946             0.00944428          
84   1.20385             0.0108334           
85   1.1405              0.00950621          
86   1.19542             0.0104578           
87   1.13843             0.0093158           
88   1.17623             0.00990965          
89   1.10517             0.00839035          
90   1.1227              0.00861272          
91   1.01349             0.00714615          
92   0.910306            0.00613498          
93   0.798401            0.00550852          
94   1.22084             0.0108226           
95   1.1543              0.00935992          
96   1.21903             0.0103321           
97   1.15413             0.00894849          
98   1.19195             0.00944906          
99   1.1138              0.00812026          
100  1.13124             0.0083108           
101  1.01749             0.00689734          
102  0.907812            0.00590558          
103  0.793314            0.00537233          
104  1.23915             0.0099454           
105  1.23668             0.00962039          
106  1.16836             0.0086126           
107  1.22265             0.00922305          
108  1.16056             0.00838345          
109  1.19774             0.00877331          
110  1.11307             0.00764064          
111  1.13009             0.00779292          
112  1.00779             0.00644951          
113  0.894149            0.00559876          
114  0.77406             0.00521354          
115  1.23454             0.00903897          
116  1.21677             0.0087117           
117  1.15086             0.00789849          
118  1.18693             0.00822181          
119  1.10224             0.00718993          
120  1.11869             0.00731737          
121  0.991805            0.00605044          
122  0.874308            0.00535976          
123  0.752377            0.00509739          
124  1.19647             0.00799312          
125  1.16735             0.00758456          
126  1.07707             0.00663675          
127  1.09259             0.00673735          
128  0.962878            0.00569877          
129  0.844909            0.00522478          
130  0.721299            0.00493956          
131  1.02723             0.00595282          
132  1.04117             0.00602392          
133  0.908628            0.00533795          
134  0.789172            0.00500744          
135  0.66971             0.00449141          
