THPREDICTIONS HERA1NCEP  NNPDF30_nlo_as_0118
0    0.666374            0.652149            
1    0.630638            0.553042            
2    0.639895            0.542912            
3    0.552426            0.192703            
4    0.55403             0.190227            
5    0.543799            0.0586356           
6    0.533109            0.0456              
7    0.502776            0.0374555           
8    0.489876            0.0346878           
9    0.434356            0.0228849           
10   0.376568            0.0139891           
11   0.330226            0.00972807          
12   0.710997            0.536713            
13   0.684239            0.421691            
14   0.629107            0.148827            
15   0.63304             0.145391            
16   0.620273            0.0643449           
17   0.596621            0.0369501           
18   0.561709            0.0307977           
19   0.530075            0.026063            
20   0.498351            0.0217149           
21   0.468666            0.0176399           
22   0.44101             0.0143455           
23   0.428671            0.0129908           
24   0.373274            0.00901759          
25   0.325346            0.00905184          
26   0.751987            0.272687            
27   0.741262            0.140863            
28   0.727219            0.105117            
29   0.721254            0.0446079           
30   0.72447             0.0437214           
31   0.692279            0.0276231           
32   0.64974             0.0232029           
33   0.611301            0.0200206           
34   0.571958            0.017136            
35   0.535221            0.0143425           
36   0.484612            0.0110645           
37   0.412574            0.00826874          
38   0.348713            0.00849022          
39   0.81565             0.0960587           
40   0.828487            0.0568515           
41   0.815982            0.0468036           
42   0.820307            0.032067            
43   0.829914            0.0306883           
44   0.794104            0.0204318           
45   0.796967            0.0200878           
46   0.74795             0.016471            
47   0.70162             0.014585            
48   0.652835            0.013117            
49   0.608004            0.0114684           
50   0.564547            0.0100931           
51   0.523063            0.00891768          
52   0.489133            0.00778069          
53   0.424938            0.00788228          
54   0.360328            0.00789753          
55   0.898292            0.0324531           
56   0.909423            0.0245106           
57   0.894045            0.0225354           
58   0.884634            0.016305            
59   0.891459            0.0159384           
60   0.838683            0.0120317           
61   0.785481            0.0108322           
62   0.728122            0.0102803           
63   0.675204            0.0094332           
64   0.623245            0.00872224          
65   0.574359            0.00791409          
66   0.533615            0.0071626           
67   0.423794            0.0076112           
68   0.979611            0.0185429           
69   0.982978            0.0157564           
70   0.964295            0.0144172           
71   0.928026            0.0101155           
72   0.932372            0.0100892           
73   0.873095            0.00872294          
74   0.807518            0.00842725          
75   0.74556             0.00800836          
76   0.684714            0.00771046          
77   0.627091            0.00716757          
78   0.579694            0.00665914          
79   0.531561            0.00672579          
80   0.417428            0.00716472          
81   1.07256             0.0148546           
82   1.05682             0.0128596           
83   1.08601             0.0138046           
84   1.05841             0.0112632           
85   1.07164             0.011796            
86   1.00762             0.00931747          
87   1.01188             0.00944364          
88   0.935275            0.00798893          
89   0.857953            0.00719893          
90   0.782624            0.00688166          
91   0.71065             0.00646803          
92   0.65207             0.00611648          
93   0.592329            0.00618463          
94   0.540979            0.00637646          
95   0.450848            0.00659852          
96   0.422239            0.0063995           
97   1.14509             0.0141573           
98   1.15964             0.0141832           
99   1.13311             0.0126982           
100  1.10764             0.0115066           
101  1.11701             0.011869            
102  1.03503             0.00924152          
103  0.94799             0.00761445          
104  0.860883            0.00680932          
105  0.775713            0.00625447          
106  0.708544            0.00587423          
107  0.639638            0.0058701           
108  0.580202            0.00601351          
109  0.442227            0.00600361          
110  1.15569             0.012809            
111  1.16819             0.0128497           
112  1.1027              0.010364            
113  1.00841             0.00817492          
114  0.9133              0.00696114          
