THPREDICTIONS HERACOMBCCEM  NNPDF30_nlo_as_0118
0    1.25006             0.00847456          
1    1.21887             0.0105321           
2    1.02788             0.00775228          
3    0.817372            0.00754241          
4    0.717661            0.00728725          
5    1.10159             0.00701866          
6    1.00027             0.00688176          
7    0.809472            0.0072784           
8    0.708701            0.00706919          
9    0.869832            0.00706187          
10   0.91415             0.00582208          
11   0.786312            0.00690359          
12   0.692035            0.00676344          
13   0.489422            0.00601686          
14   0.834327            0.00572696          
15   0.763329            0.00668316          
16   0.678766            0.00656952          
17   0.478854            0.00582099          
18   0.248424            0.00432591          
19   0.769762            0.00605378          
20   0.741611            0.00654075          
21   0.667195            0.00642561          
22   0.471283            0.0056863           
23   0.695849            0.0066326           
24   0.702718            0.00639558          
25   0.647123            0.00622459          
26   0.460358            0.00550259          
27   0.234927            0.00402686          
28   0.643949            0.00637407          
29   0.614821            0.00602355          
30   0.445858            0.00528715          
31   0.225802            0.0038153           
32   0.031575            0.00307327          
33   0.580251            0.00596529          
34   0.43148             0.00512209          
35   0.217935            0.00363041          
36   0.0298255           0.00276536          
37   0.410987            0.00499804          
38   0.208082            0.00343638          
39   0.027751            0.002264            
40   0.197924            0.00337416          
41   0.0257565           0.00163182          
