THPREDICTIONS Z06CC  NNPDF30_nlo_as_0118
0    1.2045              0.0106265           
1    1.02973             0.00785589          
2    0.852922            0.00778031          
3    0.718711            0.00731074          
4    1.08491             0.00701716          
5    0.995252            0.00678696          
6    0.841942            0.0074083           
7    0.707514            0.00703053          
8    0.904805            0.00624644          
9    0.922506            0.00589702          
10   0.817998            0.00704765          
11   0.693479            0.00676667          
12   0.507419            0.00614911          
13   0.806125            0.00586299          
14   0.774882            0.0067185           
15   0.673947            0.00648413          
16   0.492153            0.00586597          
17   0.219713            0.00389151          
18   0.695571            0.00665556          
19   0.710485            0.00657861          
20   0.64708             0.00620364          
21   0.476612            0.00560439          
22   0.209459            0.0037004           
23   0.636859            0.00673319          
24   0.610624            0.00599331          
25   0.459733            0.00536549          
26   0.20006             0.0035064           
27   0.0313398           0.00304253          
28   0.568206            0.00596383          
29   0.440522            0.00518063          
30   0.191218            0.00330996          
31   0.0292221           0.00264425          
32   0.420479            0.00510018          
33   0.18309             0.00315878          
34   0.0273647           0.00215757          
35   0.175661            0.00311376          
36   0.0257545           0.00163961          
