THPREDICTIONS ZEUSHERA2NCP  NNPDF30_nlo_as_0118
0    1.05971             0.00571881          
1    0.906583            0.00522095          
2    0.76412             0.00452144          
3    0.646909            0.00390556          
4    0.560713            0.00347293          
5    0.484749            0.00340881          
6    0.418254            0.00343979          
7    0.3192              0.0031047           
8    0.927243            0.00527728          
9    0.780355            0.00453873          
10   0.658218            0.00388411          
11   0.568273            0.0034331           
12   0.489101            0.00335967          
13   0.419872            0.00338634          
14   0.317282            0.00306726          
15   0.951908            0.00534681          
16   0.80229             0.00457313          
17   0.674101            0.00386231          
18   0.578964            0.00338301          
19   0.495082            0.00329348          
20   0.422049            0.0033119           
21   0.314442            0.0030132           
22   0.961645            0.00536678          
23   0.816364            0.00460182          
24   0.684938            0.0038523           
25   0.586173            0.00335272          
26   0.499068            0.00324885          
27   0.42343             0.00326023          
28   0.358256            0.00293417          
29   0.252944            0.00265318          
30   0.829162            0.00463611          
31   0.698115            0.0038475           
32   0.595631            0.00331801          
33   0.504399            0.00318812          
34   0.425096            0.00318886          
35   0.357002            0.00288705          
36   0.248723            0.00258586          
37   0.829673            0.00464648          
38   0.703478            0.00385037          
39   0.60001             0.00330371          
40   0.506753            0.00315637          
41   0.425864            0.00314942          
42   0.356263            0.00286106          
43   0.246463            0.00255008          
44   0.792825            0.00453444          
45   0.705454            0.00387983          
46   0.605165            0.00329509          
47   0.510252            0.00309186          
48   0.42662             0.00306849          
49   0.354586            0.00280866          
50   0.242264            0.00248366          
51   0.125516            0.00169639          
52   0.69869             0.00392454          
53   0.604677            0.00331331          
54   0.510497            0.00306033          
55   0.426323            0.0030166           
56   0.353435            0.00277742          
57   0.30292             0.0028046           
58   0.240068            0.00244893          
59   0.123473            0.00166197          
60   0.598128            0.00340088          
61   0.508007            0.00303331          
62   0.424586            0.00293203          
63   0.351376            0.00273373          
64   0.300501            0.00276002          
65   0.237299            0.00240513          
66   0.121021            0.00161879          
67   0.494419            0.00306496          
68   0.416759            0.00278419          
69   0.346059            0.00263483          
70   0.295911            0.00267824          
71   0.233076            0.00233245          
72   0.117775            0.00155806          
73   0.0168589           0.000564821         
74   0.387193            0.00257938          
75   0.328683            0.002414            
76   0.284196            0.00250694          
77   0.225148            0.00220106          
78   0.113512            0.00147067          
79   0.28864             0.0021304           
80   0.257768            0.00222903          
81   0.209735            0.00198295          
82   0.107809            0.00135647          
83   0.0151353           0.000516511         
84   0.212705            0.00198118          
85   0.182255            0.00167366          
86   0.0990059           0.001203            
87   0.123471            0.00135683          
88   0.0775144           0.000915955         
89   0.0507907           0.000774943         
