#: table_doi: 10.17182/hepdata.84154.v2/t39
#: name: Table 39
#: description: Full phase-space absolute differential cross-sections after combining the e+jets and $\mu$+jets channels for $y_{boost}^{t\bar{t}}$. All uncertainties are quoted as a percentage with respect to the cross-section values in each bin.

#: data_file: Table_39.yaml
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG/DYBOOST_TTBAR
#: keyword phrases: Inclusive | Top | Differential Cross Section | Proton-Proton Scattering | Top Production
#: keyword cmenergies: 8000.0
#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,DSIG/DYBOOST_TTBAR,stat +,stat -,sys +,sys -,"sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.05,0.0,0.1,224.793,0.855%,-0.855%,9.836%,-10.109%,2.8%,-2.8%
0.15000000000000002,0.1,0.2,222.322,0.661%,-0.661%,9.971%,-10.343%,2.8%,-2.8%
0.25,0.2,0.3,216.848,0.615%,-0.615%,10.547%,-10.762%,2.8%,-2.8%
0.35,0.3,0.4,211.269,0.635%,-0.635%,10.636%,-10.795%,2.8%,-2.8%
0.45,0.4,0.5,203.912,0.673%,-0.673%,10.584%,-10.772%,2.8%,-2.8%
0.55,0.5,0.6,193.839,0.729%,-0.729%,10.807%,-11.027%,2.8%,-2.8%
0.6499999999999999,0.6,0.7,182.243,0.758%,-0.758%,10.972%,-11.231%,2.8%,-2.8%
0.75,0.7,0.8,169.331,0.794%,-0.794%,11.073%,-11.09%,2.8%,-2.8%
0.8500000000000001,0.8,0.9,155.231,0.84%,-0.84%,11.123%,-10.946%,2.8%,-2.8%
0.95,0.9,1.0,139.007,0.897%,-0.897%,11.367%,-11.598%,2.8%,-2.8%
1.05,1.0,1.1,123.705,0.971%,-0.971%,11.705%,-12.003%,2.8%,-2.8%
1.15,1.1,1.2,109.131,1.059%,-1.059%,11.637%,-12.346%,2.8%,-2.8%
1.25,1.2,1.3,96.207,1.148%,-1.148%,11.581%,-12.701%,2.8%,-2.8%
1.35,1.3,1.4,83.4833,1.287%,-1.287%,11.643%,-12.863%,2.8%,-2.8%
1.45,1.4,1.5,71.01,1.41%,-1.41%,11.879%,-12.991%,2.8%,-2.8%
1.75,1.5,2.0,39.5875,1.926%,-1.926%,14.228%,-14.144%,2.8%,-2.8%

#: SQRT(S)(Q = 8 TEV) [GeV],,,8000.0
YBOOST_TTBAR,YBOOST_TTBAR LOW,YBOOST_TTBAR HIGH,DSIG/DYBOOST_TTBAR (breakdown of systematics),stat +,stat -,"sys,singletop-xsec  +","sys,singletop-xsec  -","sys,wjet-scale  +","sys,wjet-scale  -","sys,laltrealcr-mujet-fake  +","sys,laltrealcr-mujet-fake  -","sys,eta-jes  +","sys,eta-jes  -","sys,statNP3-jes  +","sys,statNP3-jes  -","sys,laltrealcr-ejet-fake  +","sys,laltrealcr-ejet-fake  -","sys,pileoffmu-jes  +","sys,pileoffmu-jes  -","sys,lstat-ejet-fake  +","sys,lstat-ejet-fake  -","sys,lstat-mujet-fake  +","sys,lstat-mujet-fake  -","sys,etmsoft-scale  +","sys,etmsoft-scale  -","sys,hardscat-model  +","sys,hardscat-model  -","sys,statNP2-jes  +","sys,statNP2-jes  -","sys,elen-scale  +","sys,elen-scale  -","sys,punch-jes  +","sys,punch-jes  -","sys,pileoffnpv-jes  +","sys,pileoffnpv-jes  -","sys,lrec-eff  +","sys,lrec-eff  -","sys,pileoffpt-jes  +","sys,pileoffpt-jes  -","sys,jeten-res  +","sys,jeten-res  -","sys,lighttag-eff  +","sys,lighttag-eff  -","sys,laltfakecr-ejet-fake  +","sys,laltfakecr-ejet-fake  -","sys,laltpar-mujet-fake  +","sys,laltpar-mujet-fake  -","sys,jetrec-eff  +","sys,jetrec-eff  -","sys,c/tautag-eff  +","sys,c/tautag-eff  -","sys,dibos-xsec  +","sys,dibos-xsec  -","sys,elen-res  +","sys,elen-res  -","sys,flavcomp-jes  +","sys,flavcomp-jes  -","sys,detNP2-jes  +","sys,detNP2-jes  -","sys,detNP3-jes  +","sys,detNP3-jes  -","sys,jetvxfrac  +","sys,jetvxfrac  -","sys,ltrig-eff  +","sys,ltrig-eff  -","sys,btag-jes  +","sys,btag-jes  -","sys,mup-scale  +","sys,mup-scale  -","sys,singlephpt-jes  +","sys,singlephpt-jes  -","sys,etmsoft-res  +","sys,etmsoft-res  -","sys,detNP1-jes  +","sys,detNP1-jes  -","sys,laltpar-ejet-fake  +","sys,laltpar-ejet-fake  -","sys,statNP1-jes  +","sys,statNP1-jes  -","sys,muid-res  +","sys,muid-res  -","sys,pdf  +","sys,pdf  -","sys,isr-fsr  +","sys,isr-fsr  -","sys,zjet-xsec  +","sys,zjet-xsec  -","sys,ps-model  +","sys,ps-model  -","sys,flavres-jes  +","sys,flavres-jes  -","sys,laltfakecr-mujet-fake  +","sys,laltfakecr-mujet-fake  -","sys,mums-res  +","sys,mums-res  -","sys,mod-NP2-jes  +","sys,mod-NP2-jes  -","sys,lid-eff  +","sys,lid-eff  -","sys,mixNP2-jes  +","sys,mixNP2-jes  -","sys,mixNP1-jes  +","sys,mixNP1-jes  -","sys,btag-eff  +","sys,btag-eff  -","sys,pileoffrho-jes  +","sys,pileoffrho-jes  -","sys,modNP4-jes  +","sys,modNP4-jes  -","sys,mcstat  +","sys,mcstat  -","sys,modNP3-jes  +","sys,modNP3-jes  -","sys,mod-NP1-jes  +","sys,mod-NP1-jes  -","sys,luminosity uncertainty +","sys,luminosity uncertainty -"
0.05,0.0,0.1,224.793,0.855%,-0.855%,0.313%,-0.278%,0.423%,-0.423%,-0.033%,0.033%,0.162%,-0.152%,-0.019%,0.043%,-0.071%,0.071%,-0.14%,0.148%,-0.058%,0.481%,0.0%,-0.004%,0.002%,-0.023%,-3.478%,3.478%,-0.068%,0.08%,0.017%,-0.08%,0.002%,0.0%,-0.527%,0.59%,0.232%,-0.232%,0.007%,-0.003%,0.0%,-0.0%,0.515%,-0.514%,0.42%,-0.42%,0.124%,-0.124%,-0.03%,0.03%,0.957%,-0.959%,-0.081%,0.081%,-0.045%,0.042%,1.755%,-1.824%,0.212%,-0.196%,0.041%,-0.037%,-0.723%,0.595%,1.206%,-1.206%,0.517%,-0.515%,0.014%,-0.01%,0.0%,-0.0%,0.017%,0.0%,0.209%,-0.183%,0.336%,-0.336%,0.9%,-0.87%,0.01%,-0.01%,0.147%,-0.147%,-5.929%,5.433%,-1.009%,1.009%,-2.913%,2.913%,-1.167%,1.119%,0.329%,-0.329%,0.008%,-0.008%,-0.069%,0.079%,1.343%,-1.343%,-0.379%,0.415%,0.322%,-0.291%,4.253%,-4.171%,1.697%,-1.682%,0.027%,-0.029%,0.214%,-0.214%,0.148%,-0.121%,2.196%,-2.296%,2.8%,-2.8%
0.15000000000000002,0.1,0.2,222.322,0.661%,-0.661%,0.306%,-0.271%,0.409%,-0.409%,-0.011%,0.011%,0.182%,-0.167%,-0.026%,0.038%,-0.058%,0.058%,-0.131%,0.134%,-0.056%,0.49%,0.001%,-0.001%,0.01%,-0.019%,-3.279%,3.279%,-0.072%,0.081%,0.025%,-0.097%,0.0%,0.004%,-0.564%,0.617%,0.233%,-0.233%,0.005%,-0.007%,0.0%,-0.0%,0.502%,-0.501%,0.396%,-0.396%,0.138%,-0.138%,-0.048%,0.048%,0.955%,-0.957%,-0.084%,0.084%,-0.038%,0.023%,1.781%,-1.799%,0.205%,-0.186%,0.036%,-0.033%,-0.731%,0.607%,1.207%,-1.207%,0.532%,-0.512%,0.012%,-0.014%,0.0%,-0.0%,0.015%,0.0%,0.201%,-0.17%,0.326%,-0.326%,0.905%,-0.843%,0.007%,-0.007%,0.148%,-0.148%,-6.339%,5.626%,-1.042%,1.042%,-3.154%,3.154%,-1.131%,1.143%,0.292%,-0.292%,0.017%,-0.017%,-0.072%,0.078%,1.342%,-1.342%,-0.361%,0.409%,0.313%,-0.267%,4.261%,-4.179%,1.711%,-1.648%,0.027%,-0.025%,0.167%,-0.167%,0.138%,-0.12%,2.214%,-2.274%,2.8%,-2.8%
0.25,0.2,0.3,216.848,0.615%,-0.615%,0.306%,-0.272%,0.401%,-0.401%,0.018%,-0.018%,0.219%,-0.189%,-0.034%,0.035%,-0.044%,0.044%,-0.124%,0.144%,-0.043%,0.508%,0.008%,0.0%,0.022%,0.0%,-3.788%,3.788%,-0.072%,0.08%,0.032%,-0.064%,-0.003%,0.004%,-0.593%,0.646%,0.233%,-0.233%,0.0%,-0.006%,0.0%,-0.0%,0.504%,-0.504%,0.416%,-0.416%,0.154%,-0.154%,-0.056%,0.056%,0.955%,-0.956%,-0.087%,0.087%,-0.018%,0.026%,1.845%,-1.784%,0.202%,-0.176%,0.032%,-0.033%,-0.696%,0.617%,1.209%,-1.209%,0.508%,-0.489%,0.008%,-0.011%,0.0%,-0.0%,0.035%,0.0%,0.2%,-0.157%,0.344%,-0.344%,0.924%,-0.861%,0.006%,-0.006%,0.167%,-0.167%,-6.546%,6.0%,-1.021%,1.021%,-3.61%,3.61%,-1.099%,1.17%,0.268%,-0.268%,0.016%,-0.016%,-0.072%,0.078%,1.341%,-1.341%,-0.36%,0.402%,0.312%,-0.267%,4.268%,-4.186%,1.736%,-1.613%,0.027%,-0.021%,0.155%,-0.155%,0.14%,-0.123%,2.278%,-2.213%,2.8%,-2.8%
0.35,0.3,0.4,211.269,0.635%,-0.635%,0.298%,-0.265%,0.398%,-0.398%,0.023%,-0.023%,0.245%,-0.223%,-0.044%,0.022%,-0.048%,0.048%,-0.104%,0.149%,-0.058%,0.493%,0.013%,0.0%,0.025%,0.0%,-3.8%,3.8%,-0.075%,0.079%,0.028%,-0.061%,0.001%,0.0%,-0.635%,0.617%,0.234%,-0.234%,0.0%,-0.012%,0.0%,-0.0%,0.499%,-0.499%,0.436%,-0.436%,0.158%,-0.158%,-0.056%,0.056%,0.958%,-0.96%,-0.095%,0.095%,-0.029%,0.03%,1.841%,-1.832%,0.192%,-0.171%,0.026%,-0.032%,-0.686%,0.622%,1.213%,-1.213%,0.491%,-0.501%,0.019%,-0.012%,0.0%,-0.0%,0.016%,-0.011%,0.2%,-0.178%,0.354%,-0.354%,0.899%,-0.911%,0.004%,-0.004%,0.104%,-0.104%,-6.3%,5.923%,-1.016%,1.016%,-4.027%,4.027%,-1.135%,1.147%,0.247%,-0.247%,0.003%,-0.003%,-0.072%,0.07%,1.338%,-1.338%,-0.376%,0.388%,0.317%,-0.297%,4.268%,-4.185%,1.684%,-1.643%,0.02%,-0.023%,0.159%,-0.159%,0.141%,-0.134%,2.255%,-2.229%,2.8%,-2.8%
0.45,0.4,0.5,203.912,0.673%,-0.673%,0.293%,-0.26%,0.409%,-0.409%,0.037%,-0.037%,0.278%,-0.267%,-0.026%,0.017%,-0.063%,0.063%,-0.099%,0.141%,-0.071%,0.47%,0.011%,0.0%,0.015%,-0.018%,-3.864%,3.864%,-0.066%,0.083%,0.03%,-0.074%,0.0%,-0.002%,-0.638%,0.616%,0.235%,-0.235%,0.0%,-0.004%,0.0%,-0.0%,0.502%,-0.501%,0.419%,-0.419%,0.168%,-0.168%,-0.056%,0.056%,0.955%,-0.956%,-0.097%,0.097%,-0.029%,0.02%,1.852%,-1.875%,0.18%,-0.162%,0.028%,-0.022%,-0.703%,0.622%,1.219%,-1.219%,0.492%,-0.504%,0.017%,-0.012%,0.0%,-0.0%,0.013%,-0.009%,0.179%,-0.158%,0.298%,-0.298%,0.867%,-0.915%,0.004%,-0.004%,0.117%,-0.117%,-6.416%,6.086%,-0.997%,0.997%,-3.637%,3.637%,-1.167%,1.124%,0.213%,-0.213%,-0.015%,0.015%,-0.058%,0.072%,1.335%,-1.335%,-0.366%,0.376%,0.303%,-0.282%,4.272%,-4.189%,1.623%,-1.685%,0.02%,-0.011%,0.165%,-0.165%,0.144%,-0.129%,2.212%,-2.269%,2.8%,-2.8%
0.55,0.5,0.6,193.839,0.729%,-0.729%,0.29%,-0.258%,0.411%,-0.411%,0.06%,-0.06%,0.306%,-0.312%,-0.013%,0.025%,-0.077%,0.077%,-0.11%,0.143%,-0.065%,0.433%,0.015%,0.0%,0.019%,-0.033%,-3.963%,3.963%,-0.062%,0.077%,0.046%,-0.097%,0.0%,-0.002%,-0.627%,0.656%,0.236%,-0.236%,0.0%,-0.006%,0.0%,-0.0%,0.507%,-0.506%,0.363%,-0.363%,0.179%,-0.179%,-0.055%,0.055%,0.951%,-0.952%,-0.092%,0.092%,-0.028%,0.027%,1.896%,-1.893%,0.174%,-0.157%,0.03%,-0.018%,-0.71%,0.601%,1.228%,-1.228%,0.514%,-0.521%,0.012%,-0.013%,0.0%,-0.0%,0.0%,-0.044%,0.162%,-0.149%,0.243%,-0.243%,0.887%,-0.893%,0.004%,-0.004%,0.091%,-0.091%,-6.652%,6.225%,-0.987%,0.987%,-3.839%,3.839%,-1.171%,1.139%,0.217%,-0.217%,-0.023%,0.023%,-0.053%,0.072%,1.33%,-1.33%,-0.355%,0.372%,0.286%,-0.28%,4.276%,-4.193%,1.672%,-1.703%,0.018%,-0.01%,0.175%,-0.175%,0.145%,-0.129%,2.305%,-2.293%,2.8%,-2.8%
0.6499999999999999,0.6,0.7,182.243,0.758%,-0.758%,0.283%,-0.251%,0.404%,-0.404%,0.088%,-0.088%,0.358%,-0.37%,-0.017%,0.026%,-0.076%,0.076%,-0.138%,0.158%,-0.043%,0.412%,0.0%,0.013%,0.019%,-0.017%,-3.853%,3.853%,-0.063%,0.068%,0.066%,-0.107%,-0.001%,0.001%,-0.631%,0.689%,0.238%,-0.238%,-0.008%,0.005%,0.0%,-0.0%,0.51%,-0.508%,0.345%,-0.345%,0.191%,-0.191%,-0.049%,0.049%,0.94%,-0.94%,-0.081%,0.081%,-0.012%,0.042%,1.903%,-1.895%,0.171%,-0.16%,0.029%,-0.027%,-0.7%,0.585%,1.241%,-1.241%,0.539%,-0.532%,0.009%,-0.015%,0.0%,-0.0%,0.0%,-0.037%,0.174%,-0.174%,0.223%,-0.223%,0.901%,-0.87%,0.001%,-0.001%,0.051%,-0.051%,-6.751%,6.239%,-0.977%,0.977%,-4.319%,4.319%,-1.186%,1.154%,0.222%,-0.222%,-0.008%,0.008%,-0.057%,0.065%,1.321%,-1.321%,-0.349%,0.362%,0.271%,-0.296%,4.277%,-4.193%,1.715%,-1.715%,0.019%,-0.026%,0.185%,-0.185%,0.132%,-0.135%,2.329%,-2.314%,2.8%,-2.8%
0.75,0.7,0.8,169.331,0.794%,-0.794%,0.279%,-0.248%,0.402%,-0.402%,0.161%,-0.161%,0.42%,-0.415%,-0.017%,0.027%,-0.05%,0.05%,-0.147%,0.168%,0.336%,0.0%,0.0%,0.009%,0.044%,-0.001%,-3.615%,3.615%,-0.071%,0.073%,0.074%,-0.127%,0.003%,0.0%,-0.619%,0.665%,0.24%,-0.24%,0.02%,0.0%,0.0%,-0.0%,0.51%,-0.509%,0.317%,-0.317%,0.179%,-0.179%,-0.04%,0.04%,0.927%,-0.928%,-0.07%,0.07%,-0.026%,0.063%,1.902%,-1.879%,0.174%,-0.179%,0.029%,-0.027%,-0.705%,0.589%,1.256%,-1.256%,0.546%,-0.497%,0.013%,-0.015%,0.0%,-0.0%,0.054%,0.0%,0.177%,-0.179%,0.252%,-0.252%,0.899%,-0.861%,0.002%,-0.002%,0.037%,-0.037%,-6.693%,6.575%,-0.972%,0.972%,-4.308%,4.308%,-1.156%,1.179%,0.228%,-0.228%,0.025%,-0.025%,-0.068%,0.067%,1.313%,-1.313%,-0.362%,0.363%,0.278%,-0.286%,4.271%,-4.188%,1.734%,-1.669%,0.022%,-0.032%,0.196%,-0.196%,0.129%,-0.139%,2.276%,-2.285%,2.8%,-2.8%
0.8500000000000001,0.8,0.9,155.231,0.84%,-0.84%,0.273%,-0.243%,0.387%,-0.387%,0.264%,-0.264%,0.512%,-0.528%,-0.029%,0.026%,-0.026%,0.026%,-0.192%,0.193%,0.315%,0.0%,0.009%,0.0%,0.021%,-0.025%,-3.843%,3.843%,-0.073%,0.074%,0.083%,-0.144%,0.0%,-0.001%,-0.591%,0.615%,0.243%,-0.243%,-0.004%,0.019%,0.0%,-0.0%,0.516%,-0.515%,0.295%,-0.295%,0.174%,-0.174%,-0.055%,0.055%,0.919%,-0.92%,-0.066%,0.066%,-0.043%,0.042%,1.897%,-1.889%,0.16%,-0.179%,0.031%,-0.029%,-0.715%,0.587%,1.275%,-1.275%,0.52%,-0.523%,0.018%,-0.023%,0.0%,-0.0%,0.032%,0.0%,0.177%,-0.195%,0.321%,-0.321%,0.864%,-0.889%,-0.008%,0.008%,0.023%,-0.023%,-6.484%,6.728%,-1.002%,1.002%,-3.992%,3.992%,-1.176%,1.164%,0.185%,-0.185%,0.0%,-0.0%,-0.07%,0.058%,1.305%,-1.305%,-0.372%,0.354%,0.283%,-0.284%,4.272%,-4.188%,1.73%,-1.674%,0.019%,-0.03%,0.205%,-0.205%,0.12%,-0.13%,2.287%,-2.302%,2.8%,-2.8%
0.95,0.9,1.0,139.007,0.897%,-0.897%,0.27%,-0.241%,0.389%,-0.389%,0.333%,-0.333%,0.619%,-0.601%,-0.039%,0.039%,-0.004%,0.004%,-0.241%,0.237%,0.321%,0.0%,0.022%,0.0%,0.0%,-0.039%,-4.242%,4.242%,-0.08%,0.078%,0.088%,-0.201%,0.003%,0.0%,-0.587%,0.622%,0.248%,-0.248%,0.011%,0.0%,0.0%,-0.0%,0.526%,-0.524%,0.293%,-0.293%,0.209%,-0.209%,-0.064%,0.064%,0.924%,-0.926%,-0.067%,0.067%,-0.033%,0.006%,1.959%,-1.896%,0.175%,-0.187%,0.042%,-0.035%,-0.722%,0.589%,1.297%,-1.297%,0.512%,-0.555%,0.023%,-0.028%,0.0%,-0.0%,0.0%,-0.032%,0.182%,-0.203%,0.315%,-0.315%,0.916%,-0.909%,-0.002%,0.002%,-0.037%,0.037%,-7.075%,6.604%,-1.02%,1.02%,-4.325%,4.325%,-1.188%,1.2%,0.14%,-0.14%,-0.009%,0.009%,-0.08%,0.068%,1.297%,-1.297%,-0.377%,0.378%,0.312%,-0.302%,4.27%,-4.186%,1.767%,-1.702%,0.028%,-0.026%,0.215%,-0.215%,0.13%,-0.129%,2.347%,-2.348%,2.8%,-2.8%
