#: table_doi: 10.17182/hepdata.89225.v1/t13
#: name: Table 13
#: description: Measured fiducial cross-section of $WW\rightarrow e\mu$ production for the observable $|y_{e\mu}|$.

#: data_file: data13.yaml
#: keyword reactions: P P --> W+ W-
#: keyword observables: DSIG/DX
#: keyword phrases: Differential Cross Section | Proton-Proton Scattering | W pair Production
#: keyword cmenergies: 13000.0
#: PT(JET) [GEV],,,> 35
#: M(ELECTRON,MUON) [GEV],,,> 55
#: ABS(ETARAP(JET)),,,< 4.5
#: ETMISS [GEV],,,> 20
#: Cross section,,,WW production
#: N(JET),,,= 0
#: PT(ELECTRON,MUON) [GEV],,,> 30
#: RE,,,P P --> W+ W-
#: SQRT(S) [GEV],,,13000.0
#: ABS(ETARAP(LEPTON)),,,< 2.5
#: PT(LEPTON) [GEV],,,> 27
$|y_{e\mu}|$,$|y_{e\mu}|$ LOW,$|y_{e\mu}|$ HIGH,$d\sigma/d|y_{e\mu}|\text{ [fb]}$,stat +,stat -,JetRes +,JetRes -,JetPileup +,JetPileup -,Bkgtopsinglet +,Bkgtopsinglet -,JetScaleOther +,JetScaleOther -,Pileup +,Pileup -,StatsBkgMC +,StatsBkgMC -,FTag +,FTag -,ElMuMETUnfTheoLumi +,ElMuMETUnfTheoLumi -,JetFlav +,JetFlav -,BkgOther +,BkgOther -,BkgWjets +,BkgWjets -
0.1,0.0,0.2,244.3,8.6,-8.6,0.2,-0.2,3.5,-3.5,9.9,-9.9,3.6,-3.6,1.2,-1.2,5.1,-5.1,9.8,-9.8,6.4,-6.4,4.4,-4.4,1.8,-1.8,8.5,-8.5
0.3,0.2,0.4,208.4,8.0,-8.0,1.9,-1.9,3.1,-3.1,7.0,-7.0,3.2,-3.2,3.4,-3.4,5.5,-5.5,9.9,-9.9,10.3,-10.3,3.9,-3.9,3.7,-3.7,13.3,-13.3
0.5,0.4,0.6,220.1,8.2,-8.2,0.3,-0.3,3.5,-3.5,7.5,-7.5,3.3,-3.3,4.9,-4.9,3.9,-3.9,9.1,-9.1,6.4,-6.4,4.0,-4.0,1.8,-1.8,4.5,-4.5
0.7,0.6,0.8,212.7,8.1,-8.1,1.1,-1.1,3.5,-3.5,5.8,-5.8,3.4,-3.4,4.8,-4.8,3.9,-3.9,8.7,-8.7,8.1,-8.1,4.2,-4.2,2.0,-2.0,4.5,-4.5
0.9,0.8,1.0,203.1,8.0,-8.0,0.1,-0.1,2.7,-2.7,5.5,-5.5,2.8,-2.8,5.0,-5.0,4.4,-4.4,7.0,-7.0,5.1,-5.1,4.0,-4.0,3.3,-3.3,4.6,-4.6
1.1,1.0,1.2,174.0,7.5,-7.5,0.6,-0.6,2.4,-2.4,4.9,-4.9,2.9,-2.9,2.6,-2.6,5.2,-5.2,6.2,-6.2,5.0,-5.0,3.5,-3.5,1.1,-1.1,5.7,-5.7
1.3,1.2,1.4,176.9,7.5,-7.5,1.8,-1.8,3.4,-3.4,4.2,-4.2,3.9,-3.9,1.2,-1.2,4.0,-4.0,4.7,-4.7,5.3,-5.3,4.6,-4.6,3.6,-3.6,4.8,-4.8
1.5,1.4,1.6,145.9,6.7,-6.7,1.1,-1.1,2.1,-2.1,3.3,-3.3,2.3,-2.3,3.0,-3.0,3.5,-3.5,3.7,-3.7,3.7,-3.7,3.1,-3.1,1.7,-1.7,4.9,-4.9
1.7,1.6,1.8,118.8,6.6,-6.6,0.6,-0.6,1.8,-1.8,7.4,-7.4,2.3,-2.3,1.8,-1.8,3.3,-3.3,2.4,-2.4,3.2,-3.2,2.9,-2.9,3.4,-3.4,3.0,-3.0
1.9,1.8,2.0,88.82,5.77,-5.77,1.52,-1.52,1.33,-1.33,4.1,-4.1,1.53,-1.53,1.54,-1.54,3.07,-3.07,1.58,-1.58,2.38,-2.38,1.87,-1.87,3.0,-3.0,2.98,-2.98
2.25,2.0,2.5,35.25,2.47,-2.47,0.19,-0.19,0.61,-0.61,1.24,-1.24,0.83,-0.83,0.56,-0.56,1.6,-1.6,0.65,-0.65,1.34,-1.34,0.87,-0.87,3.01,-3.01,1.28,-1.28

