Path: /HepData/9072/d2-x1-y1

Location: Figure 1
ABS(YRAP) : 0.5 - 1.0
RE : P P --> JET X
SQRT(S) : 2760.0 GeV
x : PT IN GEV
y : D2(SIG)/DPT/DABS(YRAP) IN PB/GEV
xdesc	x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
	79.0	74.0	84.0	4850.0	+32.66	-32.66	+348.9	-348.9
	90.5	84.0	97.0	2242.0	+24.17	-24.17	+150.8	-150.8
	105.5	97.0	114.0	907.9	+5.073	-5.073	+56.61	-56.61
	123.5	114.0	133.0	349.8	+2.932	-2.932	+20.93	-20.93
	143.0	133.0	153.0	136.9	+1.237	-1.237	+7.962	-7.962
	163.5	153.0	174.0	57.74	+0.768	-0.768	+3.517	-3.517
	185.0	174.0	196.0	25.19	+0.4828	-0.4828	+1.381	-1.381
	208.0	196.0	220.0	11.32	+0.3132	-0.3132	+0.6544	-0.6544
	232.5	220.0	245.0	5.156	+0.2066	-0.2066	+0.2876	-0.2876
	258.5	245.0	272.0	2.22	+0.1283	-0.1283	+0.1163	-0.1163
	286.0	272.0	300.0	1.074	+0.08791	-0.08791	+0.05983	-0.05983
	315.0	300.0	330.0	0.4928	+0.0571	-0.0571	+0.02814	-0.02814
	346.0	330.0	362.0	0.2216	+0.03669	-0.03669	+0.01584	-0.01584
	378.5	362.0	395.0	0.1164	+0.02583	-0.02583	+0.007374	-0.007374
	412.5	395.0	430.0	0.06058	+0.01847	-0.01847	+0.003813	-0.003813
	449.0	430.0	468.0	0.03135	+0.01229	-0.01229	+0.002059	-0.002059
	487.5	468.0	507.0	0.01621	+0.009166	-0.009166	+0.001098	-0.001098
	527.5	507.0	548.0	0.001814	+0.002512	-0.002512	+1.348E-4	-1.348E-4

