#: table_doi: 10.17182/hepdata.85696.v2/t185
#: name: Table 185
#: description: Covariance matrix of absolute cross section at the parton level as a function of $|y(\text{t}_\text{l})|$.
#: data_file: data185.yaml
#: data_license:   
#: keyword reactions: P P --> TOP TOPBAR X
#: keyword observables: DSIG_FID/DYTL
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: ,COVARIANCE MATRIX
Bin,Bin,
1,1,88.6021873692
2,1,78.0769199712
3,1,79.6105351279
4,1,72.8640856833
5,1,70.6175775629
6,1,68.2236265573
7,1,55.1069823995
8,1,47.7996251147
9,1,38.2478820295
10,1,31.3000167275
11,1,19.4014628553
1,2,78.0769199712
2,2,102.534521651
3,2,81.672185315
4,2,83.593989163
5,2,76.6165593513
6,2,63.2133075664
7,2,58.159346065
8,2,55.8582766782
9,2,42.5515452176
10,2,25.6873471564
11,2,19.5508516324
1,3,79.6105351279
2,3,81.672185315
3,3,82.9444280316
4,3,75.8413179224
5,3,69.6641310497
6,3,66.0106775813
7,3,55.0915504611
8,3,45.0487737204
9,3,38.4653862303
10,3,31.6090492311
11,3,19.1804402397
1,4,72.8640856833
2,4,83.593989163
3,4,75.8413179224
4,4,82.1455681694
5,4,71.9325710777
6,4,56.7294730169
7,4,54.2497762087
8,4,48.0181616624
9,4,33.8071645833
10,4,33.9150330174
11,4,16.4241341297
1,5,70.6175775629
2,5,76.6165593513
3,5,69.6641310497
4,5,71.9325710777
5,5,69.5333504146
6,5,55.5940339894
7,5,48.8484897985
8,5,46.8766072787
9,5,30.8793913265
10,5,28.1798715525
11,5,16.4753896381
1,6,68.2236265573
2,6,63.2133075664
3,6,66.0106775813
4,6,56.7294730169
5,6,55.5940339894
6,6,61.6777308204
7,6,42.9780339797
8,6,39.6031884027
9,6,35.8857687313
10,6,18.5315601486
11,6,17.4396056157
1,7,55.1069823995
2,7,58.159346065
3,7,55.0915504611
4,7,54.2497762087
5,7,48.8484897985
6,7,42.9780339797
7,7,42.6624224299
8,7,33.2346857028
9,7,26.2897932548
10,7,24.691819802
11,7,11.5128572185
1,8,47.7996251147
2,8,55.8582766782
3,8,45.0487737204
4,8,48.0181616624
5,8,46.8766072787
6,8,39.6031884027
7,8,33.2346857028
8,8,43.8338797839
9,8,27.7090647399
10,8,11.9319407205
11,8,11.8331564174
1,9,38.2478820295
2,9,42.5515452176
3,9,38.4653862303
4,9,33.8071645833
5,9,30.8793913265
6,9,35.8857687313
7,9,26.2897932548
8,9,27.7090647399
9,9,30.1367180488
10,9,8.16234194133
11,9,9.38699078956
1,10,31.3000167275
2,10,25.6873471564
3,10,31.6090492311
4,10,33.9150330174
5,10,28.1798715525
6,10,18.5315601486
7,10,24.691819802
8,10,11.9319407205
9,10,8.16234194133
10,10,31.7502430791
11,10,2.20518751021
1,11,19.4014628553
2,11,19.5508516324
3,11,19.1804402397
4,11,16.4241341297
5,11,16.4753896381
6,11,17.4396056157
7,11,11.5128572185
8,11,11.8331564174
9,11,9.38699078956
10,11,2.20518751021
11,11,8.58026137516

