THPREDICTIONS LHeC760CCEM  NNPDF31sx_nnlonllx_as_0118
0    3.17075             0.0871863
1    3.7475              0.0745897
2    3.44215             0.090578
3    3.09129             0.0813164
4    2.49122             0.0591999
5    1.91518             0.0382957
6    1.63138             0.0278586
7    1.2513              0.0165367
8    0.951017            0.0112082
9    3.16669             0.0420116
10   3.45915             0.061794
11   3.24108             0.0654656
12   2.6755              0.05324
13   2.0515              0.0357289
14   1.73367             0.0261057
15   1.3061              0.0155425
16   0.970172            0.0107323
17   0.827079            0.0111618
18   2.76797             0.0276997
19   2.9761              0.0303299
20   2.73617             0.0394505
21   2.16564             0.0310021
22   1.83053             0.0234349
23   1.36127             0.0143343
24   0.987915            0.0101805
25   0.828782            0.0107677
26   0.592328            0.010193
27   2.30893             0.0260614
28   2.52411             0.0223596
29   2.16067             0.0253349
30   1.85551             0.0206428
31   1.38557             0.0133277
32   0.995423            0.00979512
33   0.827252            0.0105001
34   0.577529            0.00973993
35   0.402474            0.00771578
36   0.251239            0.00844848
37   0.136455            0.00950328
38   2.00555             0.0146531
39   2.01366             0.0169542
40   1.80518             0.01657
41   1.38537             0.0120255
42   0.996368            0.00940417
43   0.823002            0.0102396
44   0.563222            0.00933001
45   0.386238            0.00736341
46   0.237041            0.00804814
47   0.126778            0.00900262
48   0.0512649           0.0177344
49   0.0212425           0.0128317
50   1.50949             0.0114425
51   1.53857             0.00987397
52   1.31692             0.00945008
53   0.981154            0.00881775
54   0.811227            0.00986501
55   0.544801            0.00883488
56   0.36666             0.00698047
57   0.220507            0.00759982
58   0.115722            0.00843726
59   0.0460321           0.0161514
60   0.0186023           0.0119352
61   0.00509018          0.00882137
62   1.16747             0.0114585
63   1.17564             0.00725219
64   0.947087            0.00827701
65   0.794018            0.00952311
66   0.530819            0.0084763
67   0.353031            0.00672646
68   0.209421            0.00728543
69   0.108449            0.0080529
70   0.0426904           0.0150704
71   0.0169443           0.0112928
72   0.00456754          0.00794578
73   0.937006            0.00786589
74   0.878693            0.00779887
75   0.763655            0.00908019
76   0.516084            0.00810443
77   0.340188            0.00647594
78   0.199377            0.00695301
79   0.101973            0.00766762
80   0.0397875           0.0140368
81   0.0155137           0.0106478
82   0.00412576          0.00716425
83   0.717324            0.00815359
84   0.689078            0.0084303
85   0.493301            0.0075687
86   0.323913            0.00610056
87   0.187485            0.00638883
88   0.0944821           0.00705837
89   0.0365435           0.0126156
90   0.0138992           0.00971355
91   0.00363749          0.00620583
92   0.6073              0.00821523
93   0.471331            0.00710879
94   0.311598            0.00574927
95   0.179395            0.00576399
96   0.0895629           0.00639901
97   0.0345197           0.0113454
98   0.0128433           0.00884621
99   0.00332434          0.00547031
100  0.444776            0.00669137
101  0.298817            0.00536094
102  0.171982            0.00490625
103  0.0852592           0.0054399
104  0.0328826           0.00971725
105  0.0118995           0.00771225
106  0.00304844          0.004653
107  0.162928            0.0038649
108  0.0804012           0.00383877
109  0.0312849           0.00689556
110  0.0107853           0.00569537
111  0.00272795          0.00338405
112  0.0100327           0.00436001
113  0.00251408          0.00254088
