THPREDICTIONS LHeC  NNPDF31sx_nnlonllx_as_0118
0    0                   0
1    0                   0
2    0                   0
3    0                   0
4    0                   0
5    0                   0
6    0                   0
7    0                   0
8    0                   0
9    2.00773             0.682693
10   1.8535              0.414623
11   1.50689             0.171934
12   1.24307             0.0605872
13   1.12741             0.0279976
14   0.959163            0.0105496
15   0.802259            0.00954017
16   0.724239            0.00877384
17   0.613239            0.00675015
18   2.35257             0.41802
19   2.10516             0.225661
20   1.71289             0.093451
21   1.52838             0.0460626
22   1.27255             0.0153905
23   1.04213             0.00866361
24   0.927815            0.00750467
25   0.766196            0.00658072
26   0.622819            0.00610527
27   2.71682             0.262455
28   2.29813             0.120993
29   2.03003             0.0615792
30   1.6558              0.0219853
31   1.32402             0.01123
32   1.16079             0.00876596
33   0.933539            0.0072107
34   0.735628            0.00575346
35   0.64205             0.0058819
36   3.05859             0.140964
37   2.78889             0.0766565
38   2.24554             0.0300426
39   1.74441             0.0161856
40   1.50046             0.0119045
41   1.16744             0.00843042
42   0.885259            0.00577777
43   0.753665            0.00548111
44   0.585496            0.00458576
45   3.17265             0.0796169
46   2.70482             0.0350507
47   2.07754             0.0197715
48   1.76646             0.0142522
49   1.34612             0.00934762
50   0.9955              0.0059716
51   0.833918            0.00539327
52   0.629234            0.00428423
53   0.476246            0.00377418
54   3.04973             0.0377549
55   2.40784             0.0228432
56   2.03231             0.0162975
57   1.52189             0.0101793
58   1.10086             0.00625066
59   0.909097            0.00542621
60   0.669004            0.00409182
61   0.490746            0.00357988
62   0.414466            0.00315181
63   2.73112             0.0250509
64   2.35875             0.018358
65   1.74732             0.0111386
66   1.23388             0.00669292
67   1.00258             0.0055866
68   0.716386            0.00395729
69   0.507222            0.00337796
70   0.419297            0.00301859
71   0.295787            0.00234956
72   2.47817             0.0187019
73   1.90787             0.0117567
74   1.33254             0.00705242
75   1.07168             0.00574944
76   0.751224            0.00391432
77   0.519597            0.00326419
78   0.423455            0.00294733
79   0.290542            0.0022567
80   0.202605            0.00199396
81   0.127417            0.00138378
82   0.0692325           0.0012079
83   2.02735             0.0122251
84   1.4388              0.00746794
85   1.14873             0.00593434
86   0.79193             0.00390183
87   0.536102            0.00318287
88   0.431207            0.00291243
89   0.288139            0.00220085
90   0.19733             0.00189857
91   0.12193             0.0013104
92   0.0650845           0.0011339
93   0.0289675           0.000722357
94   0.00987227          0.000431415
95   1.58957             0.0087117
96   1.28448             0.00647541
97   0.873611            0.0039602
98   0.576162            0.00312796
99   0.455738            0.00295336
100  0.294027            0.00222247
101  0.196588            0.00184291
102  0.118729            0.00123833
103  0.0619746           0.0010493
104  0.0269464           0.000653534
105  0.0089989           0.000401113
106  0.00207498          0.000400026
107  1.38313             0.00860538
108  0.958862            0.00447887
109  0.623398            0.00312676
110  0.487705            0.00304021
111  0.306777            0.00232472
112  0.201498            0.00185855
113  0.119672            0.00120746
114  0.0614787           0.00100051
115  0.026308            0.000628072
116  0.00869326          0.000399706
117  0.00199454          0.000377801
118  1.01652             0.00730205
119  0.664893            0.00329327
120  0.517655            0.00307423
121  0.320263            0.00241624
122  0.207367            0.00187867
123  0.121422            0.00119287
124  0.0615031           0.000968056
125  0.0259568           0.000621643
126  0.00850593          0.000410695
127  0.00194469          0.000363547
128  0.630794            0.00579779
129  0.503609            0.00333722
130  0.318496            0.00223095
131  0.205669            0.00176322
132  0.119352            0.00115309
133  0.0596996           0.000932312
134  0.0248576           0.000615521
135  0.00805388          0.000427081
136  0.00181806          0.000351356
137  0.40438             0.00595774
138  0.283677            0.00201385
139  0.188997            0.00158024
140  0.110881            0.00113964
141  0.0554962           0.000919479
142  0.0230258           0.00063045
143  0.00738719          0.000475001
144  0.00163158          0.00036293
145  0.195814            0.00378329
146  0.148165            0.00214391
147  0.0923268           0.00150481
148  0.0473691           0.00107043
149  0.0198878           0.00082139
150  0.00631401          0.000699453
151  0.00133441          0.000462837
152  0.0415908           0.00364567
153  0.0252986           0.0022659
154  0.0118895           0.00195863
155  0.0037024           0.00172307
156  0.000616567         0.000983143
