#  x	xlow	xhigh	y	dy+	dy+	dy+	dy+	y	dy+	
2.0625	2.0	2.125	0.969	+0.039	0.032	0.012	0.017	1.05	+0.02
2.1875	2.125	2.25	2.84	+0.063	0.05	0.036	0.049	1.032	+0.008
2.3125	2.25	2.375	4.428	+0.077	0.078	0.055	0.076	1.027	+0.006
2.4375	2.375	2.5	5.823	+0.088	0.06	0.073	0.1	1.026	+0.004
2.5625	2.5	2.625	6.877	+0.095	0.068	0.086	0.118	1.025	+0.004
2.6875	2.625	2.75	7.669	+0.1	0.069	0.096	0.132	1.026	+0.004
2.8125	2.75	2.875	8.306	+0.104	0.07	0.104	0.143	1.026	+0.003
2.9375	2.875	3.0	8.241	+0.103	0.066	0.103	0.142	1.025	+0.003
3.0625	3.0	3.125	7.783	+0.099	0.059	0.097	0.134	1.026	+0.003
3.1875	3.125	3.25	7.094	+0.096	0.058	0.089	0.122	1.028	+0.004
3.3125	3.25	3.375	5.894	+0.087	0.049	0.074	0.101	1.026	+0.004
3.4375	3.375	3.5	4.16	+0.073	0.041	0.052	0.072	1.027	+0.005
3.5625	3.5	3.625	2.896	+0.061	0.03	0.036	0.05	1.026	+0.005
3.6875	3.625	3.75	1.741	+0.047	0.023	0.022	0.03	1.021	+0.007
3.8125	3.75	3.875	0.825	+0.032	0.014	0.01	0.014	1.025	+0.01
3.9375	3.875	4.0	0.321	+0.02	0.008	0.004	0.006	1.011	+0.015
4.125	4.0	4.25	0.115	+0.013	0.006	0.001	0.002	1.018	+0.033
4.375	4.25	4.5	-	-

# Path: /HepData/9026/d1-x1-y1
# Inclusive cross-section for $Z$ boson production in bins of rapidity. 
# The uncertainties are statistical, systematic, beam and luminosity
# Location: T 3
# ETARAP(MU) : 2.0 - 4.5
# M(MU+ MU-) : 60.0 - 120.0 GeV
# PT(MU) IN GEV : > 20
# RE : P P --> Z0 < MU+ MU- > X
# SQRT(S) : 7000.0 GeV
# x : $y_{Z}$
# y : $\sigma_{Z \to \mu^{+}\mu^{-}}$ IN PB : $f_{FSR}$
