coalition_labels,size,chi2,is_outlier
cbar|sbar|ubar|dbar|g|u|c,7,0.02311989,0
cbar|sbar|ubar|dbar|g|d|u|s|c,9,0.02295335,0
cbar|sbar|ubar|dbar|g|u|s|c,8,0.02200128,0
cbar|sbar|ubar|dbar|d|u|s|c,8,0.02164477,0
cbar|ubar|g|d|u|s|c,7,0.02159444,0
cbar|sbar|ubar|g|d|u|s|c,8,0.02154173,0
cbar|sbar|ubar|dbar|u|c,6,0.02140114,0
sbar|ubar|dbar|g|u|c,6,0.02099889,0
cbar|sbar|dbar|g|u|c,6,0.02081804,0
cbar|ubar|d|u|s|c,6,0.02055753,0
cbar|sbar|ubar|d|u|s|c,7,0.02049775,0
cbar|sbar|ubar|dbar|u|s|c,7,0.02046504,0
cbar|sbar|ubar|dbar|g|d|u|c,8,0.02044087,0
sbar|dbar|g|u|c,5,0.02002085,0
cbar|ubar|g|d|u|s,6,0.01937506,0
cbar|sbar|dbar|u|c,5,0.01933623,0
sbar|ubar|dbar|u|c,5,0.01926051,0
cbar|ubar|dbar|g|d|u|s|c,8,0.01908461,0
sbar|ubar|dbar|g|u|s|c,7,0.01906482,0
sbar|ubar|dbar|g|d|u|s|c,8,0.01899856,0
cbar|sbar|ubar|dbar|g|d|u|s,8,0.01895256,0
cbar|sbar|ubar|dbar|d|u|c,7,0.01894977,0
cbar|sbar|ubar|dbar|g|u,6,0.01886277,0
cbar|sbar|ubar|g|d|u|s,7,0.01866458,0
sbar|dbar|u|c,4,0.01851957,0
cbar|ubar|d|u|s,5,0.01841334,0
cbar|ubar|g|d|s|c,6,0.01835943,0
cbar|sbar|dbar|g|u|s|c,7,0.01828044,0
cbar|ubar|dbar|d|u|s|c,7,0.01778308,0
cbar|sbar|ubar|dbar|g|u|s,7,0.01772977,0
cbar|sbar|ubar|dbar|d|u|s,7,0.01771908,0
cbar|sbar|ubar|d|u|s,6,0.01769579,0
sbar|ubar|dbar|d|u|s|c,7,0.01767038,0
cbar|ubar|d|s|c,5,0.01756307,0
sbar|ubar|dbar|u|s|c,6,0.01750892,0
cbar|sbar|dbar|g|d|u|s|c,8,0.01736825,0
cbar|ubar|g|d|s,5,0.01731426,0
sbar|ubar|dbar|g|d|u|c,7,0.01730263,0
sbar|ubar|dbar|g|u,5,0.01725532,0
cbar|sbar|ubar|dbar|u,5,0.01721911,0
cbar|sbar|dbar|u|s|c,6,0.01698115,0
cbar|sbar|dbar|g|u,5,0.01686995,0
cbar|sbar|ubar|g|d|s|c,7,0.01682244,0
ubar|g|d|u|s|c,6,0.01681516,0
sbar|ubar|g|d|u|s|c,7,0.01676407,0
sbar|dbar|g|u|s|c,6,0.01666803,0
cbar|ubar|d|s,4,0.01659313,0
sbar|dbar|g|u,4,0.01658618,0
cbar|sbar|ubar|dbar|g|d|u,7,0.01645448,0
cbar|sbar|dbar|d|u|s|c,7,0.01629662,0
cbar|sbar|dbar|g|d|u|c,7,0.01627495,0
cbar|sbar|ubar|dbar|u|s,6,0.01626861,0
cbar|ubar|dbar|g|u|s|c,7,0.01613311,0
cbar|ubar|dbar|g|u|c,6,0.01611902,0
cbar|sbar|ubar|d|s|c,6,0.01601902,0
sbar|ubar|dbar|d|u|c,6,0.01579196,0
ubar|d|u|s|c,5,0.01575852,0
cbar|ubar|dbar|g|d|u|s,7,0.01574252,0
sbar|ubar|d|u|s|c,6,0.01570037,0
cbar|sbar|ubar|g|d|u|c,7,0.01567925,0
cbar|sbar|ubar|dbar|g|d|s|c,8,0.01566499,0
sbar|ubar|dbar|u,4,0.01559198,0
sbar|ubar|dbar|g|d|u|s,7,0.01551118,0
cbar|sbar|dbar|u,4,0.01546309,0
cbar|ubar|dbar|g|d|u|c,7,0.01543946,0
sbar|dbar|u|s|c,5,0.01534925,0
sbar|ubar|dbar|g|u|s,6,0.01530664,0
cbar|sbar|ubar|g|u|s|c,7,0.01524178,0
cbar|sbar|ubar|dbar|g|c,6,0.01516424,0
sbar|dbar|u,3,0.01515980,0
ubar|dbar|g|d|u|s|c,7,0.01512832,0
cbar|sbar|ubar|g|d|s,6,0.01511959,0
ubar|g|d|u|s,5,0.01510918,0
cbar|sbar|ubar|dbar|d|u,6,0.01503849,0
cbar|sbar|dbar|d|u|c,6,0.01502079,0
sbar|dbar|g|d|u|s|c,7,0.01473755,0
cbar|ubar|dbar|u|s|c,6,0.01460392,0
cbar|ubar|g|d|u|c,6,0.01459912,0
cbar|sbar|ubar|dbar|d|s|c,7,0.01459698,0
cbar|ubar|dbar|d|u|s,6,0.01451609,0
sbar|dbar|g|d|u|c,6,0.01446055,0
cbar|sbar|ubar|d|u|c,6,0.01445271,0
cbar|ubar|dbar|u|c,5,0.01440734,0
sbar|ubar|g|d|u|s,6,0.01440018,0
cbar|sbar|ubar|d|s,5,0.01439139,0
cbar|sbar|dbar|g|u|s,6,0.01431798,0
cbar|g|d|u|s|c,6,0.01430570,0
cbar|sbar|g|d|u|s|c,7,0.01427505,0
sbar|ubar|dbar|d|u|s,6,0.01425802,0
ubar|d|u|s,4,0.01412767,0
ubar|g|d|s|c,5,0.01408451,0
cbar|sbar|ubar|dbar|g|s|c,7,0.01401849,0
ubar|dbar|g|u|c,5,0.01399689,0
cbar|sbar|ubar|u|s|c,6,0.01397005,0
cbar|ubar|dbar|d|u|c,6,0.01395542,0
sbar|ubar|dbar|g|d|u,6,0.01382987,0
sbar|ubar|dbar|u|s,5,0.01382577,0
ubar|dbar|d|u|s|c,6,0.01380718,0
cbar|dbar|g|u|c,5,0.01379519,0
cbar|sbar|ubar|dbar|c,5,0.01368606,0
cbar|sbar|dbar|g|d|u|s,7,0.01367637,0
sbar|dbar|d|u|s|c,6,0.01364647,0
ubar|g|d|s,4,0.01355255,0
sbar|ubar|dbar|g|c,5,0.01354780,0
cbar|d|u|s|c,5,0.01350570,0
cbar|dbar|g|d|u|s|c,7,0.01347748,0
cbar|sbar|d|u|s|c,6,0.01346799,0
sbar|ubar|d|u|s,5,0.01341159,0
cbar|ubar|d|u|c,5,0.01337965,0
cbar|sbar|dbar|g|c,5,0.01334792,0
cbar|ubar|g|u|s|c,6,0.01329479,0
cbar|ubar|dbar|g|d|s|c,7,0.01328054,0
ubar|d|s|c,4,0.01326831,0
sbar|dbar|g|u|s,5,0.01321877,0
ubar|dbar|g|u|s|c,6,0.01319509,0
sbar|dbar|d|u|c,5,0.01318697,0
cbar|sbar|ubar|dbar|g|d|c,7,0.01317964,0
cbar|sbar|dbar|u|s,5,0.01309364,0
sbar|dbar|g|c,4,0.01305520,0
cbar|sbar|ubar|g|u|c,6,0.01301018,0
dbar|g|u|c,4,0.01299689,0
cbar|sbar|ubar|dbar|g|d|s,7,0.01283836,0
cbar|sbar|ubar|g|d|u,6,0.01281634,0
ubar|d|s,3,0.01281152,0
cbar|sbar|ubar|dbar|s|c,6,0.01272282,0
cbar|sbar|dbar|d|u|s,6,0.01267970,0
cbar|sbar|dbar|g|d|u,6,0.01259745,0
sbar|ubar|g|d|s|c,6,0.01254917,0
cbar|ubar|dbar|g|u,5,0.01252159,0
cbar|ubar|dbar|g|u|s,6,0.01252091,0
cbar|dbar|d|u|s|c,6,0.01241290,0
cbar|g|d|u|s,5,0.01239523,0
cbar|ubar|g|d|u,5,0.01239435,0
sbar|ubar|dbar|d|u,5,0.01239424,0
cbar|dbar|g|u|s|c,6,0.01239029,0
cbar|dbar|u|c,4,0.01232044,0
ubar|dbar|g|d|u|c,6,0.01230015,0
