player,coalition_without,v_without,v_with,delta_v,is_outlier
d,cbar|ubar|s,0.01778150,0.05745279,0.03967129,0
d,cbar|ubar|g|s,0.01969918,0.05897102,0.03927183,0
d,cbar|ubar|s|c,0.01715853,0.05503456,0.03787602,0
d,cbar|ubar|g|s|c,0.01913550,0.05661153,0.03747603,0
d,ubar|s,0.01280875,0.04871410,0.03590535,0
d,ubar|g|s,0.01469533,0.05019983,0.03550450,0
d,ubar|s|c,0.01216477,0.04627445,0.03410967,0
d,ubar|g|s|c,0.01411103,0.04781933,0.03370830,0
d,cbar|ubar|u|s,0.01831395,0.05074471,0.03243076,0
d,cbar|sbar|ubar|s,0.01424488,0.04636278,0.03211791,0
d,cbar|ubar|g|u|s,0.02037763,0.05240904,0.03203141,0
d,cbar|sbar|ubar|g|s,0.01591023,0.04762859,0.03171835,0
d,cbar|ubar|u|s|c,0.01994486,0.05058056,0.03063569,0
d,cbar|sbar|ubar|s|c,0.01528050,0.04559706,0.03031656,0
d,cbar|ubar|g|u|s|c,0.02206838,0.05230417,0.03023579,0
d,cbar|sbar|ubar|g|s|c,0.01700583,0.04692231,0.02991648,0
d,cbar|ubar,0.00805879,0.03702953,0.02897074,0
d,ubar|u|s,0.01363679,0.04230152,0.02866473,0
d,cbar|ubar|g,0.01028280,0.03885497,0.02857217,0
d,sbar|ubar|s,0.01020368,0.03855550,0.02835182,0
d,ubar|g|u|s,0.01566966,0.04393365,0.02826399,0
dbar,sbar|u|c,0.01864607,0.04684621,0.02820014,0
dbar,sbar|g|u|c,0.02054916,0.04852036,0.02797121,0
d,sbar|ubar|g|s,0.01183863,0.03978951,0.02795089,0
d,cbar|s,0.00461546,0.03219743,0.02758198,0
d,cbar|g|s,0.00628434,0.03346501,0.02718067,0
d,cbar|ubar|c,0.00804362,0.03521905,0.02717543,0
d,ubar|u|s|c,0.01524614,0.04211540,0.02686926,0
d,cbar|ubar|g|c,0.01032722,0.03710355,0.02677633,0
d,sbar|ubar|s|c,0.01122064,0.03777071,0.02655008,0
d,ubar|g|u|s|c,0.01733924,0.04380721,0.02646797,0
d,sbar|ubar|g|s|c,0.01291596,0.03906457,0.02614861,0
dbar,cbar|sbar|u|c,0.01789874,0.04398936,0.02609062,0
dbar,sbar|u,0.01437848,0.04025248,0.02587400,0
dbar,cbar|sbar|g|u|c,0.01982973,0.04569081,0.02586108,0
d,cbar|s|c,0.00437299,0.03016355,0.02579056,0
d,cbar|ubar|dbar|s,0.01069485,0.03634743,0.02565259,0
dbar,sbar|g|u,0.01621979,0.04186401,0.02564422,0
ubar,cbar|g|d|s,0.03346501,0.05897102,0.02550601,0
d,cbar|g|s|c,0.00610164,0.03149037,0.02538874,0
ubar,cbar|d|s,0.03219743,0.05745279,0.02525535,0
d,cbar|ubar|dbar|g|s,0.01238006,0.03763279,0.02525274,0
d,ubar,0.00481507,0.03002248,0.02520741,0
ubar,cbar|g|d|s|c,0.03149037,0.05661153,0.02512116,0
d,cbar|sbar|ubar|u|s,0.02117675,0.04605297,0.02487622,0
ubar,cbar|d|s|c,0.03016355,0.05503456,0.02487100,0
d,ubar|g,0.00700853,0.03181599,0.02480747,0
d,cbar|sbar|ubar|g|u|s,0.02298782,0.04746451,0.02447670,0
d,cbar|ubar|dbar|s|c,0.01239054,0.03624874,0.02385820,0
ubar,cbar|g|d|u|s,0.02855801,0.05240904,0.02385104,0
d,s,0.00243348,0.02625439,0.02382090,0
dbar,cbar|sbar|u,0.01361101,0.03737494,0.02376393,0
ubar,cbar|d|u|s,0.02714367,0.05074471,0.02360104,0
dbar,cbar|sbar|g|u,0.01548063,0.03901418,0.02353355,0
ubar,cbar|g|d|u|s|c,0.02883730,0.05230417,0.02346688,0
d,cbar|ubar|dbar|g|s|c,0.01413579,0.03759358,0.02345778,0
d,g|s,0.00407258,0.02749086,0.02341827,0
d,ubar|c,0.00477750,0.02818920,0.02341170,0
ubar,cbar|d|u|s|c,0.02736317,0.05058056,0.02321739,0
d,cbar|sbar|ubar|u|s|c,0.02446910,0.04754421,0.02307511,0
d,ubar|g|c,0.00703094,0.03004217,0.02301123,0
ubar,g|d|s,0.02749086,0.05019983,0.02270897,0
d,cbar|sbar|ubar|g|u|s|c,0.02634073,0.04901577,0.02267504,0
ubar,cbar|sbar|g|d|s,0.02510329,0.04762859,0.02252530,0
ubar,d|s,0.02625439,0.04871410,0.02245971,0
dbar,sbar|u|s|c,0.01534880,0.03779803,0.02244923,0
ubar,g|d|s|c,0.02549576,0.04781933,0.02232357,0
u,sbar|dbar|g|c,0.02620478,0.04852036,0.02231558,0
ubar,cbar|sbar|d|s,0.02408701,0.04636278,0.02227578,0
dbar,sbar|g|u|s|c,0.01694544,0.03916559,0.02222015,0
u,sbar|dbar|c,0.02467771,0.04684621,0.02216850,0
ubar,cbar|sbar|g|d|s|c,0.02478847,0.04692231,0.02213384,0
ubar,d|s|c,0.02419965,0.04627445,0.02207480,0
d,s|c,0.00217056,0.02419965,0.02202909,0
u,cbar|sbar|dbar|g|c,0.02367180,0.04569081,0.02201901,0
d,ubar|dbar|s,0.00783458,0.02972072,0.02188614,0
ubar,cbar|sbar|d|s|c,0.02371223,0.04559706,0.02188483,0
u,cbar|sbar|dbar|c,0.02211713,0.04398936,0.02187223,0
d,cbar|ubar|u,0.01084994,0.03258113,0.02173119,0
d,g|s|c,0.00386982,0.02549576,0.02162594,0
d,ubar|dbar|g|s,0.00948923,0.03097415,0.02148491,0
d,cbar|sbar|ubar,0.00738703,0.02880795,0.02142091,0
dbar,sbar|ubar|u|c,0.01844165,0.03981997,0.02137832,0
dbar,cbar|ubar|g|d|s,0.05897102,0.03763279,-0.02133822,0
d,cbar|ubar|g|u,0.01321931,0.03455205,0.02133274,0
dbar,sbar|ubar|g|u|c,0.02058926,0.04173765,0.02114840,0
d,sbar|ubar|u|s,0.01743113,0.03854120,0.02111007,0
