coalition_labels,size,chi2,is_outlier
cbar|ubar|g|d|s,5,0.10937945,1
cbar|ubar|g|d|s|c,6,0.10350494,0
cbar|sbar|ubar|g|d|s,6,0.09812072,0
cbar|ubar|d|s,4,0.09743402,0
cbar|sbar|ubar|dbar|g|d|u|s|c,9,0.09475353,0
cbar|sbar|ubar|g|d|s|c,7,0.09471852,0
cbar|ubar|g|d|u|s,6,0.09369974,0
ubar|g|d|s,4,0.09291042,0
cbar|sbar|ubar|g|d|u|s|c,8,0.09243351,0
cbar|sbar|ubar|g|d|u|s,7,0.09208863,0
cbar|ubar|g|d|u|s|c,7,0.09156613,0
cbar|sbar|ubar|dbar|g|d|u|s,8,0.09141559,0
cbar|ubar|d|s|c,5,0.09138197,0
ubar|g|d|s|c,5,0.08751786,0
cbar|ubar|dbar|g|d|s,6,0.08740952,0
cbar|sbar|ubar|dbar|g|d|s,7,0.08596185,0
cbar|sbar|ubar|dbar|g|d|s|c,8,0.08555167,0
cbar|sbar|ubar|d|s,5,0.08528763,0
sbar|ubar|dbar|g|d|u|s|c,8,0.08509366,0
cbar|ubar|dbar|g|d|s|c,7,0.08452227,0
cbar|ubar|dbar|g|d|u|s|c,8,0.08407261,0
sbar|ubar|g|d|s,5,0.08334126,0
cbar|ubar|dbar|g|d|u|s,7,0.08321823,0
cbar|sbar|ubar|d|s|c,6,0.08170487,0
ubar|d|s,3,0.08165616,0
sbar|ubar|dbar|g|d|u|s,7,0.08127227,0
cbar|ubar|d|u|s,5,0.08100147,0
cbar|sbar|ubar|dbar|d|u|s|c,8,0.08051537,0
sbar|ubar|g|d|s|c,6,0.08042422,0
sbar|ubar|g|d|u|s|c,7,0.08005238,0
sbar|ubar|g|d|u|s,6,0.07922319,0
ubar|g|d|u|s,5,0.07914467,0
cbar|ubar|d|u|s|c,6,0.07868754,0
cbar|sbar|ubar|d|u|s|c,7,0.07866257,0
cbar|sbar|ubar|d|u|s,6,0.07850115,0
ubar|g|d|u|s|c,6,0.07749217,0
cbar|sbar|ubar|dbar|d|u|s,7,0.07736244,0
cbar|ubar|g|d,4,0.07678376,0
ubar|d|s|c,4,0.07608497,0
cbar|ubar|dbar|d|s,5,0.07499661,0
sbar|ubar|dbar|g|d|s|c,7,0.07397755,0
sbar|ubar|dbar|g|d|s,6,0.07390341,0
ubar|dbar|g|d|s,5,0.07366166,0
cbar|sbar|ubar|dbar|g|d|u|c,8,0.07346276,0
ubar|dbar|g|d|u|s|c,7,0.07272010,0
cbar|sbar|ubar|dbar|d|s,6,0.07266134,0
cbar|sbar|ubar|dbar|d|s|c,7,0.07206922,0
cbar|ubar|g|d|c,5,0.07197571,0
cbar|ubar|dbar|d|s|c,6,0.07193048,0
