player,coalition_without,v_without,v_with,delta_v,is_outlier
ubar,cbar|g|d|s,0.04080950,0.08625664,0.04544714,0
d,cbar|ubar|g|s,0.04090615,0.08625664,0.04535048,0
d,cbar|ubar|g|s|c,0.03767501,0.08067756,0.04300255,0
ubar,cbar|g|d|s|c,0.03767732,0.08067756,0.04300024,0
ubar,cbar|d|s,0.03080102,0.07241513,0.04161411,0
d,cbar|ubar|s,0.03122281,0.07241513,0.04119232,0
ubar,cbar|sbar|g|d|s,0.03730588,0.07826340,0.04095751,0
d,cbar|sbar|ubar|g|s,0.03768010,0.07826340,0.04058330,0
d,ubar|g|s,0.03017865,0.07065042,0.04047177,0
ubar,g|d|s,0.03144032,0.07065042,0.03921010,0
ubar,cbar|d|s|c,0.02749211,0.06666190,0.03916979,0
d,cbar|ubar|s|c,0.02781665,0.06666190,0.03884524,0
ubar,cbar|sbar|g|d|s|c,0.03630311,0.07480389,0.03850078,0
ubar,cbar|g|d|u|s,0.03522737,0.07355627,0.03832890,0
d,cbar|sbar|ubar|g|s|c,0.03657408,0.07480389,0.03822981,0
d,cbar|ubar|g|u|s,0.03536205,0.07355627,0.03819422,0
d,ubar|g|s|c,0.02765111,0.06577440,0.03812329,0
d,cbar|ubar|dbar|g|s,0.03247736,0.06977152,0.03729416,0
ubar,cbar|dbar|g|d|s,0.03255878,0.06977152,0.03721274,0
ubar,cbar|sbar|d|s,0.02611103,0.06324175,0.03713072,0
ubar,cbar|g|d,0.02360714,0.06065691,0.03704977,0
ubar,g|d|s|c,0.02901205,0.06577440,0.03676235,0
d,cbar|sbar|ubar|s,0.02681328,0.06324175,0.03642847,0
d,ubar|s,0.02152429,0.05784052,0.03631623,0
ubar,cbar|g|d|u|s|c,0.03568221,0.07156593,0.03588372,0
d,cbar|ubar|g|u|s|c,0.03571894,0.07156593,0.03584699,0
d,sbar|ubar|g|s,0.02851185,0.06421606,0.03570421,0
d,cbar|ubar|g,0.02510534,0.06065691,0.03555157,0
ubar,d|s,0.02245739,0.05784052,0.03538314,0
d,cbar|ubar|dbar|g|s|c,0.03206466,0.06701121,0.03494655,0
ubar,cbar|dbar|g|d|s|c,0.03224473,0.06701121,0.03476648,0
ubar,sbar|g|d|s,0.02949660,0.06421606,0.03471945,0
ubar,cbar|sbar|d|s|c,0.02492861,0.05960520,0.03467659,0
ubar,cbar|g|d|c,0.02143320,0.05603597,0.03460277,0
ubar,cbar|d|u|s,0.02450980,0.05900961,0.03449981,0
d,cbar|sbar|ubar|s|c,0.02552931,0.05960520,0.03407589,0
d,cbar|ubar|u|s,0.02497183,0.05900961,0.03403778,0
d,ubar|s|c,0.01882098,0.05278959,0.03396861,0
ubar,cbar|sbar|g|d|u|s,0.03823399,0.07207796,0.03384397,0
d,cbar|sbar|ubar|g|u|s,0.03865025,0.07207796,0.03342771,0
ubar,cbar|dbar|d|s,0.02177629,0.05515764,0.03338135,0
d,sbar|ubar|g|s|c,0.02811201,0.06146220,0.03335019,0
d,ubar|g|u|s,0.02683356,0.06014864,0.03331508,0
ubar,cbar|d,0.01591841,0.04914118,0.03322276,0
d,cbar|ubar|g|c,0.02283249,0.05603597,0.03320348,0
d,cbar|ubar|dbar|s,0.02202168,0.05515764,0.03313596,0
ubar,d|s|c,0.01985164,0.05278959,0.03293795,0
ubar,cbar|sbar|dbar|g|d|s,0.03698277,0.06970762,0.03272485,0
ubar,cbar|sbar|g|d,0.02192839,0.05448282,0.03255443,0
d,cbar|sbar|ubar|dbar|g|s,0.03717770,0.06970762,0.03252992,0
d,ubar|dbar|g|s,0.02443362,0.05684858,0.03241497,0
ubar,sbar|g|d|s|c,0.02920033,0.06146220,0.03226187,0
ubar,g|d|u|s,0.02805817,0.06014864,0.03209047,0
ubar,cbar|d|u|s|c,0.02478465,0.05684190,0.03205725,0
d,cbar|ubar|u|s|c,0.02515044,0.05684190,0.03169146,0
d,sbar|ubar|s,0.01867150,0.05022350,0.03155200,0
d,cbar|ubar,0.01774702,0.04914118,0.03139416,0
ubar,cbar|sbar|g|d|u|s|c,0.04082543,0.07221444,0.03138901,0
d,cbar|sbar|ubar|g|u|s|c,0.04113946,0.07221444,0.03107497,0
ubar,dbar|g|d|s,0.02587369,0.05684858,0.03097489,0
d,ubar|g|u|s|c,0.02789326,0.05886059,0.03096733,0
ubar,cbar|dbar|d|s|c,0.02128444,0.05222217,0.03093773,0
ubar,sbar|d|s,0.01932478,0.05022350,0.03089872,0
ubar,g|d,0.01670461,0.04752447,0.03081986,0
d,cbar|ubar|dbar|s|c,0.02143293,0.05222217,0.03078925,0
d,cbar|sbar|ubar|g,0.02370273,0.05448282,0.03078008,0
ubar,cbar|d|c,0.01356694,0.04434526,0.03077832,0
d,ubar|g,0.01684891,0.04752447,0.03067557,0
ubar,cbar|sbar|dbar|g|d|s|c,0.03880233,0.06907113,0.03026880,0
d,cbar|sbar|ubar|dbar|g|s|c,0.03889431,0.06907113,0.03017681,0
d,cbar|ubar|dbar|g|u|s,0.03544057,0.06557730,0.03013673,0
ubar,cbar|sbar|g|d|c,0.02188587,0.05198349,0.03009761,0
ubar,cbar|dbar|g|d|u|s,0.03548714,0.06557730,0.03009016,0
d,ubar|dbar|g|s|c,0.02472397,0.05479076,0.03006679,0
ubar,cbar|sbar|d|u|s,0.02632183,0.05634302,0.03002119,0
ubar,cbar|g|d|u,0.02062789,0.05055761,0.02992972,0
ubar,g|d|u|s|c,0.02921615,0.05886059,0.02964444,0
d,cbar|sbar|ubar|u|s,0.02706829,0.05634302,0.02927472,0
d,sbar|ubar|s|c,0.01809294,0.04729182,0.02919888,0
d,ubar|u|s,0.01746982,0.04663107,0.02916124,0
d,cbar|ubar|c,0.01529834,0.04434526,0.02904692,0
ubar,cbar|g|s,0.01195634,0.04090615,0.02894982,0
ubar,cbar|sbar|dbar|d|s,0.02500846,0.05390831,0.02889985,0
d,cbar|g|s,0.01195634,0.04080950,0.02885316,0
ubar,cbar|dbar|g|d,0.01890314,0.04771822,0.02881508,0
ubar,cbar|sbar|d,0.01305446,0.04178818,0.02873372,0
d,sbar|ubar|g|u|s,0.03168071,0.06022897,0.02854826,0
ubar,dbar|g|d|s|c,0.02626295,0.05479076,0.02852781,0
ubar,sbar|d|s|c,0.01884809,0.04729182,0.02844373,0
d,cbar|sbar|ubar|g|c,0.02355703,0.05198349,0.02842645,0
d,cbar|ubar|g|u,0.02216269,0.05055761,0.02839492,0
d,cbar|sbar|ubar|dbar|s,0.02553324,0.05390831,0.02837506,0
ubar,g|d|c,0.01523335,0.04360537,0.02837201,0
d,ubar|g|c,0.01527842,0.04360537,0.02832694,0
ubar,d|u|s,0.01836364,0.04663107,0.02826742,0
d,ubar|dbar|s,0.01500615,0.04326553,0.02825938,0
d,cbar|ubar|dbar|g|u|s|c,0.03861733,0.06640717,0.02778983,0
d,sbar|ubar|dbar|g|s,0.03069265,0.05834305,0.02765040,0
ubar,cbar|dbar|g|d|u|s|c,0.03876157,0.06640717,0.02764559,0
ubar,sbar|g|d|u|s,0.03262439,0.06022897,0.02760458,0
ubar,cbar|sbar|d|u|s|c,0.02873026,0.05629914,0.02756888,0
d,cbar|ubar|dbar|g,0.02022215,0.04771822,0.02749608,0
ubar,cbar|g|d|u|c,0.02204051,0.04952498,0.02748447,0
ubar,dbar|d|s,0.01611599,0.04326553,0.02714954,0
ubar,d,0.01003865,0.03703747,0.02699882,0
d,cbar|sbar|ubar|u|s|c,0.02937621,0.05629914,0.02692293,0
d,ubar|u|s|c,0.01835046,0.04516487,0.02681441,0
d,cbar|sbar|ubar,0.01516201,0.04178818,0.02662617,0
d,ubar,0.01051677,0.03703747,0.02652070,0
